!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:55:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_2(DB),A_2(DEG)
100000000,-104.35715,-87.444664
109500000,-103.19134,152.23917
119000000,-103.82101,-129.2749
128500000,-104.5519,130.54869
138000000,-105.18137,42.752079
147500000,-101.93276,-155.6037
157000000,-102.5341,-28.424761
166500000,-102.96578,-135.32239
176000000,-103.36134,-94.707169
185500000,-104.07038,-175.00336
195000000,-104.54688,16.469515
204500000,-104.72273,157.87277
214000000,-103.04023,9.6660538
223500000,-102.62714,64.807777
233000000,-103.01781,-47.28886
242500000,-103.69881,-65.494469
252000000,-98.999107,47.550686
261500000,-98.996376,63.560135
271000000,-99.380608,102.40378
280500000,-99.706009,67.142548
290000000,-99.81633,9.9426422
299500000,-100.05537,75.93335
309000000,-100.66912,76.219398
318500000,-100.50848,-124.56139
328000000,-100.9502,137.61346
337500000,-101.16283,51.000984
347000000,-101.18559,-69.402321
356500000,-101.66357,55.010853
366000000,-101.83808,-1.9712712
375500000,-102.1753,-113.71048
385000000,-101.99807,21.878582
394500000,-102.3652,-163.62901
404000000,-101.63427,-127.38419
413500000,-101.76775,-132.37506
423000000,-101.88912,-55.342487
432500000,-102.11947,-127.99004
442000000,-102.28309,158.35124
451500000,-102.2824,140.03514
461000000,-102.56176,-34.4562
470500000,-103.21179,-157.36324
480000000,-102.54539,95.163696
489500000,-102.90287,139.58943
499000000,-103.19166,-138.55936
508500000,-103.40511,-42.971542
518000000,-103.40912,-15.799767
527500000,-103.50431,138.57944
537000000,-103.46002,-67.655685
546500000,-103.66975,-18.980373
556000000,-104.08277,91.951401
565500000,-104.01125,142.49722
575000000,-104.24604,142.35167
584500000,-104.44536,20.190945
594000000,-104.22539,90.434105
603500000,-104.41923,-18.85313
613000000,-104.43169,178.53706
622500000,-104.69827,69.432381
632000000,-103.63761,-93.946632
641500000,-103.8423,-161.77097
651000000,-103.67451,65.121056
660500000,-103.95233,-82.479866
670000000,-104.08834,-68.153587
679500000,-104.0284,-159.04146
689000000,-103.88592,33.189106
698500000,-104.26715,-146.60942
708000000,-104.26118,-77.854744
717500000,-104.405,2.9316635
727000000,-104.60156,105.4307
736500000,-104.71999,85.134094
746000000,-104.50906,169.74712
755500000,-104.82092,-151.36714
765000000,-105.13306,65.690987
774500000,-104.55765,-174.83286
784000000,-104.53105,-52.503567
793500000,-104.96335,15.314411
803000000,-105.11801,-125.90247
812500000,-105.1076,-159.78699
822000000,-105.16548,178.9865
831500000,-104.92804,-125.52027
841000000,-105.15154,-72.649994
850500000,-105.2109,-140.02655
860000000,-105.34218,39.649769
869500000,-105.18015,163.5927
879000000,-105.35983,-141.06215
888500000,-105.22089,28.096331
898000000,-105.22768,-115.38912
907500000,-105.39273,-127.69169
917000000,-105.1993,-141.09126
926500000,-105.56686,177.52757
936000000,-105.44004,-0.45998231
945500000,-105.60963,-94.578705
955000000,-105.48569,-45.39949
964500000,-105.48692,-177.87442
974000000,-105.57623,-33.872307
983500000,-105.59077,-42.011524
993000000,-105.53409,103.19009
1002500000,-102.86257,-153.78
1012000000,-102.93312,122.76925
1021500000,-103.01236,21.242985
1031000000,-103.16225,-142.15776
1040500000,-102.84376,-14.538961
1050000000,-102.89763,58.937008
1059500000,-103.27666,-18.287558
1069000000,-103.02959,-127.37796
1078500000,-102.868,3.0195987
1088000000,-103.09317,-134.2122
1097500000,-102.90002,94.48114
1107000000,-102.87486,-72.612045
1116500000,-102.99311,-44.344902
1126000000,-103.16986,-158.7197
1135500000,-102.97151,-0.87392658
1145000000,-103.16542,53.044292
1154500000,-103.26902,87.740181
1164000000,-103.19553,-65.681053
1173500000,-103.40961,152.57794
1183000000,-103.22084,-56.528824
1192500000,-103.10715,-77.774742
1202000000,-103.19024,76.410629
1211500000,-103.12306,88.835617
1221000000,-103.12376,6.7221065
1230500000,-103.13844,13.977589
1240000000,-102.71735,-99.260284
1249500000,-102.81526,158.505
1259000000,-103.04257,-75.72496
1268500000,-102.92661,-5.0384583
1278000000,-102.87806,-75.104225
1287500000,-102.96578,6.8999958
1297000000,-103.08931,176.05373
1306500000,-103.15262,7.3835249
1316000000,-103.16089,-41.193596
1325500000,-102.97395,-53.947697
1335000000,-103.22968,-81.6642
1344500000,-103.04043,-29.173241
1354000000,-103.09339,-88.74102
1363500000,-103.0463,-110.65926
1373000000,-103.25346,-150.33246
1382500000,-103.20334,-128.68692
1392000000,-102.66547,-48.359329
1401500000,-102.87769,-50.280773
1411000000,-103.0062,46.919651
1420500000,-103.15243,143.0302
1430000000,-102.87138,13.524837
1439500000,-102.95053,-19.625063
1449000000,-102.85961,30.863474
1458500000,-102.6076,-16.204044
1468000000,-102.98029,145.02116
1477500000,-102.76723,-25.719532
1487000000,-102.69864,46.859447
1496500000,-102.74088,14.470199
1506000000,-105.63692,-115.5429
1515500000,-105.47556,60.579865
1525000000,-105.31812,56.995522
1534500000,-105.55978,47.135693
1544000000,-105.32365,-53.734997
1553500000,-105.66467,-170.07297
1563000000,-105.46228,134.45348
1572500000,-105.43079,-96.936813
1582000000,-105.36052,107.95436
1591500000,-105.45497,84.731293
1601000000,-105.41334,93.720535
1610500000,-105.37474,-84.074532
1620000000,-105.1582,-117.78928
1629500000,-105.21807,95.586266
1639000000,-105.11373,-173.94482
1648500000,-105.30191,135.95569
1658000000,-105.15433,56.48497
1667500000,-105.18505,171.19257
1677000000,-105.20761,-70.409386
1686500000,-104.99101,-92.44503
1696000000,-105.01548,-132.5957
1705500000,-105.1341,-67.642166
1715000000,-105.08611,-162.94016
1724500000,-105.2137,-137.14096
1734000000,-105.01676,8.7341118
1743500000,-104.80699,118.90705
1753000000,-104.74347,-24.828489
1762500000,-104.83698,148.66023
1772000000,-104.96152,12.644506
1781500000,-104.81087,-171.9231
1791000000,-104.89033,88.529747
1800500000,-104.72306,-85.290695
1810000000,-104.73724,-41.642906
1819500000,-104.95515,-61.933765
1829000000,-104.92857,105.60445
1838500000,-104.88858,-98.430092
1848000000,-104.76807,128.24342
1857500000,-104.5482,-159.91058
1867000000,-104.62908,164.00224
1876500000,-104.77091,166.56825
1886000000,-104.6104,99.419662
1895500000,-104.63675,-47.635227
1905000000,-104.67812,92.4244
1914500000,-104.52087,29.75057
1924000000,-104.70945,152.1358
1933500000,-104.79903,128.90819
1943000000,-104.5847,114.70657
1952500000,-104.58578,-58.273521
1962000000,-104.723,167.07635
1971500000,-104.40644,172.46536
1981000000,-104.15762,31.645687
1990500000,-104.382,-146.07449
2000000000,-104.38248,-112.20907
END

