!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:55:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_1(DB),B_1(DEG)
100000000,-104.09052,109.59541
109500000,-102.72814,-59.420029
119000000,-103.56992,111.86476
128500000,-104.36375,166.99292
138000000,-105.06613,88.629204
147500000,-101.97666,178.01146
157000000,-102.55238,-110.26575
166500000,-103.29288,19.19055
176000000,-103.62054,-40.293941
185500000,-104.19627,89.0448
195000000,-104.70971,-122.68524
204500000,-104.92892,18.775469
214000000,-102.33203,-62.958527
223500000,-102.56622,-33.226864
233000000,-102.94456,-124.71461
242500000,-102.86504,116.7043
252000000,-98.650459,85.8536
261500000,-98.909256,-82.72261
271000000,-99.123291,-142.57257
280500000,-99.395172,-94.463646
290000000,-99.642235,-87.433624
299500000,-99.890785,-122.48397
309000000,-100.03802,-107.65163
318500000,-100.37507,-15.062538
328000000,-100.34349,11.98243
337500000,-100.71148,-122.34412
347000000,-101.21487,52.053741
356500000,-101.04913,166.11455
366000000,-101.31463,102.03993
375500000,-101.58076,-109.49934
385000000,-101.52089,68.617744
394500000,-101.78518,25.308672
404000000,-102.08897,-66.026825
413500000,-102.16941,-119.20451
423000000,-102.65475,17.895996
432500000,-102.57023,179.5166
442000000,-102.41457,2.0366902
451500000,-102.88414,-12.551734
461000000,-102.98626,-29.96929
470500000,-103.22433,-17.776114
480000000,-103.27171,-55.633751
489500000,-103.2291,-113.37302
499000000,-103.60222,179.39587
508500000,-103.1953,-88.363785
518000000,-103.13097,55.180702
527500000,-103.39783,-51.099949
537000000,-103.44324,2.5452816
546500000,-103.35047,115.97878
556000000,-103.58892,-79.773087
565500000,-103.39285,45.866184
575000000,-103.57678,-159.58551
584500000,-103.73633,-114.96188
594000000,-103.96217,-162.91017
603500000,-104.30644,122.79871
613000000,-104.21112,-40.23856
622500000,-104.29511,-42.710419
632000000,-103.18654,-3.5919785
641500000,-103.3043,-179.48158
651000000,-103.65816,36.95153
660500000,-103.68861,55.834068
670000000,-103.52753,93.508408
679500000,-103.7658,-135.08743
689000000,-103.62463,7.7279692
698500000,-104.02175,-75.130081
708000000,-103.78847,-177.20871
717500000,-103.82712,99.296173
727000000,-104.01611,-10.848476
736500000,-104.12045,48.014008
746000000,-103.8457,99.642677
755500000,-104.43954,-65.963776
765000000,-104.39642,-8.2975254
774500000,-104.25474,-77.089912
784000000,-104.3305,21.053658
793500000,-104.38112,-144.31938
803000000,-104.33816,139.31079
812500000,-104.48525,-126.18932
822000000,-104.56786,127.62364
831500000,-104.81617,-128.51517
841000000,-104.58469,128.69832
850500000,-104.90614,-125.95395
860000000,-104.89043,114.22446
869500000,-105.02191,-116.80729
879000000,-104.90546,94.393196
888500000,-104.83532,-9.4096804
898000000,-104.99228,120.83136
907500000,-104.87347,147.04724
917000000,-105.04259,-24.981874
926500000,-104.91139,75.993492
936000000,-105.26348,-110.51226
945500000,-104.87051,-35.485676
955000000,-105.28232,-19.619244
964500000,-105.19251,155.9996
974000000,-105.34432,14.060246
983500000,-105.48749,19.522446
993000000,-105.35105,-10.355539
1002500000,-105.59195,76.205559
1012000000,-105.43874,27.224514
1021500000,-105.41135,-90.254044
1031000000,-105.20116,-160.75131
1040500000,-105.16502,-85.122841
1050000000,-105.4512,145.51204
1059500000,-105.42313,137.69975
1069000000,-105.43165,-91.954575
1078500000,-105.26342,12.771883
1088000000,-105.48431,100.99166
1097500000,-105.08752,-163.99513
1107000000,-105.64496,-142.08574
1116500000,-105.20828,138.80339
1126000000,-105.60865,-98.8517
1135500000,-105.58585,-155.2765
1145000000,-105.43592,6.3270993
1154500000,-105.54683,-42.338631
1164000000,-105.73524,57.738384
1173500000,-105.63455,-163.12682
1183000000,-105.39333,-179.7484
1192500000,-105.47312,-84.12751
1202000000,-105.51881,-68.763016
1211500000,-105.4369,82.953545
1221000000,-105.76923,-167.83727
1230500000,-105.61378,105.2344
1240000000,-105.53876,-79.839401
1249500000,-105.43329,129.22986
1259000000,-105.6656,68.472321
1268500000,-105.46831,-53.412022
1278000000,-105.39398,40.50898
1287500000,-105.22485,-137.45601
1297000000,-105.38565,25.790697
1306500000,-105.39,-110.73183
1316000000,-105.59409,-62.030773
1325500000,-105.30116,-152.53072
1335000000,-105.41747,-9.9109888
1344500000,-105.43722,-142.83879
1354000000,-105.15291,-86.759521
1363500000,-105.16949,-126.45844
1373000000,-105.48931,106.81375
1382500000,-105.23347,-65.968781
1392000000,-105.35202,-40.953625
1401500000,-105.24342,176.85548
1411000000,-105.28192,-80.710327
1420500000,-105.3519,-151.77765
1430000000,-105.22045,168.53625
1439500000,-105.15354,-135.1862
1449000000,-105.20663,114.89526
1458500000,-105.25815,-78.272652
1468000000,-105.08726,-151.79929
1477500000,-105.22867,170.62596
1487000000,-105.37701,-171.37764
1496500000,-105.00958,-44.040005
1506000000,-105.17091,148.00755
1515500000,-105.12073,89.207306
1525000000,-105.17061,-145.46686
1534500000,-105.18528,63.576324
1544000000,-105.07378,124.2723
1553500000,-104.93929,79.669464
1563000000,-105.12156,110.96101
1572500000,-105.11627,61.99456
1582000000,-104.78923,-58.698223
1591500000,-104.85132,35.999767
1601000000,-104.99039,106.7306
1610500000,-104.72379,-8.371623
1620000000,-104.61137,0.86521256
1629500000,-104.98221,-47.432293
1639000000,-104.83674,-143.23387
1648500000,-104.78111,99.43647
1658000000,-104.9005,-109.67408
1667500000,-104.72432,80.991737
1677000000,-104.66827,-143.85872
1686500000,-104.73902,-170.5341
1696000000,-104.64227,-128.1355
1705500000,-104.67342,-60.977066
1715000000,-104.6297,-8.4903212
1724500000,-104.72029,-174.54276
1734000000,-104.4097,-13.265454
1743500000,-104.39431,-133.50958
1753000000,-104.56179,153.07857
1762500000,-104.43188,132.85799
1772000000,-104.24988,-108.26942
1781500000,-104.25397,110.71368
1791000000,-104.58641,-112.3748
1800500000,-104.29665,-166.07864
1810000000,-104.39861,175.73164
1819500000,-104.15224,46.712742
1829000000,-104.45903,-36.87059
1838500000,-104.62434,-65.475952
1848000000,-104.11491,150.34888
1857500000,-104.4603,58.034767
1867000000,-104.08753,-123.11711
1876500000,-103.84936,117.09115
1886000000,-104.04358,-76.730957
1895500000,-103.94962,-18.709024
1905000000,-103.80506,-158.12054
1914500000,-104.28305,-107.78785
1924000000,-104.07179,-102.18433
1933500000,-103.89268,6.9736943
1943000000,-104.11101,-165.77589
1952500000,-104.06071,-97.996819
1962000000,-103.9623,6.4683123
1971500000,-103.67911,-173.215
1981000000,-103.81059,47.961403
1990500000,-104.20258,-164.80038
2000000000,-104.01719,44.791683
END

