!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:55:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(DB),DUTNPD(DEG)
100000000,-174.75412,80.035843
109500000,-174.14114,78.74501
119000000,-173.95293,78.306969
128500000,-173.68912,77.611603
138000000,-173.5891,77.356903
147500000,-171.72127,71.123009
157000000,-173.93077,78.403618
166500000,-173.38319,76.918625
176000000,-173.40506,77.017876
185500000,-173.35956,76.856987
195000000,-173.37599,76.961105
204500000,-173.19777,76.548462
214000000,-173.41698,77.332085
223500000,-173.46069,77.609756
233000000,-173.44127,77.736214
242500000,-173.36407,77.633995
252000000,-173.34239,77.614708
261500000,-173.30835,77.548134
271000000,-173.33377,77.583847
280500000,-173.34918,77.578201
290000000,-173.38817,77.660355
299500000,-173.43617,77.841682
309000000,-173.58238,78.245567
318500000,-173.40817,77.732048
328000000,-172.9856,76.495316
337500000,-173.27254,77.428848
347000000,-172.59953,75.527084
356500000,-172.4532,74.872444
366000000,-172.60188,75.350357
375500000,-173.37398,77.654411
385000000,-173.93285,79.192032
394500000,-173.88916,79.169762
404000000,-173.79749,79.063873
413500000,-174.02106,79.756424
423000000,-173.75928,79.29512
432500000,-173.48215,78.691902
442000000,-173.31131,78.314034
451500000,-173.29791,78.328445
461000000,-172.88936,77.188469
470500000,-172.9892,77.445442
480000000,-173.11015,77.742661
489500000,-173.11343,77.702629
499000000,-173.24393,78.007759
508500000,-173.39046,78.413315
518000000,-173.35057,78.336159
527500000,-173.31326,78.270813
537000000,-173.41388,78.579575
546500000,-173.28531,78.294365
556000000,-173.31415,78.512955
565500000,-173.35272,78.803719
575000000,-173.30066,78.859932
584500000,-173.25984,78.955315
594000000,-173.30659,79.260101
603500000,-173.24255,79.207481
613000000,-173.12251,78.87101
622500000,-173.21541,79.059868
632000000,-173.23599,79.100922
641500000,-173.2419,79.117409
651000000,-173.31372,79.287224
660500000,-173.39841,79.430237
670000000,-173.38341,79.334381
679500000,-173.46782,79.460037
689000000,-173.62411,79.734116
698500000,-173.48032,79.300873
708000000,-173.29608,78.765869
717500000,-173.38094,78.898956
727000000,-173.21913,78.424881
736500000,-172.9019,77.583778
746000000,-172.98772,77.828873
755500000,-173.25046,78.60675
765000000,-173.07095,78.216232
774500000,-172.99854,78.101151
784000000,-173.10728,78.461678
793500000,-173.2464,78.895424
803000000,-172.87334,78.04554
812500000,-172.74525,77.817833
822000000,-172.87413,78.277496
831500000,-173.15988,79.110397
841000000,-173.0477,78.894554
850500000,-173.35136,79.675827
860000000,-173.35931,79.741585
869500000,-173.34224,79.749397
879000000,-173.36351,79.823883
888500000,-173.49701,80.122002
898000000,-173.54573,80.226295
907500000,-173.5002,80.121819
917000000,-173.40782,79.910133
926500000,-173.33101,79.741295
936000000,-173.25571,79.573204
945500000,-173.21788,79.491539
955000000,-173.25778,79.593025
964500000,-173.16554,79.435173
974000000,-173.03102,79.201744
983500000,-173.02383,79.273758
993000000,-173.10852,79.562645
1002500000,-173.29518,80.082542
1012000000,-173.3577,80.331245
1021500000,-173.45628,80.649086
1031000000,-173.44083,80.7192
1040500000,-173.28973,80.500694
1050000000,-173.41396,80.71669
1059500000,-173.4644,80.754303
1069000000,-173.43207,80.616951
1078500000,-173.26152,80.175064
1088000000,-173.1778,79.914963
1097500000,-173.11221,79.692657
1107000000,-173.0556,79.486465
1116500000,-173.0513,79.401199
1126000000,-173.08627,79.414436
1135500000,-172.78813,78.653824
1145000000,-172.67517,78.335266
1154500000,-172.72038,78.425323
1164000000,-172.98634,79.06971
1173500000,-173.19322,79.704346
1183000000,-173.37762,80.311096
1192500000,-173.4415,80.627647
1202000000,-173.27112,80.437424
1211500000,-173.16798,80.377922
1221000000,-173.42958,81.064308
1230500000,-173.4841,81.302361
1240000000,-173.37039,81.203209
1249500000,-172.97282,80.510323
1259000000,-173.12328,80.812141
1268500000,-173.21196,80.971054
1278000000,-173.25128,81.027641
1287500000,-173.1962,80.891167
1297000000,-173.05862,80.544464
1306500000,-172.86917,80.04129
1316000000,-172.78056,79.747169
1325500000,-172.89111,79.907013
1335000000,-173.08333,80.273315
1344500000,-172.94106,80.026489
1354000000,-172.96049,80.139526
1363500000,-173.09383,80.498756
1373000000,-173.13673,80.655411
1382500000,-173.60263,81.760406
1392000000,-174.03107,82.698341
1401500000,-174.13788,83.035133
1411000000,-173.79373,82.633629
1420500000,-173.65329,82.511765
1430000000,-173.86189,82.902763
1439500000,-173.88586,82.98407
1449000000,-173.68234,82.695183
1458500000,-173.40515,82.262596
1468000000,-173.31664,81.959366
1477500000,-173.12978,81.453011
1487000000,-173.07779,81.186172
1496500000,-173.22479,81.308571
1506000000,-172.99487,80.547852
1515500000,-172.91162,80.343307
1525000000,-172.92241,80.341766
1534500000,-173.0341,80.557892
1544000000,-173.2187,80.920212
1553500000,-173.34868,81.160385
1563000000,-173.34605,81.131737
1572500000,-173.55751,81.638
1582000000,-173.92384,82.50753
1591500000,-174.17235,83.100807
1601000000,-174.21423,83.336845
1610500000,-174.0854,83.304955
1620000000,-173.83464,83.079163
1629500000,-173.5457,82.779068
1639000000,-173.32103,82.499428
1648500000,-173.26735,82.312286
1658000000,-173.25252,82.188698
1667500000,-173.2498,82.083664
1677000000,-173.23575,81.955231
1686500000,-173.21097,81.803444
1696000000,-173.1828,81.640938
1705500000,-173.18568,81.549904
1715000000,-173.2294,81.67907
1724500000,-173.28223,81.823212
1734000000,-173.35295,81.997231
1743500000,-173.35161,82.037842
1753000000,-173.39148,82.152161
1762500000,-173.32947,82.083244
1772000000,-173.16585,81.826828
1781500000,-173.40123,82.385559
1791000000,-173.55559,82.779694
1800500000,-173.59451,82.968994
1810000000,-173.51352,82.961456
1819500000,-173.40961,82.914726
1829000000,-173.37036,82.970024
1838500000,-173.34012,83.037376
1848000000,-173.00342,82.395248
1857500000,-172.65388,81.588936
1867000000,-172.44414,80.985153
1876500000,-172.36571,80.617805
1886000000,-171.592,78.576042
1895500000,-172.64384,80.775513
1905000000,-172.88513,81.055283
1914500000,-173.14409,81.526932
1924000000,-173.41336,82.11161
1933500000,-173.58932,82.498344
1943000000,-173.69832,82.75618
1952500000,-173.64169,82.735359
1962000000,-173.50235,82.575371
1971500000,-173.21701,82.154846
1981000000,-173.01918,81.882469
1990500000,-172.95313,81.861443
2000000000,-172.88182,81.829308
END

