!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:55:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.49846,0.018104328
109500000,-166.34152,0.013136917
119000000,-166.29491,0.012185602
128500000,-166.24411,0.013326916
138000000,-166.21875,0.016543712
147500000,-165.78331,0.01333775
157000000,-166.24203,0.016559551
166500000,-166.13748,0.015939273
176000000,-166.13158,0.015983995
185500000,-166.13104,0.015736118
195000000,-166.11845,0.015238342
204500000,-166.05374,0.01430964
214000000,-166.05383,0.013404178
223500000,-166.01625,0.012516014
233000000,-165.95909,0.011850372
242500000,-165.91245,0.011338459
252000000,-165.89647,0.010969116
261500000,-165.8821,0.010603628
271000000,-165.897,0.010353069
280500000,-165.91409,0.010188573
290000000,-165.92868,0.010142372
299500000,-165.9222,0.010239014
309000000,-165.9438,0.010773296
318500000,-165.92723,0.011390156
328000000,-165.85587,0.011631428
337500000,-165.88133,0.011453873
347000000,-165.72044,0.008783672
356500000,-165.73308,0.0098482203
366000000,-165.76649,0.0097497478
375500000,-165.91626,0.009906698
385000000,-165.98225,0.0097884545
394500000,-165.94626,0.0094399583
404000000,-165.89084,0.0092663914
413500000,-165.86949,0.0094557917
423000000,-165.77286,0.0094770873
432500000,-165.70009,0.0096803838
442000000,-165.65105,0.0099639557
451500000,-165.63306,0.010256612
461000000,-165.5675,0.010134074
470500000,-165.59305,0.010225076
480000000,-165.62602,0.010169839
489500000,-165.64134,0.0099234739
499000000,-165.67928,0.0097257672
508500000,-165.69861,0.0094550317
518000000,-165.68335,0.0091055706
527500000,-165.6667,0.0088078398
537000000,-165.66843,0.0086949645
546500000,-165.63129,0.0085053202
556000000,-165.5903,0.0083811712
565500000,-165.53365,0.0082692718
575000000,-165.46286,0.008132468
584500000,-165.39,0.0080031147
594000000,-165.33237,0.0079034632
603500000,-165.28661,0.0078343656
613000000,-165.28105,0.0078512738
622500000,-165.31017,0.0079311449
632000000,-165.3167,0.0078620948
641500000,-165.31697,0.0077431253
651000000,-165.33006,0.0076526133
660500000,-165.36446,0.0076510007
670000000,-165.38321,0.0076212971
679500000,-165.42328,0.007712076
689000000,-165.48077,0.0079291016
698500000,-165.49182,0.0080638863
708000000,-165.48953,0.0082621397
717500000,-165.53012,0.0085608363
727000000,-165.52357,0.0087215826
736500000,-165.46513,0.008601699
746000000,-165.47765,0.0086233579
755500000,-165.49625,0.010254206
765000000,-165.44153,0.010584108
774500000,-165.40506,0.010949993
784000000,-165.39992,0.011391155
793500000,-165.39677,0.011742579
803000000,-165.29703,0.011443507
812500000,-165.23854,0.011258747
822000000,-165.22543,0.01119301
831500000,-165.2374,0.011192179
841000000,-165.19832,0.010976318
850500000,-165.22931,0.010918632
860000000,-165.2132,0.010742034
869500000,-165.1933,0.010557807
879000000,-165.18718,0.010482585
888500000,-165.20863,0.010577667
898000000,-165.21724,0.010641789
907500000,-165.21191,0.010671685
917000000,-165.19937,0.010684619
926500000,-165.185,0.01071448
936000000,-165.1707,0.010744005
945500000,-165.16214,0.010787655
955000000,-165.1657,0.010861385
964500000,-165.12979,0.010695498
974000000,-165.07709,0.010415751
983500000,-165.04488,0.010189181
993000000,-165.02733,0.009999048
1002500000,-165.0218,0.0098248376
1012000000,-164.98846,0.0095548024
1021500000,-164.96039,0.0092994245
1031000000,-164.91632,0.0090138298
1040500000,-164.85353,0.0086954692
1050000000,-164.89046,0.0088120485
1059500000,-164.92552,0.0089588463
1069000000,-164.94917,0.0090836855
1078500000,-164.95277,0.0091670407
1088000000,-164.96761,0.0092987223
1097500000,-164.98396,0.0094593186
1107000000,-165.00165,0.0096239224
1116500000,-165.02757,0.0098082973
1126000000,-165.05797,0.0099780178
1135500000,-165.01845,0.0097628711
1145000000,-165.00816,0.0096154539
1154500000,-165.0247,0.0095271906
1164000000,-165.07771,0.0095177246
1173500000,-165.06067,0.0091450419
1183000000,-165.01625,0.0086389724
1192500000,-164.95428,0.0081094401
1202000000,-164.86005,0.0075369496
1211500000,-164.78046,0.007071211
1221000000,-164.7608,0.0068353279
1230500000,-164.7122,0.0065576225
1240000000,-164.64186,0.006253798
1249500000,-164.53275,0.005905211
1259000000,-164.56056,0.0059651514
1268500000,-164.58276,0.0060298019
1278000000,-164.59816,0.0060853832
1287500000,-164.60062,0.0061231549
1297000000,-164.60489,0.0061662933
1306500000,-164.61145,0.0062150429
1316000000,-164.63239,0.0062847324
1325500000,-164.68384,0.0063998788
1335000000,-164.73663,0.0064772652
1344500000,-164.68892,0.0062133721
1354000000,-164.66536,0.0059875301
1363500000,-164.65843,0.0057860939
1373000000,-164.63824,0.005568217
1382500000,-164.62317,0.005397419
1392000000,-164.58408,0.0052091628
1401500000,-164.50668,0.004979617
1411000000,-164.38104,0.004704176
1420500000,-164.30435,0.004567815
1430000000,-164.30426,0.0046277144
1439500000,-164.28322,0.0046651475
