!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 15:15:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.32494,-165.25603
109500000,-103.26745,149.88585
119000000,-104.05,-70.759178
128500000,-104.54797,-65.171989
138000000,-104.82208,-73.624588
147500000,-102.10992,-118.67908
157000000,-102.41152,-79.154541
166500000,-103.19432,-171.98112
176000000,-103.44173,-14.842474
185500000,-104.06921,-121.11615
195000000,-104.33033,-14.628675
204500000,-104.65582,-105.78645
214000000,-102.5617,-97.158531
223500000,-102.88957,-165.14609
233000000,-103.22783,-176.35973
242500000,-103.30631,-86.108055
252000000,-98.63118,117.06362
261500000,-99.422615,-163.96786
271000000,-99.363739,163.28746
280500000,-99.724648,34.352543
290000000,-100.1212,-0.42874274
299500000,-100.0512,34.994232
309000000,-100.56035,-125.50318
318500000,-100.63586,-16.509108
328000000,-101.08057,-131.33984
337500000,-101.07603,56.701275
347000000,-101.09764,-149.7189
356500000,-101.71719,-132.66507
366000000,-101.72305,101.93481
375500000,-102.0256,25.022282
385000000,-102.32836,-90.160774
394500000,-102.43225,70.496132
404000000,-101.56682,-110.41264
413500000,-101.7011,32.373936
423000000,-102.06394,76.496307
432500000,-102.13155,72.169746
442000000,-102.06795,40.91148
451500000,-102.49461,-177.53488
461000000,-102.68593,62.661247
470500000,-102.61268,-99.053436
480000000,-102.74731,166.50352
489500000,-103.14564,78.335129
499000000,-103.04118,-133.21043
508500000,-103.29244,-10.666441
518000000,-103.54246,111.78477
527500000,-103.88196,142.85599
537000000,-103.7968,34.411266
546500000,-103.86295,59.776329
556000000,-103.96446,38.137283
565500000,-103.93779,69.590546
575000000,-103.95141,2.6249225
584500000,-104.26446,27.352207
594000000,-104.38623,-61.93018
603500000,-104.3143,118.65091
613000000,-104.62926,25.509909
622500000,-104.75401,-99.227432
632000000,-103.98678,24.910521
641500000,-103.72527,23.246775
651000000,-103.75735,105.97881
660500000,-103.98875,29.477396
670000000,-103.90829,-145.61909
679500000,-104.10647,34.002552
689000000,-104.31393,45.961491
698500000,-104.16967,-8.4995613
708000000,-104.44319,-140.5215
717500000,-104.12,76.505096
727000000,-104.53783,77.44799
736500000,-104.18098,-171.53796
746000000,-104.68313,-91.440536
755500000,-104.70493,106.51396
765000000,-104.77345,-19.40617
774500000,-104.76773,-88.388023
784000000,-104.49335,87.54895
793500000,-104.7224,-172.67079
803000000,-105.04523,-161.8934
812500000,-104.96872,-100.65737
822000000,-105.14257,45.005642
831500000,-105.34868,18.899054
841000000,-105.03651,-140.61908
850500000,-105.18586,-78.197174
860000000,-105.455,-1.8052182
869500000,-105.36015,-30.520124
879000000,-105.6235,39.288231
888500000,-105.21207,-1.8145216
898000000,-105.54443,21.31377
907500000,-105.1562,-87.400665
917000000,-105.40319,25.072144
926500000,-105.04414,-6.9760351
936000000,-105.19308,91.188942
945500000,-105.68942,-28.507347
955000000,-105.3999,-128.22697
964500000,-105.52647,37.403679
974000000,-105.29333,33.119305
983500000,-105.6731,29.045284
993000000,-105.85336,-13.096591
1002500000,-102.83836,160.72874
1012000000,-103.05129,88.323532
1021500000,-103.19437,-21.054071
1031000000,-103.00257,39.419243
1040500000,-103.23872,26.455542
1050000000,-102.89856,135.03659
1059500000,-103.35152,126.22393
1069000000,-103.15421,26.090672
1078500000,-103.03867,71.386078
1088000000,-103.50304,-106.95858
1097500000,-103.14832,-110.61147
1107000000,-103.05018,107.99827
1116500000,-103.23783,-157.88135
1126000000,-102.95832,59.901257
1135500000,-103.10047,-132.20825
1145000000,-103.01066,15.100249
1154500000,-103.20833,147.59117
1164000000,-103.03035,68.838112
1173500000,-103.24844,-75.30426
1183000000,-103.18748,-105.57298
1192500000,-103.44112,103.89956
1202000000,-103.27499,70.203003
1211500000,-103.13506,-93.479233
1221000000,-102.93691,-103.99966
1230500000,-102.87002,153.91998
1240000000,-103.20774,73.048866
1249500000,-103.19663,145.57111
1259000000,-102.82658,-154.91995
1268500000,-102.86968,-79.551193
1278000000,-103.17719,45.89576
1287500000,-102.98711,91.139992
1297000000,-102.93028,-11.876025
1306500000,-103.09389,-65.983185
1316000000,-103.01119,132.35782
1325500000,-102.88979,120.45065
1335000000,-102.98839,-79.850677
1344500000,-103.03535,-69.593475
1354000000,-103.14038,-169.69609
1363500000,-103.0309,46.035896
1373000000,-102.85365,-123.38514
1382500000,-103.01741,30.461582
1392000000,-103.0166,-158.37457
1401500000,-103.15668,-174.95305
1411000000,-103.00513,-133.31297
1420500000,-103.01997,-125.05128
1430000000,-102.57545,-29.225721
1439500000,-102.94093,33.684982
