!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 15:15:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-101.44718,105.74065
109500000,-100.09925,102.38227
119000000,-100.95695,162.53703
128500000,-101.80363,83.919342
138000000,-102.07689,88.56736
147500000,-99.787773,109.00621
157000000,-100.56252,72.007881
166500000,-100.83698,-19.843981
176000000,-101.33799,-48.78677
185500000,-101.69682,-8.1929874
195000000,-102.2565,-29.023609
204500000,-102.30801,-14.601054
214000000,-100.19882,-108.6946
223500000,-100.61393,63.934868
233000000,-101.06948,169.49133
242500000,-101.17709,38.902523
252000000,-96.93454,-32.265064
261500000,-97.594582,-94.790367
271000000,-97.576981,129.79364
280500000,-97.936424,-79.728127
290000000,-98.298042,-99.260872
299500000,-98.473305,149.23953
309000000,-98.777519,-167.05156
318500000,-98.915199,-3.3863034
328000000,-99.048363,-21.423355
337500000,-99.480995,-2.7565827
347000000,-99.816963,-55.66087
356500000,-99.891029,131.59651
366000000,-100.00462,-152.11493
375500000,-100.24365,103.31646
385000000,-100.67161,-70.76786
394500000,-100.65042,-93.435333
404000000,-100.68816,18.451229
413500000,-100.98082,43.085392
423000000,-101.0376,21.607672
432500000,-101.2899,39.986126
442000000,-101.45159,-60.624466
451500000,-101.28596,-106.43547
461000000,-101.82385,-75.2052
470500000,-102.07803,39.760143
480000000,-102.10525,99.36972
489500000,-102.32751,-148.07996
499000000,-102.41882,28.049721
508500000,-101.86346,-58.465225
518000000,-102.26922,-47.381165
527500000,-102.10445,38.514599
537000000,-102.46042,82.859283
546500000,-102.52814,161.4411
556000000,-102.54626,127.68864
565500000,-102.63082,-146.18565
575000000,-102.48026,-168.90068
584500000,-102.88452,46.875858
594000000,-102.86694,151.75528
603500000,-103.12534,44.68832
613000000,-103.03915,38.011517
622500000,-103.14766,119.63053
632000000,-102.56274,83.877151
641500000,-102.55553,-131.22368
651000000,-102.76427,144.85519
660500000,-102.74918,-62.790886
670000000,-102.70237,-102.39428
679500000,-102.8167,77.072945
689000000,-103.04038,-70.213608
698500000,-103.24165,138.88297
708000000,-103.18822,93.967056
717500000,-103.06699,56.026443
727000000,-103.09786,21.601675
736500000,-103.26229,117.85413
746000000,-103.55939,-146.28789
755500000,-103.49661,134.65674
765000000,-103.38702,114.92295
774500000,-103.62957,-28.770571
784000000,-103.91155,116.73852
793500000,-103.94553,22.608152
803000000,-103.51862,128.20479
812500000,-103.83087,-69.310883
822000000,-103.9967,75.518776
831500000,-103.87804,-111.66425
841000000,-104.09874,-121.60331
850500000,-103.92719,79.304993
860000000,-104.15534,-38.471371
869500000,-104.07778,-18.095295
879000000,-104.43907,-64.371544
888500000,-104.16856,92.906036
898000000,-104.22486,-164.69632
907500000,-104.40031,174.56857
917000000,-104.60213,-37.607307
926500000,-104.25368,-116.31954
936000000,-104.51858,45.683277
945500000,-104.53596,135.50323
955000000,-104.6625,26.534571
964500000,-104.57592,4.1526747
974000000,-104.49208,-116.83506
983500000,-104.43901,-88.382675
993000000,-104.38631,-80.169563
1002500000,-104.7737,-112.238
1012000000,-104.69352,-53.119904
1021500000,-104.6974,-38.048351
1031000000,-104.8116,-131.6618
1040500000,-104.96934,-106.6024
1050000000,-104.62565,-45.138382
1059500000,-104.62003,-63.160568
1069000000,-105.21764,-128.23859
1078500000,-105.02568,-179.84537
1088000000,-104.8626,123.99999
1097500000,-104.81974,-118.42191
1107000000,-104.75425,92.023285
1116500000,-105.11307,-88.509521
1126000000,-105.02391,-27.559673
1135500000,-104.84915,102.75082
1145000000,-104.9826,63.443748
1154500000,-104.83075,-148.07806
1164000000,-104.60557,-26.091192
1173500000,-104.67212,33.989635
1183000000,-104.86237,123.29041
1192500000,-104.78372,-167.57605
1202000000,-105.07163,-70.749336
1211500000,-104.8371,48.739758
1221000000,-105.14108,48.529438
1230500000,-104.98642,19.195795
1240000000,-105.06305,-117.82831
1249500000,-104.92149,-10.944441
1259000000,-104.6678,44.222904
1268500000,-104.87029,-145.64532
1278000000,-104.8712,80.773499
1287500000,-104.74301,-161.55339
1297000000,-104.85995,44.295666
1306500000,-104.83212,-133.70891
1316000000,-104.97485,177.7823
1325500000,-104.54432,124.50748
1335000000,-104.83281,177.02042
1344500000,-104.72619,86.777069
1354000000,-104.73406,-130.21753
1363500000,-104.7681,-167.48074
1373000000,-104.39921,-18.497028
1382500000,-104.60713,147.19188
1392000000,-104.904,99.308456
1401500000,-104.64458,39.256134
1411000000,-104.57096,7.7951241
1420500000,-104.61366,-152.57471
1430000000,-104.61578,144.10353
1439500000,-104.8434,85.436623
1449000000,-104.47626,-22.091269
1458500000,-104.78588,19.135147
1468000000,-104.65742,-155.06056
1477500000,-104.69821,-23.360498
1487000000,-104.59052,61.158245
1496500000,-104.38991,1.9077724
1506000000,-104.88203,-19.710257
1515500000,-104.59074,10.876843
1525000000,-104.51981,27.179691
1534500000,-104.19023,49.474758
1544000000,-104.68096,-48.898857
1553500000,-104.27369,142.94601
1563000000,-104.52832,-156.1049
1572500000,-104.38304,-87.084648
1582000000,-104.32347,-158.27626
1591500000,-104.32764,123.60806
1601000000,-104.40926,25.828558
1610500000,-104.26068,-78.943253
1620000000,-104.30499,-169.45378
1629500000,-104.31668,131.90361
1639000000,-104.29961,166.37051
1648500000,-104.24455,85.304504
1658000000,-104.21482,-75.694633
1667500000,-104.06011,-67.352425
1677000000,-104.13183,173.83566
1686500000,-104.006,-175.13895
1696000000,-103.5798,-88.882607
1705500000,-104.0881,19.921282
1715000000,-104.0536,35.701389
1724500000,-103.98517,-36.916027
1734000000,-103.88868,164.56259
1743500000,-103.94894,132.0323
1753000000,-103.97464,-133.03281
1762500000,-103.90386,124.94535
