!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 15:15:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.65327,79.806587
109500000,-174.02014,78.435493
119000000,-173.80331,77.909027
128500000,-173.53777,77.186508
138000000,-173.42465,76.885582
147500000,-171.58257,70.555702
157000000,-173.73549,77.885689
166500000,-173.17456,76.298546
176000000,-173.13644,76.220222
185500000,-173.06818,75.979759
195000000,-173.07332,76.055527
204500000,-172.87912,75.565727
214000000,-173.0764,76.336037
223500000,-173.06572,76.471649
233000000,-173.04257,76.597832
242500000,-172.92702,76.371353
252000000,-172.85052,76.18351
261500000,-172.74452,75.886948
271000000,-172.76404,75.908646
280500000,-172.78122,75.907799
290000000,-172.74353,75.760849
299500000,-172.75688,75.860085
309000000,-172.81676,76.061081
318500000,-172.63701,75.441765
328000000,-172.23624,74.07151
337500000,-172.43314,74.861275
347000000,-171.8295,72.871399
356500000,-171.66299,72.032921
366000000,-171.77351,72.445862
375500000,-172.3887,74.644676
385000000,-172.80621,76.101608
394500000,-172.72313,75.951515
404000000,-172.59427,75.699455
413500000,-172.73024,76.327728
423000000,-172.47266,75.736214
432500000,-172.22322,75.039604
442000000,-172.05342,74.553444
451500000,-171.98218,74.375305
461000000,-171.63458,73.112549
470500000,-171.68208,73.253571
480000000,-171.71609,73.327782
489500000,-171.69455,73.184303
499000000,-171.71989,73.210968
508500000,-171.79034,73.492088
518000000,-171.73979,73.346657
527500000,-171.64259,73.03685
537000000,-171.68011,73.241821
546500000,-171.55177,72.83744
556000000,-171.54344,73.01136
565500000,-171.52147,73.208549
575000000,-171.43292,73.157173
584500000,-171.35999,73.179764
594000000,-171.33267,73.363213
603500000,-171.2469,73.205315
613000000,-171.15254,72.79599
622500000,-171.19919,72.907379
632000000,-171.19427,72.874847
641500000,-171.18411,72.840149
651000000,-171.21132,72.934151
660500000,-171.25616,73.007591
670000000,-171.2607,72.931557
679500000,-171.26746,72.838837
689000000,-171.33228,72.933426
698500000,-171.23962,72.43705
708000000,-171.19237,72.130302
717500000,-171.10291,71.657967
727000000,-170.94315,70.918869
736500000,-170.67369,69.808609
746000000,-170.71387,69.994492
755500000,-170.87468,70.799736
765000000,-170.74516,70.384415
774500000,-170.68829,70.26783
784000000,-170.73618,70.586617
793500000,-170.80302,70.990601
803000000,-170.55028,70.126251
812500000,-170.47444,69.990143
822000000,-170.53552,70.428085
831500000,-170.69409,71.251595
841000000,-170.68898,71.330513
850500000,-170.72829,71.569084
860000000,-170.73549,71.678078
869500000,-170.70071,71.621628
879000000,-170.69911,71.65905
888500000,-170.77898,71.964851
898000000,-170.78395,71.977554
907500000,-170.7299,71.760574
917000000,-170.63382,71.373985
926500000,-170.60342,71.265152
936000000,-170.52853,70.975433
945500000,-170.49174,70.838356
955000000,-170.48137,70.808937
964500000,-170.38614,70.521072
974000000,-170.29468,70.295654
983500000,-170.29822,70.464569
993000000,-170.39297,71.004402
1002500000,-170.48067,71.516777
1012000000,-170.56361,72.037552
1021500000,-170.62108,72.446587
1031000000,-170.60182,72.558098
1040500000,-170.47765,72.269371
1050000000,-170.56238,72.506042
1059500000,-170.59196,72.495003
1069000000,-170.55475,72.228142
1078500000,-170.45779,71.723274
1088000000,-170.37906,71.283455
1097500000,-170.34859,71.03511
1107000000,-170.32564,70.813881
1116500000,-170.36436,70.843117
1126000000,-170.38777,70.818558
1135500000,-170.16679,69.850143
1145000000,-170.06564,69.368683
1154500000,-170.10124,69.477158
1164000000,-170.25507,70.089508
1173500000,-170.3667,70.799263
1183000000,-170.45284,71.488922
1192500000,-170.47972,71.92128
1202000000,-170.41005,71.967331
1211500000,-170.39795,72.212776
1221000000,-170.54637,73.01738
1230500000,-170.62602,73.541809
1240000000,-170.53987,73.461197
1249500000,-170.26936,72.697647
1259000000,-170.38901,73.113113
1268500000,-170.42664,73.20829
1278000000,-170.42131,73.146538
1287500000,-170.36549,72.898209
1297000000,-170.27411,72.452248
1306500000,-170.18153,71.942833
1316000000,-170.14023,71.622528
1325500000,-170.20003,71.697144
1335000000,-170.33459,72.110603
1344500000,-170.22937,71.823395
1354000000,-170.22328,71.92083
1363500000,-170.28131,72.264282
1373000000,-170.3427,72.613457
1382500000,-170.61481,73.9272
1392000000,-170.84454,75.057358
1401500000,-170.91476,75.608673
1411000000,-170.79333,75.534683
1420500000,-170.728,75.544357
1430000000,-170.89503,76.150658
1439500000,-170.91216,76.284042
1449000000,-170.82549,76.099937
1458500000,-170.6779,75.716286
1468000000,-170.61781,75.266251
1477500000,-170.53656,74.727364
1487000000,-170.52272,74.397583
1496500000,-170.58672,74.324593
1506000000,-170.45264,73.35601
1515500000,-170.37852,73.043617
1525000000,-170.40604,73.102455
1534500000,-170.48915,73.363213
1544000000,-170.60893,73.750381
1553500000,-170.70673,74.053238
1563000000,-170.74602,74.149345
1572500000,-170.903,74.844719
1582000000,-171.16023,76.043953
1591500000,-171.32275,76.872841
1601000000,-171.30586,77.143974
1610500000,-171.2168,77.197815
1620000000,-171.11096,77.196434
1629500000,-170.91306,76.922333
