!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 15:15:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.48325,0.018040989
109500000,-166.3212,0.013075592
119000000,-166.26889,0.012112796
128500000,-166.21648,0.013242357
138000000,-166.18816,0.01642758
147500000,-165.74756,0.013228387
157000000,-166.20818,0.016430913
166500000,-166.09737,0.015792711
176000000,-166.07997,0.015795194
185500000,-166.07437,0.015532094
195000000,-166.05991,0.015034292
204500000,-165.9904,0.014102437
214000000,-165.98929,0.013206464
223500000,-165.94241,0.012305003
233000000,-165.88516,0.011650343
242500000,-165.83054,0.011126627
252000000,-165.80371,0.010737283
261500000,-165.77455,0.010344252
271000000,-165.78851,0.010097674
280500000,-165.80592,0.0099379458
290000000,-165.80569,0.0098591819
299500000,-165.79378,0.0099406783
309000000,-165.80193,0.010427051
318500000,-165.77905,0.011008104
328000000,-165.7003,0.011222161
337500000,-165.71568,0.011025224
347000000,-165.55095,0.0084474636
356500000,-165.55244,0.0094470195
366000000,-165.58138,0.0093428884
375500000,-165.72206,0.0094734747
385000000,-165.78081,0.0093447901
394500000,-165.73662,0.008995085
404000000,-165.67195,0.0088109253
413500000,-165.64532,0.0089800898
423000000,-165.54108,0.0089845527
432500000,-165.46329,0.0091666942
442000000,-165.40793,0.0094214901
451500000,-165.37761,0.0096707297
461000000,-165.306,0.0095418599
470500000,-165.32381,0.0096104108
480000000,-165.34212,0.0095262993
489500000,-165.35094,0.0092816036
499000000,-165.37067,0.0090586152
508500000,-165.3813,0.0087888595
518000000,-165.36188,0.0084558809
527500000,-165.3298,0.0081504202
537000000,-165.32433,0.0080326125
546500000,-165.2802,0.007844789
556000000,-165.23592,0.0077244355
565500000,-165.17268,0.0076097739
575000000,-165.09497,0.0074719326
584500000,-165.01726,0.0073448829
594000000,-164.95119,0.0072393371
603500000,-164.89886,0.0071652136
613000000,-164.8895,0.0071743801
622500000,-164.91324,0.0072384104
632000000,-164.91499,0.007167513
641500000,-164.91199,0.0070537031
651000000,-164.91983,0.0069628414
660500000,-164.94943,0.0069537037
670000000,-164.9697,0.0069291242
679500000,-164.99559,0.0069887959
689000000,-165.04092,0.0071653989
698500000,-165.04919,0.0072825016
708000000,-165.06271,0.0074887774
717500000,-165.06467,0.0076908008
727000000,-165.0426,0.007807273
736500000,-164.96922,0.0076734759
746000000,-164.97745,0.0076852227
755500000,-164.99585,0.0091382144
765000000,-164.94057,0.0094309915
774500000,-164.90427,0.0097574219
784000000,-164.89561,0.010142318
793500000,-164.88945,0.010447933
803000000,-164.79097,0.010184817
812500000,-164.73878,0.010034923
822000000,-164.72321,0.0099706752
831500000,-164.73236,0.009963491
841000000,-164.71249,0.0098146265
850500000,-164.70695,0.0096812872
860000000,-164.69337,0.0095302612
869500000,-164.6694,0.0093580093
879000000,-164.66069,0.0092858206
888500000,-164.68169,0.0093690231
898000000,-164.68416,0.0094125532
907500000,-164.67207,0.0094242794
917000000,-164.64917,0.0094132368
926500000,-164.63913,0.0094489651
936000000,-164.61769,0.0094594238
945500000,-164.60588,0.0094907628
955000000,-164.60086,0.0095367879
964500000,-164.55727,0.0093745161
974000000,-164.50577,0.0091318432
983500000,-164.47945,0.0089453338
993000000,-164.47684,0.0088086575
1002500000,-164.46916,0.0086509008
1012000000,-164.45218,0.0084448773
1021500000,-164.42877,0.0082280273
1031000000,-164.3871,0.0079797115
1040500000,-164.32062,0.0076913359
1050000000,-164.35809,0.0077954587
1059500000,-164.38995,0.0079194531
1069000000,-164.4059,0.0080155702
1078500000,-164.40703,0.0080845356
1088000000,-164.41136,0.0081808548
1097500000,-164.4268,0.0083203968
1107000000,-164.44418,0.008464586
1116500000,-164.47758,0.0086416155
1126000000,-164.50555,0.0087862369
1135500000,-164.45517,0.0085753109
1145000000,-164.4355,0.0084275743
1154500000,-164.45294,0.0083519872
1164000000,-164.50214,0.0083363354
1173500000,-164.48787,0.0080150301
