!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 07:51:44
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(DB),DUTNPD(DEG)
100000000,-174.9487,80.464211
109500000,-174.31598,79.178429
119000000,-174.10744,78.704971
128500000,-173.79813,77.909561
138000000,-173.68111,77.613701
147500000,-171.81998,71.518089
157000000,-174.07393,78.769905
166500000,-173.49416,77.23764
176000000,-173.50566,77.305374
185500000,-173.46553,77.16317
195000000,-173.53841,77.424217
204500000,-173.35539,77.011353
214000000,-173.58047,77.785812
223500000,-173.62582,78.058533
233000000,-173.61792,78.211082
242500000,-173.54938,78.135567
252000000,-173.50034,78.04406
261500000,-173.45569,77.951164
271000000,-173.47795,77.97728
280500000,-173.52432,78.054787
290000000,-173.56099,78.127808
299500000,-173.57973,78.225807
309000000,-173.72211,78.607826
318500000,-173.54231,78.094353
328000000,-173.0976,76.826996
337500000,-173.40628,77.7985
347000000,-172.77943,76.09111
356500000,-172.54739,75.182594
366000000,-172.71352,75.706741
375500000,-173.47868,77.939804
385000000,-174.05212,79.47821
394500000,-173.97287,79.371758
404000000,-173.86824,79.236465
413500000,-174.09061,79.915794
423000000,-173.83894,79.485298
432500000,-173.55893,78.885086
442000000,-173.42354,78.60424
451500000,-173.40157,78.596436
461000000,-172.96327,77.397736
470500000,-173.11159,77.783722
480000000,-173.22888,78.063599
489500000,-173.24268,78.052719
499000000,-173.39375,78.403229
508500000,-173.52599,78.760109
518000000,-173.51735,78.764183
527500000,-173.39975,78.495857
537000000,-173.52509,78.860992
546500000,-173.37828,78.535652
556000000,-173.41168,78.761475
565500000,-173.50757,79.18647
575000000,-173.40959,79.129219
584500000,-173.40889,79.319221
594000000,-173.44435,79.587975
603500000,-173.36923,79.510765
613000000,-173.25406,79.195099
622500000,-173.38397,79.466873
632000000,-173.37645,79.439865
641500000,-173.41364,79.529831
651000000,-173.47183,79.661842
660500000,-173.5638,79.816757
670000000,-173.57137,79.776428
679500000,-173.63841,79.85743
689000000,-173.78003,80.088821
