!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 07:51:44
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.52699,0.018223649
109500000,-166.37006,0.013223518
119000000,-166.32101,0.012259078
128500000,-166.26355,0.013386697
138000000,-166.23546,0.016607516
147500000,-165.80824,0.013414555
157000000,-166.26608,0.016651489
166500000,-166.15819,0.016015453
176000000,-166.15024,0.016052837
185500000,-166.15091,0.015808264
195000000,-166.14853,0.015344252
204500000,-166.08374,0.014408791
214000000,-166.08337,0.01349567
223500000,-166.04553,0.0126007
233000000,-165.99011,0.011935311
242500000,-165.94519,0.011424282
252000000,-165.9245,0.011040105
261500000,-165.90839,0.01066799
271000000,-165.92267,0.010414433
280500000,-165.94518,0.010261775
290000000,-165.9592,0.010213899
299500000,-165.9473,0.010298358
309000000,-165.96754,0.010832356
318500000,-165.95088,0.011452351
328000000,-165.87733,0.011689072
337500000,-165.90541,0.011517555
347000000,-165.75674,0.0088574067
356500000,-165.75294,0.0098933754
366000000,-165.7894,0.009801304
375500000,-165.93489,0.0099492678
385000000,-166.00117,0.0098311687
394500000,-165.95959,0.0094689764
404000000,-165.90222,0.0092907101
413500000,-165.88007,0.0094788438
423000000,-165.78543,0.0095045548
432500000,-165.71278,0.0097087286
442000000,-165.67007,0.010007703
451500000,-165.65063,0.0102982
461000000,-165.58112,0.010165866
470500000,-165.6151,0.010277092
480000000,-165.64697,0.010219021
489500000,-165.6642,0.0099758422
499000000,-165.70517,0.0097839097
508500000,-165.72136,0.0095047075
518000000,-165.71144,0.0091646491
527500000,-165.68144,0.0088377958
537000000,-165.68692,0.0087320618
546500000,-165.64709,0.0085363388
556000000,-165.60663,0.0084127337
565500000,-165.55884,0.0083173942
575000000,-165.48061,0.0081657656
584500000,-165.41399,0.0080474494
594000000,-165.35403,0.0079429923
603500000,-165.30664,0.0078705996
613000000,-165.30241,0.0078899721
622500000,-165.33705,0.0079803746
632000000,-165.33907,0.0079027126
641500000,-165.34421,0.0077918395
651000000,-165.35484,0.0076964009
660500000,-165.39006,0.0076962342
670000000,-165.41246,0.0076727988
679500000,-165.4496,0.0077589573
689000000,-165.50432,0.0079722134
698500000,-165.5183,0.0081131691
708000000,-165.54388,0.0083661843
717500000,-165.56044,0.0086208256
727000000,-165.5571,0.0087891938
736500000,-165.49701,0.0086650383
746000000,-165.5024,0.0086726397
755500000,-165.51686,0.010302969
765000000,-165.46237,0.010635014
774500000,-165.42708,0.01100567
784000000,-165.41986,0.011443576
793500000,-165.4261,0.011822148
803000000,-165.32475,0.011516814
812500000,-165.26726,0.011333444
822000000,-165.25093,0.011258926
831500000,-165.26903,0.011273975
841000000,-165.26746,0.011152469
