!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:35:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,234.56572,1379.6732
109500000,273.22964,1402.63
119000000,284.60083,1408.4152
128500000,302.26987,1410.1633
138000000,311.63736,1413.0128
147500000,478.28024,1425.1312
157000000,287.12286,1427.7474
166500000,325.909,1430.2966
176000000,326.92767,1434.38
185500000,326.72305,1431.1163
195000000,325.57028,1437.505
204500000,339.77344,1450.1285
214000000,320.81955,1467.1598
223500000,316.85672,1486.092
233000000,319.63214,1508.6317
242500000,324.8714,1522.594
252000000,328.24017,1527.7551
261500000,330.01736,1531.2842
271000000,326.79135,1526.866
280500000,324.32785,1520.7412
290000000,322.68262,1517.5059
299500000,321.80627,1523.9122
309000000,310.95297,1525.6158
318500000,322.75119,1519.6378
328000000,357.93378,1516.5132
337500000,333.31143,1528.8375
347000000,388.53214,1542.2444
356500000,402.6474,1522.9694
366000000,388.60684,1521.9944
375500000,325.64374,1521.719
385000000,285.18826,1533.9679
394500000,289.85876,1546.2133
404000000,295.27267,1563.5359
413500000,280.60468,1587.8861
423000000,299.90247,1612.2563
432500000,320.18146,1624.5881
442000000,330.6857,1633.6589
451500000,332.85074,1640.7902
461000000,365.75284,1637.4911
470500000,356.64145,1634.1389
480000000,344.58838,1629.0339
489500000,346.58334,1622.3418
499000000,335.7894,1615.6162
508500000,326.15469,1618.2902
518000000,324.97144,1622.1162
527500000,332.39716,1626.7411
537000000,322.67566,1633.6652
546500000,334.90485,1640.6313
556000000,331.12656,1661.6575
565500000,325.32599,1690.8878
575000000,329.51074,1720.1378
584500000,330.84875,1751.7628
594000000,328.32593,1783.406
603500000,333.14175,1800.8688
613000000,340.62518,1793.9938
622500000,333.75275,1787.1162
632000000,334.07465,1785.531
641500000,330.40552,1785.8696
651000000,325.54767,1785.1011
660500000,318.90823,1774.8696
670000000,318.95618,1764.6378
679500000,314.02985,1751.7826
689000000,303.26501,1735.9951
698500000,313.09457,1720.1635
708000000,312.77139,1707.1635
717500000,320.09491,1694.724
727000000,331.55093,1685.1378
736500000,359.34351,1686.4972
746000000,352.48611,1687.849
755500000,336.30508,1700.4646
765000000,351.40747,1711.8833
774500000,354.82016,1723.347
784000000,343.31888,1734.7628
793500000,330.61499,1747.4719
803000000,363.0687,1765.2587
812500000,371.59479,1783.0941
822000000,359.96109,1800.8837
831500000,335.78305,1818.7178
841000000,327.46771,1829.1361
850500000,324.33093,1837.8511
860000000,319.21371,1846.5111
869500000,319.89221,1855.2261
879000000,318.23065,1859.9692
888500000,311.25436,1859.2445
898000000,305.49716,1858.5134
907500000,309.71262,1857.8451
917000000,319.78436,1857.1604
926500000,327.12723,1858.5297
936000000,328.06427,1859.8861
945500000,331.70953,1861.2439
955000000,328.14444,1862.6162
964500000,335.23022,1873.5341
974000000,346.10828,1889.7242
983500000,345.54468,1905.8663
993000000,336.87796,1922.0087
1002500000,327.87308,1939.7826
1012000000,315.8045,1962.2244
1021500000,314.00186,1984.6165
1031000000,313.47504,2007.0083
1040500000,324.92545,2029.4021
1050000000,315.18079,2018.9076
1059500000,311.91913,2003.8535
1069000000,316.3912,1988.7562
1078500000,324.17093,1973.6547
1088000000,335.68939,1959.1312
1097500000,339.29233,1945.1372
1107000000,342.33234,1931.1558
1116500000,341.78833,1917.1591
1126000000,334.08859,1904.2202
1135500000,362.11438,1899.5341
1145000000,374.74344,1894.9059
1154500000,367.67401,1890.281
1164000000,345.85284,1885.6385
1173500000,329.68799,1911.4091
1183000000,314.5538,1949.101
1192500000,308.44336,1986.7438
1202000000,320.48505,2024.3882
1211500000,330.62659,2059.9736
1221000000,312.43903,2091.2764
1230500000,306.14343,2122.6284
1240000000,319.23132,2153.9946
1249500000,350.37506,2185.2827
1259000000,335.5433,2181.4812
1268500000,323.71097,2175.6584
1278000000,326.33871,2169.8682
1287500000,332.5069,2164.0933
1297000000,342.19714,2150.4138
1306500000,351.89658,2130.6621
1316000000,359.04733,2110.9045
1325500000,352.06995,2091.1392
1335000000,334.3576,2077.5002
1344500000,340.83435,2092.5117
1354000000,343.11462,2107.5337
1363500000,337.04068,2122.6013
1373000000,331.05835,2137.6216
1382500000,295.59116,2182.0334
1392000000,272.04861,2234.3494
1401500000,264.20609,2286.6111
1411000000,280.77811,2338.8938
1420500000,292.05099,2376.0071
1430000000,279.33783,2390.7322
1439500000,278.61121,2405.4043
1449000000,289.96371,2420.1035
1458500000,313.82886,2433.7571
1468000000,323.62659,2389.0259
1477500000,330.39954,2344.28
1487000000,331.35379,2299.5884
1496500000,320.46106,2254.8579
1506000000,355.64285,2183.0115
1515500000,359.94431,2177.2507
1525000000,355.52435,2171.4946
1534500000,350.18835,2165.7214
1544000000,338.65891,2159.9075
1553500000,324.69669,2154.1321
1563000000,323.67105,2148.3647
1572500000,316.12408,2172.092
1582000000,285.81808,2231.2263
1591500000,267.51163,2290.3384
1601000000,268.16104,2349.4771
1610500000,280.17615,2408.5847
1620000000,294.7399,2467.7268
1629500000,311.52768,2526.781
1639000000,329.11441,2560.6572
1648500000,336.77847,2528.6567
1658000000,336.79794,2496.6707
1667500000,336.30841,2464.6707
1677000000,340.3277,2432.6707
1686500000,341.59564,2400.6753
1696000000,342.64963,2368.6709
1705500000,341.69305,2341.2322
1715000000,342.36206,2354.2813
1724500000,336.61737,2367.3965
1734000000,329.98349,2380.4849
1743500000,325.58688,2393.5313
1753000000,326.72385,2406.6465
1762500000,333.07907,2419.7444
1772000000,341.96909,2432.7813
1781500000,320.28113,2475.7756
1791000000,311.28448,2521.2571
1800500000,315.1691,2566.7415
1810000000,316.46399,2612.2295
1819500000,321.56577,2657.6621
1829000000,328.85361,2703.0969
1838500000,330.47095,2748.5803
1848000000,356.6145,2716.76
1857500000,384.64151,2658.6621
1867000000,404.66397,2600.5303
1876500000,411.75839,2542.4766
1886000000,401.57642,2484.3518
1895500000,382.42468,2426.2571
1905000000,363.78018,2368.1541
1914500000,345.00842,2357.2595
1924000000,320.47626,2382.0913
1933500000,302.67529,2406.9011
1943000000,299.69589,2431.7349
1952500000,302.1954,2456.5129
1962000000,313.1951,2481.3518
1971500000,336.71622,2506.1707
1981000000,355.63626,2533.8303
1990500000,358.10931,2565.9253
2000000000,360.40475,2598.0071
END

