!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:35:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1614.2543,0.51254231
109500000,1675.8627,0.38559818
119000000,1693.0201,0.36153439
128500000,1712.4299,0.40004772
138000000,1724.6564,0.49951899
147500000,1903.4178,0.44518986
157000000,1714.8676,0.49732241
166500000,1756.2173,0.49035847
176000000,1761.3055,0.49240384
185500000,1757.8326,0.48482752
195000000,1763.0702,0.47085434
204500000,1789.8971,0.44879463
214000000,1787.9844,0.42038849
223500000,1802.9374,0.39594486
233000000,1828.2644,0.37985355
242500000,1847.4575,0.36736998
252000000,1855.9912,0.35671192
261500000,1861.3076,0.34596974
271000000,1853.6523,0.336638
280500000,1845.0645,0.32998776
290000000,1840.1869,0.32739007
299500000,1845.7244,0.3310034
309000000,1836.5492,0.34654719
318500000,1842.401,0.36779049
328000000,1874.4595,0.38180327
337500000,1862.131,0.37377709
347000000,1930.7711,0.29745799
356500000,1925.6116,0.33253956
366000000,1910.5977,0.32669154
375500000,1847.3535,0.32069793
385000000,1819.1428,0.31209147
394500000,1836.0581,0.30348501
404000000,1858.8138,0.30173081
413500000,1868.5035,0.30941555
423000000,1912.155,0.31708983
432500000,1944.7517,0.3293649
442000000,1964.3566,0.34286278
451500000,1973.6591,0.35439852
461000000,2003.2361,0.35548967
470500000,1990.7957,0.3565782
480000000,1973.6328,0.3519702
489500000,1968.9117,0.34223393
499000000,1951.3978,0.3324984
508500000,1944.457,0.32180724
518000000,1947.0706,0.3110036
527500000,1959.1245,0.30199027
537000000,1956.3566,0.29800132
546500000,1975.5372,0.29400569
556000000,1992.7887,0.29246134
565500000,2016.2307,0.29234576
575000000,2049.658,0.2922335
584500000,2082.6306,0.29245082
594000000,2111.7415,0.29266739
603500000,2134.0032,0.29318169
613000000,2134.6077,0.29419032
622500000,2120.8594,0.2951974
632000000,2119.6121,0.2921882
641500000,2116.2749,0.28774807
651000000,2110.6365,0.28352833
660500000,2093.7805,0.28123307
670000000,2083.6064,0.27893433
679500000,2065.8198,0.27966464
689000000,2039.2511,0.28375331
698500000,2033.2813,0.28784266
708000000,2019.9576,0.29507533
717500000,2014.8102,0.30289939
727000000,2016.7019,0.30905238
736500000,2045.8387,0.30893263
746000000,2040.3285,0.30881956
