!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:08:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,235.1496,1379.6732
109500000,271.36035,1402.63
119000000,283.38898,1408.4152
128500000,301.70746,1410.1633
138000000,308.8385,1413.0128
147500000,476.84119,1425.1312
157000000,283.77838,1427.7474
166500000,325.40036,1430.2966
176000000,326.65491,1434.38
185500000,327.08835,1431.1163
195000000,324.1235,1437.505
204500000,338.05899,1450.1285
214000000,319.42953,1467.1598
223500000,318.26602,1486.092
233000000,317.34216,1508.6317
242500000,322.94611,1522.594
252000000,328.05872,1527.7551
261500000,327.43277,1531.2842
271000000,324.94717,1526.866
280500000,325.40887,1520.7412
290000000,322.58606,1517.5059
299500000,318.11395,1523.9122
309000000,308.09125,1525.6158
318500000,322.78226,1519.6378
328000000,356.34668,1516.5132
337500000,331.01666,1528.8375
347000000,387.99698,1542.2444
356500000,401.93484,1522.9694
366000000,387.09286,1521.9944
375500000,323.75125,1521.719
385000000,285.39832,1533.9679
394500000,289.75549,1546.2133
404000000,294.34164,1563.5359
413500000,280.05112,1587.8861
423000000,299.48563,1612.2563
432500000,318.97858,1624.5881
442000000,329.99847,1633.6589
451500000,332.86963,1640.7902
461000000,364.45334,1637.4911
470500000,354.91821,1634.1389
480000000,344.50317,1629.0339
489500000,343.51727,1622.3418
499000000,333.18674,1615.6162
508500000,320.78857,1618.2902
518000000,325.97815,1622.1162
527500000,331.45905,1626.7411
537000000,321.45758,1633.6652
546500000,332.33908,1640.6313
556000000,329.67337,1661.6575
565500000,324.63284,1690.8878
575000000,326.6734,1720.1378
584500000,330.7052,1751.7628
594000000,329.00638,1783.406
603500000,333.19046,1800.8688
613000000,341.08099,1793.9938
622500000,331.0798,1787.1162
632000000,331.92847,1785.531
641500000,331.75055,1785.8696
651000000,324.81412,1785.1011
660500000,317.62375,1774.8696
670000000,316.68854,1764.6378
679500000,313.75549,1751.7826
689000000,303.67542,1735.9951
698500000,310.71152,1720.1635
708000000,314.12094,1707.1635
717500000,319.64716,1694.724
727000000,331.39182,1685.1378
736500000,356.99591,1686.4972
746000000,351.87259,1687.849
755500000,333.32364,1700.4646
765000000,346.30307,1711.8833
774500000,354.16934,1723.347
784000000,343.52765,1734.7628
793500000,331.01303,1747.4719
803000000,360.11041,1765.2587
812500000,371.35141,1783.0941
822000000,361.39902,1800.8837
831500000,331.99536,1818.7178
841000000,324.75708,1829.1361
850500000,321.82822,1837.8511
860000000,317.7204,1846.5111
869500000,318.18323,1855.2261
879000000,317.69531,1859.9692
888500000,306.91373,1859.2445
898000000,304.17377,1858.5134
907500000,310.48233,1857.8451
917000000,318.07053,1857.1604
926500000,321.25861,1858.5297
936000000,326.91034,1859.8861
945500000,328.896,1861.2439
955000000,326.82117,1862.6162
964500000,334.91797,1873.5341
974000000,344.36694,1889.7242
983500000,341.49646,1905.8663
993000000,334.65302,1922.0087
1002500000,326.23492,1939.7826
1012000000,315.63135,1962.2244
1021500000,310.15424,1984.6165
1031000000,313.80786,2007.0083
1040500000,322.5668,2029.4021
1050000000,313.43143,2018.9076
1059500000,309.82349,2003.8535
1069000000,314.17358,1988.7562
1078500000,323.52695,1973.6547
1088000000,331.88974,1959.1312
1097500000,340.34424,1945.1372
1107000000,342.63773,1931.1558
1116500000,339.24609,1917.1591
1126000000,335.27277,1904.2202
1135500000,362.62103,1899.5341
1145000000,374.18851,1894.9059
1154500000,365.92828,1890.281
1164000000,342.11197,1885.6385
1173500000,328.25946,1911.4091
1183000000,312.9895,1949.101
1192500000,306.82712,1986.7438
1202000000,320.43365,2024.3882
1211500000,330.43069,2059.9736
1221000000,309.59369,2091.2764
1230500000,304.49277,2122.6284
1240000000,318.31793,2153.9946
1249500000,350.55725,2185.2827
1259000000,334.23166,2181.4812
