!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 14:41:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.11012,46.039497
109500000,-103.09672,18.280205
119000000,-104.00212,-177.08614
128500000,-104.55022,-32.749504
138000000,-105.11447,148.10057
147500000,-101.95799,152.15598
157000000,-102.25394,-10.975863
166500000,-102.74838,102.79207
176000000,-103.38373,-15.513091
185500000,-103.63846,-22.638109
195000000,-104.54106,113.6577
204500000,-105.01638,-32.371052
214000000,-102.40884,88.151627
223500000,-102.98753,43.293488
233000000,-103.19053,-148.2982
242500000,-103.95557,106.57877
252000000,-98.889694,-32.687119
261500000,-99.108879,-130.60165
271000000,-99.249268,-37.791756
280500000,-99.771141,68.1548
290000000,-100.07986,91.364143
299500000,-100.15755,-75.361061
309000000,-100.41137,136.51411
318500000,-100.82765,165.75198
328000000,-100.54281,176.22804
337500000,-100.94486,-34.203846
347000000,-101.05961,-129.92566
356500000,-101.53333,-59.2575
366000000,-101.516,-83.779922
375500000,-102.01219,-86.639252
385000000,-102.2634,136.38159
394500000,-102.33687,106.96987
404000000,-101.70966,145.21559
413500000,-101.84887,137.63382
423000000,-102.19624,50.852135
432500000,-102.26413,76.828682
442000000,-102.24689,-162.17116
451500000,-102.56131,147.53218
461000000,-102.63918,161.79427
470500000,-102.89429,5.1727533
480000000,-102.80813,161.73413
489500000,-102.79468,62.745491
499000000,-103.13103,-68.545731
508500000,-103.53599,34.87154
518000000,-103.51235,177.37877
527500000,-103.55793,-130.70023
537000000,-103.87247,-86.200256
546500000,-103.73503,-6.170393
556000000,-104.007,34.8535
565500000,-103.87583,-130.03975
575000000,-104.16101,-84.0121
584500000,-104.09724,107.46394
594000000,-104.44566,-142.397
603500000,-104.34933,144.62097
613000000,-104.28353,41.867638
622500000,-104.60944,-62.92646
632000000,-103.68761,-58.965488
641500000,-103.75555,-5.5702705
651000000,-103.57264,-40.285858
660500000,-103.85091,145.36658
670000000,-104.02589,7.9409537
679500000,-104.22184,-96.201767
689000000,-104.0959,163.19876
698500000,-104.2285,-158.98222
708000000,-104.1405,57.01025
717500000,-104.40317,126.723
727000000,-104.41797,-177.70177
736500000,-104.60211,-86.788422
746000000,-104.38694,91.351608
755500000,-104.58893,-39.500221
765000000,-104.61993,-133.646
774500000,-104.59726,21.856419
784000000,-104.7888,52.370956
793500000,-104.75021,-116.46091
803000000,-104.84304,168.87453
812500000,-104.74873,3.0326078
822000000,-104.6222,-136.83104
831500000,-104.87081,116.43833
841000000,-105.06429,-176.85245
850500000,-104.98922,-100.24066
860000000,-105.29863,18.198265
869500000,-105.21502,-7.4748659
879000000,-105.28989,-99.49897
888500000,-105.30996,26.420546
898000000,-105.42255,-25.559183
907500000,-105.34222,154.65802
917000000,-105.55198,-27.414007
926500000,-105.60625,16.075611
936000000,-105.17105,-169.70903
945500000,-105.50841,-136.85027
955000000,-105.63,-133.91275
964500000,-105.54224,-123.74553
974000000,-105.47623,-125.92937
983500000,-105.53353,-9.8952532
993000000,-105.61417,139.20285
1002500000,-102.94066,-106.20184
1012000000,-102.7315,168.54391
1021500000,-102.92474,139.29732
1031000000,-102.78526,78.109871
1040500000,-103.23434,114.3688
1050000000,-102.98667,32.533024
1059500000,-102.94099,98.957642
1069000000,-103.12498,157.68359
1078500000,-102.8876,-110.38638
1088000000,-102.97881,-170.38461
1097500000,-103.19293,-33.495945
1107000000,-103.15969,-132.43619
1116500000,-102.88306,-56.08622
1126000000,-103.03838,-165.97894
1135500000,-103.04607,97.750366
1145000000,-103.11312,-74.768623
1154500000,-103.04813,-99.716545
1164000000,-103.24326,-39.892933
1173500000,-103.0183,74.283455
1183000000,-102.90736,-150.62013
1192500000,-102.91296,61.61731
1202000000,-103.16947,135.94002
1211500000,-103.11699,33.060764
1221000000,-103.19157,110.49379
1230500000,-102.99615,102.3965
1240000000,-102.84541,20.949589
1249500000,-103.2625,-65.167549
1259000000,-103.08572,-34.686829
1268500000,-102.98442,152.26649
1278000000,-103.17265,-120.57807
1287500000,-103.09632,-166.45258
1297000000,-103.20615,-142.20746
1306500000,-102.9656,-8.2124863
1316000000,-103.06605,-129.21703
1325500000,-102.98302,168.03627
1335000000,-102.99174,-163.5043
1344500000,-103.00381,129.13858
1354000000,-103.21706,-77.593613
1363500000,-102.90368,58.035553
1373000000,-102.9521,-140.87012
1382500000,-103.10471,-63.240471
1392000000,-102.92943,-107.11958
1401500000,-103.05836,41.053711
1411000000,-102.74133,-32.961449
1420500000,-102.85028,-75.201485
1430000000,-103.10715,-9.855195
1439500000,-102.76459,17.364883
1449000000,-102.74955,73.343132
1458500000,-103.1004,-43.140293
1468000000,-102.9635,25.015955
1477500000,-102.77306,-17.161768
1487000000,-102.68654,128.31828
1496500000,-103.03087,-150.21049
1506000000,-105.78037,-157.6819
1515500000,-105.67159,147.29936
1525000000,-105.68192,-161.92854
1534500000,-105.43251,-149.91615
1544000000,-105.52383,-50.048347
1553500000,-105.72767,8.0347042
1563000000,-105.36942,-106.17519
1572500000,-105.25595,-166.03348
1582000000,-105.45203,97.4086
1591500000,-105.44121,49.249943
1601000000,-105.45844,-74.39817
1610500000,-105.17214,-0.85677987
1620000000,-105.24973,-45.288528
1629500000,-105.32397,149.17889
1639000000,-105.2044,31.758778
1648500000,-105.17055,4.1303406
1658000000,-105.23303,-142.06538
1667500000,-105.12883,-53.748055
1677000000,-105.13436,-90.10331
1686500000,-105.32278,-177.35573
1696000000,-104.9499,-139.56485
1705500000,-104.94797,-78.619621
1715000000,-104.92105,20.266884
1724500000,-105.28548,152.31396
1734000000,-104.92538,-149.51459
1743500000,-104.89159,98.349083
1753000000,-104.69319,52.77824
1762500000,-105.00359,-77.182945
1772000000,-105.11069,-106.82569
1781500000,-104.75693,167.92569
1791000000,-104.68948,116.61268
1800500000,-104.73083,-44.273064
1810000000,-104.55043,-86.673393
1819500000,-104.7252,-154.40674
1829000000,-104.65992,15.791526
1838500000,-105.02042,-122.86609
1848000000,-104.43169,-125.67806
1857500000,-104.73902,164.39514
1867000000,-104.57388,-160.14268
1876500000,-104.72153,58.950134
1886000000,-104.7705,156.07576
1895500000,-104.4364,-75.227341
1905000000,-104.76987,73.801468
1914500000,-104.67226,-67.469437
1924000000,-104.41352,-88.662697
1933500000,-104.70821,-171.18645
1943000000,-104.60318,-152.06668
1952500000,-104.57176,-144.82997
1962000000,-104.58672,179.26433
1971500000,-104.33479,-111.85346
1981000000,-104.32754,-145.78554
1990500000,-104.50951,-138.73708
2000000000,-104.38264,78.060532
END

