!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:08:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,235.25421,1379.6732
109500000,271.04691,1402.63
119000000,283.68988,1408.4152
128500000,304.44226,1410.1633
138000000,309.46857,1413.0128
147500000,476.85971,1425.1312
157000000,285.88174,1427.7474
166500000,325.98138,1430.2966
176000000,325.5575,1434.38
185500000,329.34012,1431.1163
195000000,325.69855,1437.505
204500000,338.79132,1450.1285
214000000,319.54166,1467.1598
223500000,317.61996,1486.092
233000000,318.91528,1508.6317
242500000,324.4794,1522.594
252000000,327.07068,1527.7551
261500000,327.45444,1531.2842
271000000,326.90073,1526.866
280500000,323.27786,1520.7412
290000000,322.66425,1517.5059
299500000,320.78812,1523.9122
309000000,310.00168,1525.6158
318500000,324.20892,1519.6378
328000000,356.78223,1516.5132
337500000,333.12021,1528.8375
347000000,387.61539,1542.2444
356500000,403.80209,1522.9694
366000000,386.98203,1521.9944
375500000,326.57416,1521.719
385000000,286.00238,1533.9679
394500000,290.09201,1546.2133
404000000,294.61169,1563.5359
413500000,282.92584,1587.8861
423000000,300.75977,1612.2563
432500000,321.39383,1624.5881
442000000,333.18628,1633.6589
451500000,332.52948,1640.7902
461000000,364.15555,1637.4911
470500000,356.57162,1634.1389
480000000,346.79843,1629.0339
489500000,346.86911,1622.3418
499000000,335.71725,1615.6162
508500000,324.25269,1618.2902
518000000,325.36349,1622.1162
527500000,331.50037,1626.7411
537000000,324.40854,1633.6652
546500000,332.48236,1640.6313
556000000,331.68777,1661.6575
565500000,325.43512,1690.8878
575000000,329.96863,1720.1378
584500000,333.49982,1751.7628
594000000,328.67081,1783.406
603500000,334.45197,1800.8688
613000000,342.74411,1793.9938
622500000,332.27402,1787.1162
632000000,333.71753,1785.531
641500000,332.65314,1785.8696
651000000,328.15918,1785.1011
660500000,319.32056,1774.8696
670000000,319.59619,1764.6378
679500000,314.41779,1751.7826
689000000,303.96069,1735.9951
698500000,314.09756,1720.1635
708000000,314.96194,1707.1635
717500000,321.19785,1694.724
727000000,332.33069,1685.1378
736500000,358.48584,1686.4972
746000000,354.53915,1687.849
755500000,336.43173,1700.4646
765000000,349.90356,1711.8833
774500000,354.01639,1723.347
784000000,345.44638,1734.7628
793500000,335.54813,1747.4719
803000000,362.46939,1765.2587
812500000,373.33853,1783.0941
822000000,360.61899,1800.8837
831500000,338.37549,1818.7178
841000000,327.24838,1829.1361
850500000,322.83148,1837.8511
860000000,320.14163,1846.5111
869500000,319.67719,1855.2261
879000000,321.36063,1859.9692
888500000,312.23245,1859.2445
898000000,310.5762,1858.5134
907500000,311.22574,1857.8451
917000000,318.15137,1857.1604
926500000,324.89746,1858.5297
936000000,330.10236,1859.8861
945500000,330.66116,1861.2439
955000000,328.10611,1862.6162
964500000,338.14374,1873.5341
974000000,345.59888,1889.7242
983500000,345.31973,1905.8663
993000000,337.57251,1922.0087
1002500000,327.0397,1939.7826
1012000000,317.80972,1962.2244
1021500000,314.82001,1984.6165
1031000000,314.84366,2007.0083
1040500000,326.51993,2029.4021
1050000000,315.44681,2018.9076
1059500000,313.58023,2003.8535
1069000000,317.28207,1988.7562
1078500000,327.01273,1973.6547
1088000000,335.2467,1959.1312
1097500000,339.92233,1945.1372
1107000000,344.20065,1931.1558
1116500000,341.88922,1917.1591
1126000000,336.83514,1904.2202
1135500000,364.17493,1899.5341
1145000000,375.01389,1894.9059
1154500000,370.25864,1890.281
1164000000,346.21121,1885.6385
1173500000,328.95981,1911.4091
1183000000,315.85721,1949.101
1192500000,309.70197,1986.7438
1202000000,323.46024,2024.3882
1211500000,332.15414,2059.9736
1221000000,313.61411,2091.2764
1230500000,306.8876,2122.6284
1240000000,318.39792,2153.9946
1249500000,349.47128,2185.2827
1259000000,335.9509,2181.4812
1268500000,326.42816,2175.6584
1278000000,325.7756,2169.8682
1287500000,334.04858,2164.0933
1297000000,341.3299,2150.4138
1306500000,353.4158,2130.6621
1316000000,358.31656,2110.9045
1325500000,355.47672,2091.1392
1335000000,334.80484,2077.5002
1344500000,344.89764,2092.5117
1354000000,342.97772,2107.5337
1363500000,336.59265,2122.6013
1373000000,331.16751,2137.6216
1382500000,296.56592,2182.0334
1392000000,270.4198,2234.3494
1401500000,265.2637,2286.6111
1411000000,281.46667,2338.8938
1420500000,295.18521,2376.0071
1430000000,282.84076,2390.7322
1439500000,280.17865,2405.4043
1449000000,288.93997,2420.1035
1458500000,313.26474,2433.7571
1468000000,325.58978,2389.0259
1477500000,334.03171,2344.28
1487000000,333.74979,2299.5884
1496500000,321.14713,2254.8579
1506000000,355.81683,2183.0115
1515500000,359.79593,2177.2507
1525000000,357.38412,2171.4946
1534500000,351.35434,2165.7214
1544000000,339.95807,2159.9075
1553500000,324.79684,2154.1321
1563000000,325.89447,2148.3647
1572500000,315.73621,2172.092
1582000000,286.85486,2231.2263
1591500000,271.65796,2290.3384
1601000000,267.04749,2349.4771
1610500000,281.92801,2408.5847
