!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 19:17:11
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1614.8639,0.51254231
109500000,1674.808,0.38559818
119000000,1692.5383,0.36153439
128500000,1713.9207,0.40004772
138000000,1722.9077,0.49951899
147500000,1902.2565,0.44518986
157000000,1713.0901,0.49732241
166500000,1757.3445,0.49035847
176000000,1760.0631,0.49240384
185500000,1760.0028,0.48482752
195000000,1763.546,0.47085434
204500000,1789.2563,0.44879463
214000000,1787.0579,0.42038849
223500000,1805.1439,0.39594486
233000000,1827.7662,0.37985355
242500000,1846.1412,0.36736998
252000000,1853.7473,0.35671192
261500000,1860.5028,0.34596974
271000000,1855.4546,0.336638
280500000,1843.5175,0.32998776
290000000,1842.2798,0.32739007
299500000,1844.4852,0.3310034
309000000,1835.9211,0.34654719
318500000,1842.1879,0.36779049
328000000,1872.5288,0.38180327
337500000,1861.5065,0.37377709
347000000,1928.3895,0.29745799
356500000,1925.533,0.33253956
366000000,1910.0463,0.32669154
375500000,1847.402,0.32069793
385000000,1816.8014,0.31209147
394500000,1834.8239,0.30348501
404000000,1857.6581,0.30173081
413500000,1868.1178,0.30941555
423000000,1913.3655,0.31708983
432500000,1945.2732,0.3293649
442000000,1965.1279,0.34286278
451500000,1971.6249,0.35439852
461000000,2001.7814,0.35548967
470500000,1991.1592,0.3565782
480000000,1974.9423,0.3519702
489500000,1966.8009,0.34223393
499000000,1950.4083,0.3324984
508500000,1942.192,0.32180724
518000000,1947.4611,0.3110036
527500000,1957.2086,0.30199027
537000000,1956.7461,0.29800132
546500000,1973.7267,0.29400569
556000000,1990.9194,0.29246134
565500000,2016.1094,0.29234576
575000000,2049.3105,0.2922335
584500000,2082.0405,0.29245082
594000000,2112.3445,0.29266739
603500000,2131.8647,0.29318169
613000000,2135.0549,0.29419032
622500000,2117.5903,0.2951974
632000000,2116.4343,0.2921882
641500000,2116.6162,0.28774807
651000000,2113.1306,0.28352833
660500000,2092.3286,0.28123307
670000000,2083.2625,0.27893433
679500000,2065.1294,0.27966464
689000000,2040.1855,0.28375331
698500000,2032.1399,0.28784266
708000000,2021.4425,0.29507533
717500000,2011.5042,0.30289939
727000000,2015.5712,0.30905238
736500000,2044.7848,0.30893263
746000000,2041.5422,0.30881956
755500000,2034.9814,0.36565426
765000000,2060.6421,0.38220373
774500000,2076.9011,0.39875096
784000000,2077.5273,0.4153069
793500000,2078.5576,0.42842963
803000000,2126.6201,0.42721871
812500000,2153.0637,0.4260191
822000000,2159.5564,0.42481264
831500000,2152.2451,0.42361233
841000000,2153.9514,0.41919738
850500000,2159.853,0.41402987
860000000,2164.5183,0.40884712
869500000,2174.2476,0.4036797
879000000,2178.2209,0.4013699
888500000,2166.019,0.40301344
898000000,2164.4448,0.40465486
907500000,2167.7581,0.40628844
917000000,2175.2852,0.40795839
926500000,2182.468,0.41045442
936000000,2188.2935,0.41294247
945500000,2190.4519,0.41543782
955000000,2187.8193,0.41793606
964500000,2209.4973,0.41496938
974000000,2232.5308,0.40904954
983500000,2249.1685,0.40313002
993000000,2259.9551,0.39720958
1002500000,2264.865,0.39078617
1012000000,2278.8523,0.38297322
1021500000,2294.0386,0.3751556
1031000000,2321.759,0.36734185
1040500000,2353.7725,0.35952902
1050000000,2333.22,0.36126462
1059500000,2315.1724,0.36432821
1069000000,2302.4102,0.36739975
1078500000,2299.1484,0.37046346
1088000000,2291.0359,0.37450427
1097500000,2284.0889,0.37953955
1107000000,2273.5608,0.38457507
1116500000,2256.5239,0.3896105
1126000000,2239.147,0.39358792
1135500000,2260.0337,0.38862106
1145000000,2267.7009,0.38366005
1154500000,2256.8376,0.37869418
1164000000,2226.655,0.37372735
1173500000,2238.7297,0.36050558
1183000000,2263.6982,0.34405681
1192500000,2293.1692,0.32760939
1202000000,2344.3557,0.31116101
1211500000,2390.3613,0.29733208
1221000000,2402.3335,0.28871682
1230500000,2427.7043,0.28010389
1240000000,2471.9106,0.27148807
1249500000,2533.2024,0.26287851
1259000000,2514.3787,0.26385149
1268500000,2499.3135,0.26535043
1278000000,2496.0859,0.26684889
1287500000,2496.7083,0.26835319
1297000000,2492.0261,0.26997826
1306500000,2483.6975,0.27170169
1316000000,2469.1199,0.27342701
1325500000,2444.365,0.27515727
1335000000,2411.3491,0.27511945
1344500000,2434.8879,0.26682642
1354000000,2449.8027,0.25852659
1363500000,2457.0134,0.2502284
1373000000,2465.5725,0.24192744
1382500000,2477.825,0.2353218
1392000000,2503.8157,0.2291681
1401500000,2549.7524,0.22300877
1411000000,2618.4629,0.21685684
1420500000,2668.2444,0.21432194
1430000000,2670.9915,0.2171369
1439500000,2684.5281,0.2199565
1449000000,2708.8347,0.22277725
1458500000,2747.1082,0.22570693
1468000000,2711.5466,0.23493882
1477500000,2676.4043,0.24417049
1487000000,2633.0391,0.25340286
1496500000,2573.2986,0.2626355
1506000000,2536.7891,0.45401272
1515500000,2534.1272,0.44738978
1525000000,2527.708,0.4407669
1534500000,2515.0796,0.43414176
1544000000,2497.9697,0.42751923
1553500000,2477.3733,0.42089626
1563000000,2473.1001,0.41426912
1572500000,2487.459,0.40713814
1582000000,2519.2065,0.39941719
1591500000,2556.2317,0.39169511
1601000000,2615.8213,0.38397375
1610500000,2687.6421,0.37625059
1620000000,2760.8103,0.3685289
1629500000,2838.5625,0.36080718
1639000000,2890.0649,0.35694209
1648500000,2863.0608,0.36313009
1658000000,2834.8108,0.36932153
1667500000,2798.4751,0.37550983
1677000000,2770.4697,0.38169211
1686500000,2742.9165,0.38788044
1696000000,2709.6091,0.39407131
1705500000,2679.614,0.39962551
1715000000,2692.6426,0.39948314
1724500000,2706.2578,0.39935085
1734000000,2709.5837,0.39920849
1743500000,2715.0276,0.39907619
1753000000,2734.4165,0.39893383
1762500000,2751.1033,0.39879721
1772000000,2775.3413,0.39865452
1781500000,2796.3779,0.39954573
1791000000,2832.9216,0.40052098
1800500000,2879.2314,0.4014973
1810000000,2927.6746,0.40246895
1819500000,2979.6772,0.40344509
1829000000,3032.3186,0.40442094
1838500000,3078.1162,0.40539706
1848000000,3067.5884,0.4115985
1857500000,3039.2825,0.41957936
1867000000,3005.7979,0.42755279
1876500000,2953.4651,0.43552503
1886000000,2884.1255,0.44350982
1895500000,2810.3972,0.45148033
1905000000,2730.5393,0.45946535
1914500000,2697.5742,0.45877907
1924000000,2697.3499,0.45156646
1933500000,2707.8503,0.44433865
1943000000,2730.6199,0.43712592
1952500000,2757.571,0.42989993
1962000000,2792.4456,0.42267221
1971500000,2841.23,0.41545823
1981000000,2889.6416,0.40943322
1990500000,2923.0315,0.405283
2000000000,2957.4756,0.40113264
END

