!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:23:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-103.75467,14.557852
109500000,-103.13913,-53.417843
119000000,-103.85572,-178.69072
128500000,-104.35674,-30.031994
138000000,-104.58367,27.528503
147500000,-102.09122,78.160217
157000000,-102.57079,-160.47475
166500000,-103.29603,-122.67445
176000000,-103.48318,-146.04027
185500000,-104.12404,101.44254
195000000,-104.6778,-43.848457
204500000,-105.01409,156.85635
214000000,-102.33186,-5.106638
223500000,-102.56905,-8.7497902
233000000,-103.03672,-59.333443
242500000,-103.20314,-161.6292
252000000,-98.436661,-61.135044
261500000,-98.695679,133.53606
271000000,-98.724457,123.11778
280500000,-99.17733,88.973587
290000000,-99.523445,-93.515289
299500000,-99.800957,-68.432236
309000000,-99.988922,110.09239
318500000,-100.10239,24.932301
328000000,-100.3375,173.42673
337500000,-100.91067,-63.31815
347000000,-100.87121,-141.97824
356500000,-101.24584,119.06246
366000000,-101.35026,121.84962
375500000,-101.62403,132.10927
385000000,-101.63815,123.94566
394500000,-102.02554,-117.43669
404000000,-101.77248,-96.775238
413500000,-102.13721,-139.71512
423000000,-102.23206,-57.256088
432500000,-102.7087,84.852547
442000000,-102.69178,65.649834
451500000,-102.90686,115.83049
461000000,-102.82042,74.687523
470500000,-103.11114,88.194328
480000000,-103.39398,32.156441
489500000,-103.38763,-87.171906
499000000,-103.84729,-141.51735
508500000,-102.59797,-172.74023
518000000,-103.30497,-9.3789921
527500000,-102.99345,-52.78566
537000000,-103.2649,-72.522835
546500000,-103.2147,-161.68939
556000000,-103.6932,-177.64008
565500000,-103.52602,87.276535
575000000,-103.75874,30.29026
584500000,-103.94888,-80.467522
594000000,-103.76946,-84.629524
603500000,-103.99078,70.087929
613000000,-104.24257,55.239628
622500000,-104.11415,-156.4622
632000000,-103.48887,55.874348
641500000,-103.28105,83.757744
651000000,-103.39862,-175.10561
660500000,-103.66222,-170.50621
670000000,-103.61626,-119.90607
679500000,-103.68339,46.198662
689000000,-103.68311,152.34193
698500000,-103.82355,-75.085953
708000000,-103.9613,-58.485989
717500000,-103.7189,-4.0715513
727000000,-103.81037,11.990174
736500000,-103.81766,-120.55519
746000000,-104.10747,21.811495
755500000,-104.26234,-7.1129627
765000000,-104.11544,54.975693
774500000,-104.2979,89.212784
784000000,-104.31724,-35.991184
793500000,-104.36987,147.60976
803000000,-104.5302,-121.07201
812500000,-104.63586,-0.97173816
822000000,-104.50934,47.458984
831500000,-104.92189,-6.6779394
841000000,-104.68079,-127.6098
850500000,-104.4877,126.12983
860000000,-104.6489,-39.507782
869500000,-104.86575,135.19467
879000000,-104.82548,47.236984
888500000,-104.76645,-127.21198
898000000,-104.85075,69.199875
907500000,-104.96313,-44.652634
917000000,-105.0311,5.0092411
926500000,-104.87515,38.328522
936000000,-105.3653,14.07626
945500000,-105.08582,36.078739
955000000,-105.16682,77.95134
964500000,-105.15733,-11.471571
974000000,-105.23226,-111.50498
983500000,-105.55733,-25.148569
993000000,-105.40738,-148.73511
1002500000,-105.04414,-100.61769
1012000000,-105.14495,-66.223
1021500000,-105.25989,172.43637
1031000000,-105.18386,80.772072
1040500000,-105.19095,-21.43626
1050000000,-105.48182,-10.396552
1059500000,-105.37395,-57.894897
1069000000,-105.39825,-98.978317
1078500000,-105.34616,59.653
1088000000,-105.51105,-121.75763
1097500000,-105.53149,-39.808651
1107000000,-105.42612,153.24553
1116500000,-105.72256,91.158989
1126000000,-105.64076,90.438705
1135500000,-105.51415,133.58846
1145000000,-105.56868,-159.01852
1154500000,-105.44837,-33.618725
1164000000,-105.49848,-43.738575
1173500000,-105.69668,82.564186
1183000000,-105.52444,-155.33023
1192500000,-105.75639,-108.32692
1202000000,-105.30239,-176.91885
1211500000,-105.70068,-28.575251
1221000000,-105.41395,-138.07465
1230500000,-105.41144,50.824936
1240000000,-105.64666,109.35584
1249500000,-105.67994,-76.560875
1259000000,-105.66297,105.25282
1268500000,-105.42117,66.121033
1278000000,-105.33746,160.64021
1287500000,-105.33839,-176.73448
1297000000,-105.50259,-119.74158
1306500000,-105.28905,173.8642
1316000000,-105.43206,87.274979
1325500000,-105.37907,26.270632
1335000000,-105.2905,76.796638
1344500000,-105.36885,115.69894
1354000000,-105.53846,-120.44678
1363500000,-105.45542,165.42726
1373000000,-105.16374,-44.323574
1382500000,-105.2541,47.279293
1392000000,-105.37955,76.465355
