!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:23:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.86853,80.289909
109500000,-174.25322,79.024712
119000000,-174.05037,78.559502
128500000,-173.76671,77.824348
138000000,-173.67352,77.592712
147500000,-171.80833,71.471855
157000000,-174.07349,78.768791
166500000,-173.50171,77.259102
176000000,-173.4865,77.251068
185500000,-173.42969,77.060364
195000000,-173.49162,77.292397
204500000,-173.30435,76.863129
214000000,-173.56355,77.739571
223500000,-173.56728,77.901176
233000000,-173.57332,78.092842
242500000,-173.50644,78.021057
252000000,-173.45663,77.926712
261500000,-173.43599,77.89798
271000000,-173.46495,77.942291
280500000,-173.49577,77.978256
290000000,-173.50781,77.985779
299500000,-173.54729,78.139984
309000000,-173.65186,78.42701
318500000,-173.50169,77.985718
328000000,-173.07243,76.753143
337500000,-173.38225,77.732819
347000000,-172.71931,75.904915
356500000,-172.52989,75.125389
366000000,-172.69199,75.638618
375500000,-173.44754,77.855545
385000000,-173.99493,79.341934
394500000,-173.94232,79.298477
404000000,-173.84097,79.17025
413500000,-174.04176,79.804123
423000000,-173.78426,79.355087
432500000,-173.51497,78.774864
442000000,-173.37466,78.478699
451500000,-173.33922,78.435951
461000000,-172.94876,77.356903
470500000,-173.06908,77.667198
480000000,-173.18381,77.942703
489500000,-173.20798,77.959663
499000000,-173.32535,78.224228
508500000,-173.47139,78.621605
518000000,-173.45439,78.60437
527500000,-173.37558,78.433403
537000000,-173.48268,78.754456
546500000,-173.32417,78.395798
556000000,-173.37772,78.675499
565500000,-173.45715,79.063255
575000000,-173.38771,79.075615
584500000,-173.34723,79.17009
594000000,-173.40388,79.492661
603500000,-173.32986,79.417412
613000000,-173.24542,79.174103
622500000,-173.32855,79.334671
632000000,-173.32576,79.318741
641500000,-173.36855,79.423027
651000000,-173.42651,79.555756
660500000,-173.52222,79.720886
670000000,-173.50816,79.629776
679500000,-173.57658,79.715103
689000000,-173.72424,79.963303
698500000,-173.62514,79.644058
708000000,-173.59486,79.495544
717500000,-173.50687,79.208679
727000000,-173.34979,78.759094
736500000,-173.01244,77.886459
746000000,-173.07993,78.077148
755500000,-173.29161,78.711418
765000000,-173.13536,78.384926
774500000,-173.07593,78.305473
784000000,-173.1696,78.621735
793500000,-173.32762,79.096184
803000000,-172.98018,78.327995
812500000,-172.85727,78.119095
822000000,-172.99156,78.581894
831500000,-173.29501,79.436409
841000000,-173.41542,79.776337
850500000,-173.46915,79.94632
860000000,-173.51616,80.098122
869500000,-173.4986,80.104599
879000000,-173.507,80.148026
888500000,-173.63556,80.426323
898000000,-173.67078,80.498581
907500000,-173.63818,80.424934
917000000,-173.52904,80.182373
926500000,-173.42383,79.953751
936000000,-173.3894,79.882698
945500000,-173.36992,79.845383
955000000,-173.38968,79.897842
964500000,-173.29488,79.73848
974000000,-173.13748,79.457291
983500000,-173.16295,79.604431
993000000,-173.25952,79.911873
1002500000,-173.42503,80.369156
1012000000,-173.54344,80.728867
1021500000,-173.60822,80.965157
1031000000,-173.57298,80.992744
1040500000,-173.405,80.745117
1050000000,-173.55638,81.011238
1059500000,-173.58946,81.012405
1069000000,-173.55539,80.875175
1078500000,-173.42085,80.522446
1088000000,-173.30376,80.197586
1097500000,-173.24309,79.992378
1107000000,-173.15834,79.726982
1116500000,-173.20932,79.771767
1126000000,-173.27,79.843628
1135500000,-172.91939,78.983231
1145000000,-172.78905,78.629204
1154500000,-172.87648,78.823479
1164000000,-173.16278,79.494965
1173500000,-173.34541,80.051704
1183000000,-173.5688,80.72094
1192500000,-173.64061,81.040649
1202000000,-173.47188,80.861977
1211500000,-173.36124,80.78936
1221000000,-173.61748,81.436943
1230500000,-173.66364,81.649536
1240000000,-173.50655,81.470688
1249500000,-173.10393,80.787598
1259000000,-173.29495,81.162514
1268500000,-173.41522,81.377563
1278000000,-173.44077,81.404839
1287500000,-173.33546,81.174034
1297000000,-173.21385,80.870743
1306500000,-173.05887,80.458946
1316000000,-172.95432,80.141235
1325500000,-173.06079,80.286217
1335000000,-173.27721,80.690384
1344500000,-173.16548,80.519432
1354000000,-173.16646,80.587883
1363500000,-173.25659,80.842201
1373000000,-173.35266,81.101219
1382500000,-173.81001,82.139694
1392000000,-174.19678,82.96891
1401500000,-174.32166,83.321045
1411000000,-174.04601,83.045158
1420500000,-173.8508,82.841156
1430000000,-174.04518,83.193245
1439500000,-174.07881,83.286095
1449000000,-173.88789,83.02948
1458500000,-173.56572,82.540222
1468000000,-173.42583,82.156479
1477500000,-173.28828,81.755051
1487000000,-173.29781,81.615196
1496500000,-173.46413,81.768013
1506000000,-173.07521,80.718063
1515500000,-173.00052,80.535378
1525000000,-173.04912,80.614464
1534500000,-173.10754,80.71344
1544000000,-173.30586,81.097694
1553500000,-173.46587,81.392143
1563000000,-173.46628,81.370193
1572500000,-173.5704,81.662437
1582000000,-173.9868,82.614159
1591500000,-174.27391,83.258804
1601000000,-174.3054,83.474045
1610500000,-174.10556,83.335678
1620000000,-173.86925,83.13356
1629500000,-173.67021,82.981094
1639000000,-173.38911,82.614807
1648500000,-173.34357,82.444473
1658000000,-173.30942,82.289131
1667500000,-173.29213,82.159492
1677000000,-173.25754,81.994972
1686500000,-173.24031,81.857903
1696000000,-173.22792,81.726143
1705500000,-173.28024,81.729362
1715000000,-173.28752,81.788155
1724500000,-173.3044,81.864281
1734000000,-173.38435,82.054138
1743500000,-173.41609,82.153732
