!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:23:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.51537,0.018174935
109500000,-166.35992,0.013192696
119000000,-166.31146,0.012232149
128500000,-166.25798,0.01336955
138000000,-166.2341,0.016602278
147500000,-165.80533,0.013405547
157000000,-166.26601,0.016651196
166500000,-166.15959,0.016020594
176000000,-166.14671,0.016039798
185500000,-166.14423,0.015783988
195000000,-166.13995,0.015313993
204500000,-166.07413,0.014376943
214000000,-166.08037,0.013486321
223500000,-166.03526,0.012570912
233000000,-165.98238,0.011914069
242500000,-165.9377,0.011404589
252000000,-165.91682,0.011020646
261500000,-165.90491,0.010659469
271000000,-165.92038,0.010408976
280500000,-165.94019,0.010249965
290000000,-165.94991,0.010192078
299500000,-165.94167,0.010285042
309000000,-165.95569,0.010802813
318500000,-165.94377,0.011433637
328000000,-165.87256,0.011676197
337500000,-165.90112,0.011506198
347000000,-165.74475,0.0088329753
356500000,-165.74928,0.0098850401
366000000,-165.78502,0.0097914143
375500000,-165.92938,0.0099366698
385000000,-165.99216,0.0098107923
394500000,-165.95476,0.009458431
404000000,-165.89786,0.009281355
413500000,-165.87267,0.0094626863
423000000,-165.77682,0.0094857318
432500000,-165.70554,0.0096925367
442000000,-165.66183,0.009988727
451500000,-165.64011,0.010273268
461000000,-165.57846,0.010159654
470500000,-165.6075,0.010259137
480000000,-165.63907,0.010200453
489500000,-165.65811,0.0099618686
499000000,-165.69344,0.0097575234
508500000,-165.71227,0.0094848117
518000000,-165.70094,0.0091425199
527500000,-165.67735,0.0088294651
537000000,-165.67992,0.0087179849
546500000,-165.63792,0.0085183438
556000000,-165.60097,0.0084017888
565500000,-165.55072,0.0083018495
575000000,-165.47707,0.0081591085
584500000,-165.40416,0.0080292476
594000000,-165.34773,0.0079314774
603500000,-165.30048,0.0078594135
613000000,-165.30103,0.0078874696
622500000,-165.32831,0.0079643335
632000000,-165.33107,0.007888156
641500000,-165.33714,0.0077791763
651000000,-165.34782,0.0076839621
660500000,-165.3837,0.0076849777
670000000,-165.40274,0.0076556522
679500000,-165.44017,0.0077421269
689000000,-165.49597,0.0079569202
698500000,-165.51453,0.0081061507
708000000,-165.53764,0.0083541665
717500000,-165.55052,0.0086011561
727000000,-165.5455,0.008765744
736500000,-165.48488,0.0086408835
746000000,-165.49387,0.0086556207
755500000,-165.50313,0.010270461
765000000,-165.45258,0.010611068
774500000,-165.41843,0.010983749
784000000,-165.41043,0.011418736
793500000,-165.41,0.011778409
803000000,-165.31549,0.011492281
812500000,-165.25821,0.011309855
822000000,-165.24539,0.011244554
831500000,-165.25891,0.011247776
841000000,-165.25656,0.011124512
850500000,-165.24724,0.01096383
860000000,-165.23686,0.010800729
869500000,-165.21689,0.0106153
879000000,-165.20871,0.010534715
888500000,-165.22891,0.010627142
