!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 21:43:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1614.881,0.51254231
109500000,1674.8287,0.38559818
119000000,1692.397,0.36153439
128500000,1712.9575,0.40004772
138000000,1724.1317,0.49951899
147500000,1901.6805,0.44518986
157000000,1714.8433,0.49732241
166500000,1755.7383,0.49035847
176000000,1760.4253,0.49240384
185500000,1759.9592,0.48482752
195000000,1763.6068,0.47085434
204500000,1788.344,0.44879463
214000000,1786.9194,0.42038849
223500000,1803.3761,0.39594486
233000000,1827.0972,0.37985355
242500000,1846.5801,0.36736998
252000000,1855.1813,0.35671192
261500000,1858.7075,0.34596974
271000000,1853.8423,0.336638
280500000,1844.9736,0.32998776
290000000,1839.1906,0.32739007
299500000,1843.546,0.3310034
309000000,1835.2657,0.34654719
318500000,1843.0867,0.36779049
328000000,1870.3561,0.38180327
337500000,1860.7101,0.37377709
347000000,1929.3784,0.29745799
356500000,1926.573,0.33253956
366000000,1909.9476,0.32669154
375500000,1847.2683,0.32069793
385000000,1818.4091,0.31209147
394500000,1835.481,0.30348501
404000000,1858.3075,0.30173081
413500000,1868.6088,0.30941555
423000000,1912.8188,0.31708983
432500000,1942.7965,0.3293649
442000000,1964.5844,0.34286278
451500000,1974.9097,0.35439852
461000000,2003.0385,0.35548967
470500000,1990.483,0.3565782
480000000,1972.837,0.3519702
489500000,1964.4921,0.34223393
499000000,1949.3943,0.3324984
508500000,1940.9556,0.32180724
518000000,1946.4677,0.3110036
527500000,1956.2025,0.30199027
537000000,1955.9799,0.29800132
546500000,1972.7234,0.29400569
556000000,1992.2687,0.29246134
565500000,2015.7168,0.29234576
575000000,2048.9426,0.2922335
584500000,2083.6526,0.29245082
594000000,2111.064,0.29266739
603500000,2132.333,0.29318169
613000000,2134.0557,0.29419032
622500000,2117.313,0.2951974
632000000,2117.0576,0.2921882
641500000,2116.8914,0.28774807
651000000,2109.5588,0.28352833
660500000,2092.8284,0.28123307
670000000,2083.158,0.27893433
679500000,2063.4067,0.27966464
689000000,2038.8014,0.28375331
698500000,2030.4043,0.28784266
708000000,2020.1729,0.29507533
717500000,2011.8873,0.30289939
727000000,2015.8999,0.30905238
736500000,2042.9508,0.30893263
