!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 23:06:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,234.68097,1379.6732
109500000,272.56537,1402.63
119000000,284.36783,1408.4152
128500000,302.45612,1410.1633
138000000,310.52432,1413.0128
147500000,476.40945,1425.1312
157000000,284.23401,1427.7474
166500000,325.65048,1430.2966
176000000,324.54269,1434.38
185500000,327.88223,1431.1163
195000000,324.56799,1437.505
204500000,338.19943,1450.1285
214000000,319.23508,1467.1598
223500000,319.21918,1486.092
233000000,317.08588,1508.6317
242500000,323.83359,1522.594
252000000,328.2868,1527.7551
261500000,326.88193,1531.2842
271000000,327.38217,1526.866
280500000,322.54089,1520.7412
290000000,321.18805,1517.5059
299500000,318.78418,1523.9122
309000000,310.89987,1525.6158
318500000,320.70224,1519.6378
328000000,354.60846,1516.5132
337500000,330.64737,1528.8375
347000000,385.36383,1542.2444
356500000,401.09113,1522.9694
366000000,387.16956,1521.9944
375500000,323.68851,1521.719
385000000,284.09848,1533.9679
394500000,288.40863,1546.2133
404000000,293.16339,1563.5359
413500000,281.1395,1587.8861
423000000,299.11581,1612.2563
432500000,317.98621,1624.5881
442000000,330.4082,1633.6589
451500000,330.70044,1640.7902
461000000,362.77481,1637.4911
470500000,353.60443,1634.1389
480000000,343.97855,1629.0339
489500000,343.67807,1622.3418
499000000,332.66888,1615.6162
508500000,321.93066,1618.2902
518000000,322.22882,1622.1162
527500000,329.84851,1626.7411
537000000,321.12311,1633.6652
546500000,330.51044,1640.6313
556000000,329.55374,1661.6575
565500000,323.59323,1690.8878
575000000,327.11099,1720.1378
584500000,328.31647,1751.7628
594000000,326.66043,1783.406
603500000,329.36749,1800.8688
613000000,337.52283,1793.9938
622500000,329.159,1787.1162
632000000,329.82852,1785.531
641500000,328.40109,1785.8696
651000000,322.29456,1785.1011
660500000,316.74472,1774.8696
670000000,315.59653,1764.6378
679500000,311.19193,1751.7826
689000000,300.72275,1735.9951
698500000,311.64716,1720.1635
708000000,308.96304,1707.1635
717500000,315.54932,1694.724
727000000,328.03528,1685.1378
736500000,355.96097,1686.4972
746000000,348.06705,1687.849
755500000,332.16983,1700.4646
765000000,346.70941,1711.8833
774500000,350.8696,1723.347
784000000,341.72311,1734.7628
793500000,328.62024,1747.4719
803000000,358.2551,1765.2587
812500000,368.83875,1783.0941
822000000,355.81421,1800.8837
831500000,331.47906,1818.7178
841000000,322.19968,1829.1361
850500000,316.65271,1837.8511
860000000,315.20676,1846.5111
869500000,319.37897,1855.2261
879000000,315.18173,1859.9692
888500000,305.20657,1859.2445
898000000,303.20813,1858.5134
907500000,306.90829,1857.8451
917000000,315.77933,1857.1604
926500000,320.98605,1858.5297
936000000,323.5419,1859.8861
945500000,327.38626,1861.2439
955000000,321.43643,1862.6162
964500000,331.34207,1873.5341
974000000,340.81506,1889.7242
983500000,342.1637,1905.8663
993000000,332.28894,1922.0087
1002500000,320.79556,1939.7826
1012000000,313.64453,1962.2244
1021500000,308.82993,1984.6165
1031000000,309.7431,2007.0083
1040500000,320.04614,2029.4021
1050000000,312.16565,2018.9076
1059500000,306.47186,2003.8535
1069000000,310.59259,1988.7562
1078500000,321.47815,1973.6547
1088000000,330.5094,1959.1312
1097500000,335.95364,1945.1372
1107000000,336.77563,1931.1558
1116500000,336.89807,1917.1591
1126000000,332.13141,1904.2202
1135500000,358.95712,1899.5341
1145000000,367.84509,1894.9059
1154500000,361.16397,1890.281
1164000000,339.91562,1885.6385
1173500000,324.35837,1911.4091
1183000000,308.21814,1949.101
1192500000,304.33936,1986.7438
1202000000,316.41504,2024.3882
1211500000,324.95724,2059.9736
1221000000,306.66992,2091.2764
1230500000,304.84229,2122.6284
1240000000,315.16718,2153.9946
1249500000,343.61884,2185.2827
1259000000,328.11646,2181.4812
1268500000,321.16394,2175.6584
1278000000,321.57379,2169.8682
1287500000,326.3746,2164.0933
1297000000,337.21671,2150.4138
1306500000,350.27777,2130.6621
1316000000,354.66324,2110.9045
1325500000,343.74759,2091.1392
1335000000,328.57666,2077.5002
1344500000,339.75821,2092.5117
1354000000,336.02008,2107.5337
1363500000,329.43759,2122.6013
1373000000,325.82971,2137.6216
1382500000,290.01068,2182.0334
1392000000,262.93277,2234.3494
1401500000,258.05911,2286.6111
1411000000,277.33493,2338.8938
1420500000,290.12408,2376.0071
1430000000,273.6955,2390.7322
1439500000,273.64786,2405.4043
1449000000,286.75729,2420.1035
1458500000,306.67151,2433.7571
1468000000,316.32141,2389.0259
1477500000,325.33414,2344.28
1487000000,330.0177,2299.5884
1496500000,318.08023,2254.8579
1506000000,346.05814,2183.0115
1515500000,354.73416,2177.2507
1525000000,354.37128,2171.4946
1534500000,346.09518,2165.7214
1544000000,330.7059,2159.9075
1553500000,321.66342,2154.1321
1563000000,321.21182,2148.3647
1572500000,310.77261,2172.092
1582000000,280.51996,2231.2263
1591500000,266.01981,2290.3384
1601000000,264.33878,2349.4771
1610500000,272.82602,2408.5847
1620000000,287.79929,2467.7268
1629500000,308.91739,2526.781
1639000000,328.5704,2560.6572
1648500000,331.65115,2528.6567
1658000000,333.15237,2496.6707
1667500000,335.27731,2464.6707
1677000000,336.00479,2432.6707
1686500000,338.46173,2400.6753
1696000000,338.83383,2368.6709
1705500000,339.31647,2341.2322
1715000000,337.02963,2354.2813
1724500000,330.92545,2367.3965
1734000000,326.53986,2380.4849
1743500000,327.24359,2393.5313
1753000000,322.88251,2406.6465
1762500000,326.49945,2419.7444
1772000000,337.46307,2432.7813
1781500000,316.83698,2475.7756
1791000000,308.16571,2521.2571
1800500000,307.52463,2566.7415
1810000000,312.56998,2612.2295
1819500000,322.09811,2657.6621
1829000000,326.09854,2703.0969
1838500000,323.80637,2748.5803
1848000000,351.60712,2716.76
1857500000,381.91464,2658.6621
1867000000,401.13538,2600.5303
1876500000,407.30701,2542.4766
1886000000,400.16351,2484.3518
1895500000,382.60379,2426.2571
1905000000,358.83157,2368.1541
1914500000,335.97571,2357.2595
1924000000,316.08261,2382.0913
1933500000,300.62491,2406.9011
1943000000,294.56976,2431.7349
1952500000,298.22128,2456.5129
1962000000,311.34415,2481.3518
1971500000,334.84464,2506.1707
1981000000,351.50638,2533.8303
1990500000,353.30786,2565.9253
2000000000,360.02664,2598.0071
END

