!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:43:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,234.82896,1379.6732
109500000,273.62503,1402.63
119000000,283.76819,1408.4152
128500000,303.16376,1410.1633
138000000,310.5441,1413.0128
147500000,478.15787,1425.1312
157000000,285.85269,1427.7474
166500000,326.61639,1430.2966
176000000,324.85172,1434.38
185500000,328.69131,1431.1163
195000000,325.56799,1437.505
204500000,339.56265,1450.1285
214000000,320.82346,1467.1598
223500000,317.92456,1486.092
233000000,318.52621,1508.6317
242500000,326.12775,1522.594
252000000,327.54501,1527.7551
261500000,328.42578,1531.2842
271000000,326.00372,1526.866
280500000,322.70358,1520.7412
290000000,322.06494,1517.5059
299500000,319.34808,1523.9122
309000000,310.0249,1525.6158
318500000,324.17798,1519.6378
328000000,355.67554,1516.5132
337500000,332.30841,1528.8375
347000000,385.08246,1542.2444
356500000,403.59537,1522.9694
366000000,389.3324,1521.9944
375500000,326.564,1521.719
385000000,284.61884,1533.9679
394500000,286.966,1546.2133
404000000,294.6889,1563.5359
413500000,281.37512,1587.8861
423000000,299.64389,1612.2563
432500000,317.98471,1624.5881
442000000,331.66003,1633.6589
451500000,331.26514,1640.7902
461000000,364.42383,1637.4911
470500000,354.41885,1634.1389
480000000,345.36887,1629.0339
489500000,343.25607,1622.3418
499000000,333.8121,1615.6162
508500000,323.28384,1618.2902
518000000,324.8602,1622.1162
527500000,330.58545,1626.7411
537000000,321.62067,1633.6652
546500000,332.42255,1640.6313
556000000,328.97247,1661.6575
565500000,322.93121,1690.8878
575000000,328.57904,1720.1378
584500000,331.10202,1751.7628
594000000,328.70172,1783.406
603500000,329.60446,1800.8688
613000000,340.15634,1793.9938
622500000,330.56989,1787.1162
632000000,331.47861,1785.531
641500000,329.27371,1785.8696
651000000,324.27097,1785.1011
660500000,318.97711,1774.8696
670000000,318.04742,1764.6378
679500000,312.99399,1751.7826
689000000,302.61777,1735.9951
698500000,311.79523,1720.1635
708000000,311.77255,1707.1635
717500000,317.57367,1694.724
727000000,331.3093,1685.1378
736500000,357.51804,1686.4972
746000000,350.17535,1687.849
755500000,333.78326,1700.4646
765000000,347.11731,1711.8833
774500000,354.53891,1723.347
784000000,344.96234,1734.7628
793500000,328.28952,1747.4719
803000000,360.96036,1765.2587
812500000,370.26157,1783.0941
822000000,357.69827,1800.8837
831500000,333.58948,1818.7178
841000000,325.02014,1829.1361
850500000,320.49554,1837.8511
860000000,318.35416,1846.5111
869500000,320.34921,1855.2261
879000000,318.7767,1859.9692
888500000,309.33325,1859.2445
898000000,304.91943,1858.5134
907500000,308.94217,1857.8451
917000000,317.25082,1857.1604
926500000,321.24094,1858.5297
936000000,324.94962,1859.8861
945500000,329.2674,1861.2439
955000000,325.76465,1862.6162
964500000,335.38446,1873.5341
974000000,341.25067,1889.7242
983500000,342.10129,1905.8663
993000000,336.15887,1922.0087
1002500000,324.2821,1939.7826
1012000000,316.71954,1962.2244
1021500000,311.08344,1984.6165
1031000000,313.33286,2007.0083
1040500000,322.76779,2029.4021
1050000000,316.3866,2018.9076
1059500000,311.38379,2003.8535
1069000000,311.78415,1988.7562
1078500000,324.58173,1973.6547
1088000000,332.67123,1959.1312
1097500000,337.38681,1945.1372
1107000000,340.87231,1931.1558
1116500000,339.70575,1917.1591
1126000000,334.29654,1904.2202
1135500000,360.91592,1899.5341
1145000000,370.37036,1894.9059
1154500000,366.18732,1890.281
1164000000,343.66235,1885.6385
1173500000,327.4447,1911.4091
1183000000,312.13049,1949.101
1192500000,309.02032,1986.7438
1202000000,319.60577,2024.3882
1211500000,326.91571,2059.9736
1221000000,311.55838,2091.2764
1230500000,303.9993,2122.6284
1240000000,315.36841,2153.9946
1249500000,345.26099,2185.2827
1259000000,331.26688,2181.4812
1268500000,323.87201,2175.6584
1278000000,323.61014,2169.8682
1287500000,328.77795,2164.0933
1297000000,341.45871,2150.4138
1306500000,353.41959,2130.6621
1316000000,358.37857,2110.9045
1325500000,348.09427,2091.1392
1335000000,332.87665,2077.5002
1344500000,342.84552,2092.5117
1354000000,340.49402,2107.5337
1363500000,329.87955,2122.6013
1373000000,329.77194,2137.6216
1382500000,293.25891,2182.0334
1392000000,266.48254,2234.3494
1401500000,261.4263,2286.6111
1411000000,280.03305,2338.8938
1420500000,292.92911,2376.0071
1430000000,275.56668,2390.7322
1439500000,277.7373,2405.4043
1449000000,291.11557,2420.1035
1458500000,311.12616,2433.7571
1468000000,320.47601,2389.0259
1477500000,330.62875,2344.28
1487000000,333.89905,2299.5884
1496500000,317.25107,2254.8579
1506000000,349.99896,2183.0115
1515500000,361.00021,2177.2507
1525000000,358.48172,2171.4946
1534500000,347.79111,2165.7214
1544000000,332.47964,2159.9075
1553500000,322.98047,2154.1321
1563000000,327.14105,2148.3647
1572500000,313.22119,2172.092
1582000000,284.18994,2231.2263
1591500000,269.76825,2290.3384
1601000000,266.99673,2349.4771
1610500000,275.2735,2408.5847
1620000000,290.30511,2467.7268
1629500000,311.90945,2526.781
1639000000,330.0267,2560.6572
1648500000,334.01334,2528.6567
1658000000,336.68112,2496.6707
1667500000,334.51724,2464.6707
1677000000,339.61087,2432.6707
1686500000,340.01093,2400.6753
1696000000,342.71265,2368.6709
1705500000,341.94479,2341.2322
1715000000,339.99295,2354.2813
1724500000,334.65125,2367.3965
1734000000,329.14508,2380.4849
1743500000,326.19934,2393.5313
1753000000,325.95825,2406.6465
1762500000,329.15793,2419.7444
1772000000,340.23166,2432.7813
1781500000,322.65341,2475.7756
1791000000,310.25049,2521.2571
1800500000,307.75433,2566.7415
1810000000,317.29706,2612.2295
1819500000,323.30972,2657.6621
1829000000,327.99179,2703.0969
1838500000,324.41177,2748.5803
1848000000,353.82892,2716.76
1857500000,386.08493,2658.6621
1867000000,404.73615,2600.5303
1876500000,409.03448,2542.4766
1886000000,403.68048,2484.3518
1895500000,387.18588,2426.2571
1905000000,361.13071,2368.1541
1914500000,341.02371,2357.2595
1924000000,318.7269,2382.0913
1933500000,302.0433,2406.9011
1943000000,298.67279,2431.7349
1952500000,299.68698,2456.5129
1962000000,315.93567,2481.3518
1971500000,335.08765,2506.1707
1981000000,350.51559,2533.8303
1990500000,357.00415,2565.9253
2000000000,360.87045,2598.0071
END

