!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 00:20:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.34139,-95.703911
109500000,-102.98437,-109.58698
119000000,-103.73355,-104.30876
128500000,-104.59238,41.977554
138000000,-105.06032,-62.971886
147500000,-102.04595,146.97675
157000000,-102.64481,-95.739983
166500000,-103.04303,136.26651
176000000,-103.45892,-158.51988
185500000,-104.03834,-13.832523
195000000,-104.27322,47.921524
204500000,-104.57003,76.544716
214000000,-102.7822,-51.208954
223500000,-102.93397,33.845303
233000000,-103.19104,-174.40215
242500000,-103.65333,-168.04851
252000000,-98.763824,-77.311028
261500000,-98.982475,151.75827
271000000,-99.310982,3.0753019
280500000,-99.775085,177.57759
290000000,-99.965424,175.61363
299500000,-100.1947,-123.26934
309000000,-100.31678,-68.382942
318500000,-100.78954,-77.998856
328000000,-101.04199,134.36479
337500000,-101.09104,-67.9487
347000000,-101.23231,105.84826
356500000,-101.49205,91.809563
366000000,-101.68766,-38.11533
375500000,-101.92245,-122.29283
385000000,-102.11299,178.77975
394500000,-102.27889,-94.193222
404000000,-101.55829,134.97063
413500000,-101.69327,-166.39336
423000000,-101.94415,-68.077614
432500000,-102.06993,-149.26617
442000000,-102.26108,29.595446
451500000,-102.6041,-2.1123874
461000000,-102.71269,-164.08325
470500000,-102.87049,118.39732
480000000,-102.83617,62.841
489500000,-102.93118,-92.495995
499000000,-103.12341,-146.60901
508500000,-103.40125,-5.4985962
518000000,-103.23205,-158.98131
527500000,-103.51936,-60.931122
537000000,-103.80413,175.02959
546500000,-103.5715,-127.8658
556000000,-104.06783,-125.54652
565500000,-103.93114,-29.003948
575000000,-104.13415,115.08649
584500000,-104.2781,-154.13434
594000000,-104.41628,-71.302559
603500000,-104.39253,-114.0128
613000000,-104.37877,170.09462
622500000,-104.48349,-25.085373
632000000,-103.46893,-16.173258
641500000,-103.55011,18.882586
651000000,-103.84335,86.609894
660500000,-104.00725,55.894295
670000000,-104.16517,101.96214
679500000,-104.10623,-31.266623
689000000,-103.95501,144.89401
698500000,-104.44997,-96.167854
708000000,-104.20162,-32.298717
717500000,-104.3718,164.20309
727000000,-104.36637,153.33141
736500000,-104.50105,107.96062
746000000,-104.31988,87.489182
755500000,-104.58657,159.7495
765000000,-104.80185,-70.114059
774500000,-104.62968,23.687738
784000000,-104.80918,-32.740032
793500000,-104.87001,100.0244
803000000,-105.18324,-82.425125
812500000,-104.84715,90.157639
822000000,-104.98456,18.105089
831500000,-104.86537,7.2794366
841000000,-105.11465,146.194
850500000,-105.27505,-165.35486
860000000,-105.187,113.89754
869500000,-104.99397,-98.676331
879000000,-105.4238,52.883472
888500000,-105.39769,-149.59813
898000000,-105.37394,-160.98311
907500000,-105.45461,107.35979
