!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:16:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,234.84915,1379.6732
109500000,271.8313,1402.63
119000000,283.10068,1408.4152
128500000,301.84909,1410.1633
138000000,309.22733,1413.0128
147500000,475.94281,1425.1312
157000000,283.39084,1427.7474
166500000,324.73117,1430.2966
176000000,325.01819,1434.38
185500000,327.70285,1431.1163
195000000,325.96936,1437.505
204500000,340.06119,1450.1285
214000000,318.28021,1467.1598
223500000,318.48154,1486.092
233000000,317.422,1508.6317
242500000,322.67343,1522.594
252000000,326.10141,1527.7551
261500000,326.11758,1531.2842
271000000,327.3476,1526.866
280500000,322.28799,1520.7412
290000000,321.40894,1517.5059
299500000,320.23538,1523.9122
309000000,307.28326,1525.6158
318500000,322.31293,1519.6378
328000000,355.2468,1516.5132
337500000,329.36862,1528.8375
347000000,383.3222,1542.2444
356500000,400.09235,1522.9694
366000000,386.66177,1521.9944
375500000,324.49521,1521.719
385000000,282.01779,1533.9679
394500000,287.44824,1546.2133
404000000,294.97189,1563.5359
413500000,276.87238,1587.8861
423000000,299.4198,1612.2563
432500000,317.03519,1624.5881
442000000,328.8103,1633.6589
451500000,330.50189,1640.7902
461000000,362.86325,1637.4911
470500000,354.30411,1634.1389
480000000,344.03223,1629.0339
489500000,342.20227,1622.3418
499000000,334.54056,1615.6162
508500000,319.92636,1618.2902
518000000,323.58411,1622.1162
527500000,329.75977,1626.7411
537000000,320.47125,1633.6652
546500000,330.66724,1640.6313
556000000,327.74878,1661.6575
565500000,324.08136,1690.8878
575000000,325.99167,1720.1378
584500000,331.22794,1751.7628
594000000,325.68015,1783.406
603500000,328.37357,1800.8688
613000000,337.32361,1793.9938
622500000,328.40692,1787.1162
632000000,329.05435,1785.531
641500000,327.81915,1785.8696
651000000,322.6994,1785.1011
660500000,317.05954,1774.8696
670000000,317.06485,1764.6378
679500000,311.30966,1751.7826
689000000,300.72778,1735.9951
698500000,308.81842,1720.1635
708000000,309.46182,1707.1635
717500000,314.31781,1694.724
727000000,329.47665,1685.1378
736500000,353.66785,1686.4972
746000000,348.73035,1687.849
755500000,330.46103,1700.4646
765000000,345.10175,1711.8833
774500000,352.3804,1723.347
784000000,340.672,1734.7628
793500000,327.97733,1747.4719
803000000,359.20541,1765.2587
812500000,366.47626,1783.0941
822000000,356.76855,1800.8837
831500000,332.97348,1818.7178
841000000,323.29041,1829.1361
850500000,316.36395,1837.8511
860000000,315.35645,1846.5111
869500000,316.39053,1855.2261
879000000,315.72922,1859.9692
888500000,305.53799,1859.2445
898000000,303.07556,1858.5134
907500000,306.50363,1857.8451
917000000,315.2677,1857.1604
926500000,319.39716,1858.5297
936000000,325.4942,1859.8861
945500000,325.37759,1861.2439
955000000,323.26831,1862.6162
964500000,330.83603,1873.5341
974000000,339.78754,1889.7242
983500000,340.08582,1905.8663
993000000,330.83411,1922.0087
1002500000,321.09171,1939.7826
1012000000,312.86441,1962.2244
1021500000,308.33475,1984.6165
1031000000,310.6329,2007.0083
1040500000,319.97635,2029.4021
1050000000,312.50275,2018.9076
1059500000,305.49377,2003.8535
1069000000,310.57663,1988.7562
1078500000,319.71945,1973.6547
1088000000,327.5231,1959.1312
1097500000,333.58972,1945.1372
1107000000,337.71515,1931.1558
1116500000,336.36862,1917.1591
1126000000,333.40604,1904.2202
1135500000,358.92816,1899.5341
1145000000,368.82495,1894.9059
1154500000,361.94281,1890.281
1164000000,339.33868,1885.6385
1173500000,321.45074,1911.4091
1183000000,307.63055,1949.101
1192500000,301.95135,1986.7438
1202000000,318.09381,2024.3882
1211500000,325.89499,2059.9736
1221000000,304.9707,2091.2764
1230500000,302.32544,2122.6284
1240000000,312.62091,2153.9946
1249500000,342.90958,2185.2827
1259000000,326.97256,2181.4812
1268500000,322.93811,2175.6584
1278000000,322.76654,2169.8682
1287500000,324.76065,2164.0933
1297000000,337.8989,2150.4138
1306500000,350.02493,2130.6621
1316000000,353.98032,2110.9045
1325500000,345.4137,2091.1392
1335000000,328.25027,2077.5002
1344500000,339.5163,2092.5117
1354000000,335.64706,2107.5337
1363500000,325.93701,2122.6013
1373000000,328.45587,2137.6216
1382500000,293.02844,2182.0334
1392000000,261.62204,2234.3494
1401500000,257.62045,2286.6111
1411000000,279.13141,2338.8938
1420500000,290.88092,2376.0071
1430000000,276.37946,2390.7322
1439500000,273.91217,2405.4043
1449000000,284.5972,2420.1035
1458500000,307.45129,2433.7571
1468000000,317.75372,2389.0259
1477500000,326.07819,2344.28
1487000000,330.64471,2299.5884
1496500000,315.77774,2254.8579
1506000000,348.31961,2183.0115
1515500000,355.24991,2177.2507
1525000000,354.46542,2171.4946
1534500000,345.96628,2165.7214
1544000000,328.61414,2159.9075
1553500000,321.09756,2154.1321
1563000000,323.06628,2148.3647
1572500000,310.67639,2172.092
1582000000,281.76248,2231.2263
1591500000,267.91327,2290.3384
1601000000,263.21802,2349.4771
1610500000,272.65402,2408.5847
1620000000,288.13797,2467.7268
1629500000,307.48761,2526.781
1639000000,328.92596,2560.6572
1648500000,330.43527,2528.6567
1658000000,331.9422,2496.6707
1667500000,333.88367,2464.6707
1677000000,335.75482,2432.6707
1686500000,335.76645,2400.6753
1696000000,340.47574,2368.6709
1705500000,338.66135,2341.2322
1715000000,334.3147,2354.2813
1724500000,328.45889,2367.3965
1734000000,326.38779,2380.4849
1743500000,323.83136,2393.5313
1753000000,322.79987,2406.6465
1762500000,328.60934,2419.7444
1772000000,337.98083,2432.7813
1781500000,318.93765,2475.7756
1791000000,308.00861,2521.2571
1800500000,306.08087,2566.7415
1810000000,316.28033,2612.2295
1819500000,320.40869,2657.6621
1829000000,324.07532,2703.0969
1838500000,320.85696,2748.5803
1848000000,352.07092,2716.76
1857500000,382.04767,2658.6621
1867000000,398.54269,2600.5303
1876500000,406.39276,2542.4766
1886000000,400.09198,2484.3518
1895500000,381.19479,2426.2571
1905000000,358.88916,2368.1541
1914500000,336.97958,2357.2595
1924000000,317.09079,2382.0913
1933500000,301.88397,2406.9011
1943000000,295.45459,2431.7349
1952500000,298.75043,2456.5129
1962000000,311.87534,2481.3518
1971500000,333.70117,2506.1707
1981000000,351.2355,2533.8303
1990500000,352.25327,2565.9253
2000000000,360.20596,2598.0071
END

