!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 00:20:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.93219,80.428566
109500000,-174.27182,79.07048
119000000,-174.1084,78.707436
128500000,-173.79329,77.896461
138000000,-173.71277,77.700928
147500000,-171.84157,71.603569
157000000,-174.06842,78.75602
166500000,-173.5052,77.26902
176000000,-173.4937,77.271523
185500000,-173.45427,77.130928
195000000,-173.50516,77.330658
204500000,-173.34029,76.967651
214000000,-173.56979,77.75663
223500000,-173.62411,78.053978
233000000,-173.61415,78.201149
242500000,-173.51799,78.051994
252000000,-173.47018,77.963188
261500000,-173.47069,77.991493
271000000,-173.47664,77.973755
280500000,-173.5369,78.088318
290000000,-173.53766,78.065704
299500000,-173.58948,78.25148
309000000,-173.72679,78.619804
318500000,-173.53389,78.071899
328000000,-173.10645,76.852852
337500000,-173.42357,77.84549
347000000,-172.75639,76.02005
356500000,-172.5636,75.235344
366000000,-172.74265,75.798386
375500000,-173.46242,77.895882
385000000,-174.0808,79.545914
394500000,-174.005,79.448341
404000000,-173.90152,79.316719
413500000,-174.12602,79.996025
423000000,-173.88045,79.583107
432500000,-173.56487,78.899872
442000000,-173.43553,78.634834
451500000,-173.4128,78.625092
461000000,-173.01439,77.540558
470500000,-173.11403,77.790367
480000000,-173.25868,78.142906
489500000,-173.27237,78.131775
499000000,-173.4185,78.467354
508500000,-173.53531,78.7836
518000000,-173.51712,78.763611
527500000,-173.42773,78.567825
537000000,-173.57382,78.982231
546500000,-173.38374,78.549698
556000000,-173.44673,78.849564
565500000,-173.53831,79.260994
575000000,-173.47211,79.280937
584500000,-173.40228,79.303352
594000000,-173.47279,79.654465
603500000,-173.44223,79.681831
613000000,-173.32635,79.369377
622500000,-173.40919,79.52652
632000000,-173.44769,79.607918
641500000,-173.45392,79.62439
651000000,-173.50591,79.740891
660500000,-173.58682,79.869499
670000000,-173.59831,79.838348
679500000,-173.70883,80.017281
689000000,-173.8212,80.180489
698500000,-173.6958,79.807671
708000000,-173.66623,79.663048
717500000,-173.62878,79.500656
727000000,-173.41815,78.930275
736500000,-173.08951,78.09343
746000000,-173.17696,78.333298
755500000,-173.40268,78.989426
765000000,-173.2216,78.607277
774500000,-173.18069,78.576782
784000000,-173.29565,78.939095
793500000,-173.43001,79.34436
803000000,-173.03442,78.468948
812500000,-172.96167,78.393539
822000000,-173.07411,78.791389
831500000,-173.3714,79.616524
841000000,-173.50685,79.984955
850500000,-173.61554,80.273109
860000000,-173.62086,80.329506
869500000,-173.60681,80.343468
879000000,-173.6165,80.38871
888500000,-173.75407,80.679482
898000000,-173.80995,80.79303
907500000,-173.72371,80.608307
917000000,-173.62952,80.40271
926500000,-173.57901,80.299583
936000000,-173.49866,80.129028
945500000,-173.47095,80.074181
955000000,-173.50433,80.155838
964500000,-173.38678,79.948921
974000000,-173.27234,79.772736
983500000,-173.27838,79.871361
993000000,-173.37964,80.181633
1002500000,-173.53386,80.603157
1012000000,-173.65625,80.962616
1021500000,-173.72659,81.204269
1031000000,-173.69263,81.233643
1040500000,-173.53711,81.017822
1050000000,-173.6479,81.195686
1059500000,-173.7356,81.305168
1069000000,-173.66882,81.106598
1078500000,-173.54189,80.778412
1088000000,-173.41139,80.433044
1097500000,-173.35649,80.245277
1107000000,-173.3166,80.087196
1116500000,-173.31781,80.018959
1126000000,-173.40115,80.139725
1135500000,-173.03865,79.274643
1145000000,-172.91029,78.934418
1154500000,-172.96315,79.038933
1164000000,-173.25623,79.713768
1173500000,-173.48273,80.355415
1183000000,-173.66812,80.9272
1192500000,-173.74954,81.25914
1202000000,-173.55725,81.036926
1211500000,-173.46471,81.002617
1221000000,-173.71318,81.620895
1230500000,-173.79376,81.892708
1240000000,-173.61237,81.67308
1249500000,-173.2271,81.04097
1259000000,-173.43878,81.446068
1268500000,-173.51735,81.575058
1278000000,-173.54868,81.61274
1287500000,-173.46033,81.420395
1297000000,-173.29585,81.038712
1306500000,-173.14774,80.648743
1316000000,-173.09119,80.441376
1325500000,-173.19748,80.581734
1335000000,-173.40941,80.964844
1344500000,-173.25822,80.71624
1354000000,-173.32033,80.909943
1363500000,-173.42386,81.182678
1373000000,-173.42125,81.238472
1382500000,-173.92751,82.346962
1392000000,-174.36827,83.238586
1401500000,-174.4492,83.512672
1411000000,-174.1338,83.183029
1420500000,-173.96088,83.018532
1430000000,-174.20256,83.43335
1439500000,-174.18735,83.45034
1449000000,-174.01917,83.235069
1458500000,-173.69853,82.762466
1468000000,-173.57285,82.414467
1477500000,-173.45506,82.061615
1487000000,-173.37971,81.769707
1496500000,-173.57559,81.973854
1506000000,-173.18718,80.950325
1515500000,-173.0817,80.707565
1525000000,-173.1239,80.771904
1534500000,-173.25392,81.016113
1544000000,-173.42105,81.327103
1553500000,-173.55124,81.557266
1563000000,-173.52159,81.477791
1572500000,-173.72949,81.958321
1582000000,-174.1452,82.875916
1591500000,-174.41058,83.465797
1601000000,-174.40733,83.624176
1610500000,-174.27838,83.59346
1620000000,-174.05165,83.41346
1629500000,-173.70473,83.036095
1639000000,-173.49437,82.789757
1648500000,-173.4355,82.60096
1658000000,-173.4162,82.474258
1667500000,-173.38968,82.331535
1677000000,-173.3647,82.187637
1686500000,-173.34937,82.057175
1696000000,-173.36392,81.977844
1705500000,-173.31821,81.800377
1715000000,-173.38356,81.965393
1724500000,-173.43645,82.104813
1734000000,-173.49063,82.243866
1743500000,-173.55145,82.391624
1753000000,-173.55223,82.433945
1762500000,-173.47227,82.336266
1772000000,-173.32071,82.109467
1781500000,-173.57814,82.686165
1791000000,-173.77197,83.127197
1800500000,-173.80016,83.291122
1810000000,-173.66792,83.204948
1819500000,-173.55301,83.142647
1829000000,-173.5356,83.22998
1838500000,-173.54086,83.348991
1848000000,-173.15517,82.653481
1857500000,-172.79393,81.852196
1867000000,-172.61417,81.325882
1876500000,-172.52013,80.940002
1886000000,-172.60085,80.899452
1895500000,-172.81194,81.120033
1905000000,-173.06703,81.416603
1914500000,-173.36604,81.943398
1924000000,-173.61674,82.468285
1933500000,-173.83664,82.909256
1943000000,-173.96082,83.176903
1952500000,-173.87898,83.117828
1962000000,-173.67018,82.853859
1971500000,-173.43402,82.532806
1981000000,-173.1911,82.193581
1990500000,-173.16273,82.240143
2000000000,-173.06807,82.167976
END

