!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:16:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1614.537,0.51254231
109500000,1674.4656,0.38559818
119000000,1691.5177,0.36153439
128500000,1712.01,0.40004772
138000000,1722.2467,0.49951899
147500000,1901.0792,0.44518986
157000000,1711.1345,0.49732241
166500000,1755.0363,0.49035847
176000000,1759.3928,0.49240384
185500000,1758.8118,0.48482752
195000000,1763.4669,0.47085434
204500000,1790.181,0.44879463
214000000,1785.444,0.42038849
223500000,1804.5629,0.39594486
233000000,1826.0552,0.37985355
242500000,1845.2567,0.36736998
252000000,1853.8536,0.35671192
261500000,1857.4075,0.34596974
271000000,1854.2081,0.336638
280500000,1843.0236,0.32998776
290000000,1838.9141,0.32739007
299500000,1844.1545,0.3310034
309000000,1832.8826,0.34654719
318500000,1841.9637,0.36779049
328000000,1871.7742,0.38180327
337500000,1858.1863,0.37377709
347000000,1925.5641,0.29745799
356500000,1923.056,0.33253956
366000000,1908.6516,0.32669154
375500000,1846.2051,0.32069793
385000000,1815.974,0.31209147
394500000,1833.649,0.30348501
404000000,1858.5145,0.30173081
413500000,1864.7697,0.30941555
423000000,1911.6747,0.31708983
432500000,1941.6035,0.3293649
442000000,1962.4797,0.34286278
451500000,1971.3099,0.35439852
461000000,2000.3474,0.35548967
470500000,1988.4611,0.3565782
480000000,1973.0787,0.3519702
489500000,1964.5308,0.34223393
499000000,1950.1494,0.3324984
508500000,1938.2291,0.32180724
518000000,1945.6814,0.3110036
527500000,1956.4869,0.30199027
537000000,1954.1489,0.29800132
546500000,1971.3027,0.29400569
556000000,1989.4138,0.29246134
565500000,2014.9836,0.29234576
575000000,2046.1354,0.2922335
584500000,2083.01,0.29245082
594000000,2109.0947,0.29266739
603500000,2129.2344,0.29318169
613000000,2131.3057,0.29419032
622500000,2115.5127,0.2951974
632000000,2114.592,0.2921882
641500000,2113.6902,0.28774807
651000000,2107.7898,0.28352833
660500000,2091.9272,0.28123307
670000000,2081.719,0.27893433
679500000,2063.0977,0.27966464
689000000,2036.7152,0.28375331
698500000,2029.006,0.28784266
708000000,2016.6508,0.29507533
717500000,2009.031,0.30289939
727000000,2014.6284,0.30905238
736500000,2040.1638,0.30893263
746000000,2036.5697,0.30881956
755500000,2030.9034,0.36565426
765000000,2056.9895,0.38220373
774500000,2075.7153,0.39875096
784000000,2075.4534,0.4153069
793500000,2075.4348,0.42842963
803000000,2124.4722,0.42721871
812500000,2149.5542,0.4260191
822000000,2157.6592,0.42481264
831500000,2151.6687,0.42361233
841000000,2152.4338,0.41919738
850500000,2154.1985,0.41402987
860000000,2161.8826,0.40884712
869500000,2171.6042,0.4036797
879000000,2175.6772,0.4013699
888500000,2164.7773,0.40301344
898000000,2161.6082,0.40465486
907500000,2164.3271,0.40628844
917000000,2172.4548,0.40795839
926500000,2177.938,0.41045442
936000000,2185.3865,0.41294247
945500000,2186.6262,0.41543782
955000000,2185.8652,0.41793606
964500000,2204.3909,0.41496938
974000000,2229.4966,0.40904954
983500000,2245.9434,0.40313002
993000000,2252.8394,0.39720958
1002500000,2260.8972,0.39078617
1012000000,2275.0701,0.38297322
1021500000,2292.9448,0.3751556
1031000000,2317.6418,0.36734185
1040500000,2349.3899,0.35952902
1050000000,2331.4316,0.36126462
1059500000,2309.3445,0.36432821
1069000000,2299.3362,0.36739975
1078500000,2293.3928,0.37046346
1088000000,2286.655,0.37450427
1097500000,2278.74,0.37953955
1107000000,2268.8848,0.38457507
1116500000,2253.5569,0.3896105
1126000000,2237.6013,0.39358792
1135500000,2258.4844,0.38862106
1145000000,2263.7478,0.38366005
1154500000,2252.2336,0.37869418
1164000000,2224.9922,0.37372735
1173500000,2232.8875,0.36050558
