!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 14:59:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(DB),DUTNPD(DEG)
100000000,-174.95401,80.475655
109500000,-174.26109,79.044098
119000000,-174.08064,78.636887
128500000,-173.79396,77.898277
138000000,-173.67935,77.608833
147500000,-171.82771,71.548737
157000000,-174.06067,78.736458
166500000,-173.50441,77.266785
176000000,-173.50471,77.302727
185500000,-173.46793,77.170006
195000000,-173.51251,77.351425
204500000,-173.33195,76.943497
214000000,-173.56714,77.749397
223500000,-173.59372,77.972504
233000000,-173.61516,78.203796
242500000,-173.51744,78.050499
252000000,-173.47032,77.963577
261500000,-173.46954,77.988403
271000000,-173.48582,77.998413
280500000,-173.53281,78.077415
290000000,-173.52538,78.03286
299500000,-173.55832,78.169235
309000000,-173.6916,78.529671
318500000,-173.5387,78.084702
328000000,-173.09056,76.806374
337500000,-173.41902,77.833145
347000000,-172.74417,75.982208
356500000,-172.54628,75.178947
366000000,-172.689,75.629135
375500000,-173.48103,77.946106
385000000,-174.03067,79.427269
394500000,-173.97079,79.366791
404000000,-173.90146,79.316574
413500000,-174.08614,79.905632
423000000,-173.83557,79.477318
432500000,-173.54497,78.850182
442000000,-173.39565,78.532738
451500000,-173.36438,78.500969
461000000,-172.98665,77.463226
470500000,-173.08272,77.704689
480000000,-173.21576,78.028526
489500000,-173.22368,78.001831
499000000,-173.38394,78.377716
508500000,-173.49541,78.682732
518000000,-173.48801,78.689964
527500000,-173.39536,78.48455
537000000,-173.52228,78.853966
546500000,-173.3811,78.542892
556000000,-173.42087,78.784645
565500000,-173.46904,79.092415
575000000,-173.43803,79.198486
584500000,-173.3714,79.228798
594000000,-173.41318,79.514626
603500000,-173.3802,79.536667
613000000,-173.25737,79.203156
622500000,-173.38077,79.459267
632000000,-173.39302,79.479179
641500000,-173.40431,79.507828
651000000,-173.42825,79.559845
660500000,-173.54713,79.778442
670000000,-173.55562,79.740067
679500000,-173.63559,79.850967
689000000,-173.75713,80.03746
698500000,-173.62059,79.633453
708000000,-173.6321,79.58326
717500000,-173.56412,79.346733
727000000,-173.38655,78.851463
736500000,-173.04175,77.965591
746000000,-173.13438,78.221558
755500000,-173.36774,78.902672
765000000,-173.15808,78.443901
774500000,-173.11198,78.399498
784000000,-173.21016,78.724785
793500000,-173.38342,79.232101
803000000,-173.00148,78.383545
812500000,-172.90155,78.236259
822000000,-173.01044,78.630112
831500000,-173.33315,79.526672
841000000,-173.45831,79.874702
850500000,-173.54395,80.114578
860000000,-173.55876,80.192909
869500000,-173.528,80.170052
879000000,-173.55849,80.261894
888500000,-173.68498,80.5327
898000000,-173.72545,80.615311
907500000,-173.6481,80.446381
917000000,-173.54396,80.215424
926500000,-173.48987,80.102348
936000000,-173.42531,79.964287
945500000,-173.39264,79.897285
955000000,-173.44432,80.021576
964500000,-173.34254,79.848167
974000000,-173.18216,79.562805
983500000,-173.16302,79.604607
993000000,-173.33739,80.087563
1002500000,-173.47807,80.483902
1012000000,-173.5558,80.754768
1021500000,-173.63454,81.01886
1031000000,-173.65573,81.160027
1040500000,-173.47205,80.884499
1050000000,-173.58925,81.077911
1059500000,-173.65176,81.138359
1069000000,-173.59419,80.954979
1078500000,-173.46024,80.606476
1088000000,-173.37006,80.343262
1097500000,-173.29327,80.105072
1107000000,-173.23482,79.902573
1116500000,-173.25647,79.879898
1126000000,-173.30017,79.91246
