!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 14:59:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.52776,0.018226843
109500000,-166.36121,0.013196576
119000000,-166.31654,0.012246438
128500000,-166.26282,0.013384419
138000000,-166.23515,0.016606307
147500000,-165.8102,0.013420557
157000000,-166.26389,0.016643064
166500000,-166.16008,0.016022431
176000000,-166.15007,0.016052218
185500000,-166.15135,0.015809877
195000000,-166.1438,0.015327537
204500000,-166.07933,0.014394184
214000000,-166.08099,0.013488301
223500000,-166.03992,0.012584412
233000000,-165.98964,0.011934018
242500000,-165.93962,0.011409652
252000000,-165.91924,0.011026739
261500000,-165.91081,0.010673974
271000000,-165.92404,0.01041776
280500000,-165.94666,0.01026527
290000000,-165.95299,0.010199303
299500000,-165.94359,0.010289581
309000000,-165.96242,0.010819589
318500000,-165.95026,0.0114507
328000000,-165.87601,0.011685478
337500000,-165.90767,0.011523561
347000000,-165.74973,0.0088430988
356500000,-165.75272,0.0098928409
366000000,-165.78441,0.0097900471
375500000,-165.9353,0.0099502113
385000000,-165.99779,0.0098235328
394500000,-165.95927,0.0094682686
404000000,-165.90752,0.009302034
413500000,-165.87939,0.0094773658
423000000,-165.7849,0.0095033981
432500000,-165.71049,0.0097035998
442000000,-165.66537,0.0099968901
451500000,-165.64436,0.010283347
461000000,-165.58536,0.010175831
470500000,-165.60994,0.010264914
480000000,-165.64468,0.010213625
489500000,-165.66086,0.0099681793
499000000,-165.70349,0.009780135
508500000,-165.71628,0.0094935764
518000000,-165.70656,0.0091543607
527500000,-165.68071,0.0088362973
537000000,-165.68646,0.0087311314
546500000,-165.64758,0.008537285
556000000,-165.60814,0.0084156683
565500000,-165.55264,0.0083055189
575000000,-165.48517,0.0081743468
584500000,-165.40802,0.0080363974
594000000,-165.34918,0.0079341251
603500000,-165.30836,0.0078737121
