!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:41:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-103.89847,-9.6269207
109500000,-102.95409,-115.32596
119000000,-103.80365,-73.606163
128500000,-104.10794,-30.162239
138000000,-104.79885,-148.81952
147500000,-102.29359,129.53168
157000000,-102.66485,172.008
166500000,-103.02531,23.626945
176000000,-103.62861,-162.11383
185500000,-103.91025,80.747093
195000000,-104.58479,-179.6286
204500000,-104.82497,-60.750053
214000000,-102.16201,139.48004
223500000,-102.3409,-30.256571
233000000,-102.99026,81.720299
242500000,-103.42298,176.09827
252000000,-98.372055,14.109539
261500000,-98.707184,-150.78824
271000000,-99.230965,-149.07993
280500000,-99.139313,-175.30858
290000000,-99.454758,-65.684937
299500000,-99.788658,26.970058
309000000,-100.15347,-49.29195
318500000,-100.26405,77.736977
328000000,-100.35699,56.416214
337500000,-100.58675,-142.71786
347000000,-101.30395,63.572887
356500000,-101.12917,-146.94182
366000000,-101.32497,42.478485
375500000,-101.72383,-25.652317
385000000,-101.67628,80.799019
394500000,-101.9619,-24.189619
404000000,-102.30576,-36.269051
413500000,-102.3079,16.902184
423000000,-102.58717,171.23706
432500000,-102.5332,-100.45459
442000000,-102.54403,105.68996
451500000,-102.79421,-151.32742
461000000,-103.0119,-94.733604
470500000,-103.04016,-31.985233
480000000,-103.08941,-46.346725
489500000,-103.74483,-126.1956
499000000,-103.74672,-141.88124
508500000,-102.92481,-77.500069
518000000,-102.89597,-74.396484
527500000,-103.00083,173.50691
537000000,-103.18051,-61.349007
546500000,-103.15259,172.85503
556000000,-103.65219,100.47289
565500000,-103.66264,136.86604
575000000,-103.71223,127.60486
584500000,-103.89985,-55.1628
594000000,-103.77054,120.63937
603500000,-103.81638,-77.868332
613000000,-103.97642,173.00116
622500000,-104.26286,11.127648
632000000,-103.52368,133.93217
641500000,-103.53056,166.02251
651000000,-103.58652,57.990917
660500000,-103.52869,2.8079402
670000000,-103.41876,95.714981
679500000,-103.65401,-149.36552
689000000,-103.60419,70.738159
698500000,-103.66611,-6.7513003
708000000,-104.08046,-62.914608
717500000,-103.9701,-174.60292
727000000,-103.93745,4.9113865
736500000,-104.28948,-78.837883
746000000,-103.90871,111.88443
755500000,-104.26263,12.057186
765000000,-103.98464,151.85121
774500000,-104.40553,45.798267
784000000,-104.51565,132.12407
793500000,-104.369,9.4847069
803000000,-104.41602,-155.02699
812500000,-104.61474,172.68924
822000000,-104.4773,145.46655
831500000,-104.79224,-170.87126
841000000,-104.9007,157.73322
850500000,-104.72486,58.894531
860000000,-104.80638,-82.500519
869500000,-104.91787,-126.94106
879000000,-104.88298,-159.4006
888500000,-104.95982,-37.462044
898000000,-104.85324,117.46885
907500000,-104.91847,20.58215
917000000,-105.23528,34.80896
926500000,-105.22939,155.63181
936000000,-105.15765,116.22861
945500000,-105.21178,-76.253677
955000000,-105.36562,-43.631817
964500000,-105.41209,89.334694
974000000,-105.16196,-139.2393
983500000,-105.27753,-118.76438
993000000,-105.09455,31.643496
1002500000,-105.13654,42.337406
1012000000,-105.32998,-74.037849
1021500000,-105.34602,-101.53587
1031000000,-105.27451,61.714455
1040500000,-105.4277,35.185619
1050000000,-105.46101,65.511894
1059500000,-105.35359,144.09749
1069000000,-105.29729,149.27072
1078500000,-105.41004,-120.97807
1088000000,-105.32809,-58.116982
1097500000,-105.37643,-132.47884
1107000000,-105.50872,81.517044
1116500000,-105.54874,163.37936
1126000000,-105.39812,152.05513
1135500000,-105.49574,158.76631
1145000000,-105.64355,42.613903
1154500000,-105.60598,-117.55683
1164000000,-105.57891,-1.575501
1173500000,-105.68376,119.24568
1183000000,-105.57864,160.21581
1192500000,-105.40374,-156.61494
1202000000,-105.54781,22.872217
1211500000,-105.83965,65.059151
1221000000,-105.50209,179.71187
1230500000,-105.6832,-17.137743
1240000000,-105.49345,-100.01911
1249500000,-105.42111,177.8441
1259000000,-105.33987,47.024223
1268500000,-105.33153,136.03989
1278000000,-105.52522,-29.331404
1287500000,-105.73801,-32.710068
1297000000,-105.50549,39.120037
1306500000,-105.55919,20.447664
1316000000,-105.65733,-94.460045
1325500000,-105.4155,86.33297
1335000000,-105.42276,-70.506989
1344500000,-105.4057,71.684021
1354000000,-105.28841,44.388088
1363500000,-105.42863,-171.19984
1373000000,-105.36028,-97.450874
1382500000,-105.60789,93.233093
1392000000,-105.32494,49.073143
1401500000,-105.20865,161.88557
1411000000,-105.29833,95.979012
1420500000,-105.19635,-32.104961
1430000000,-105.27004,140.90381
1439500000,-105.08408,58.090225
1449000000,-105.14626,-33.103107
1458500000,-104.99708,-126.39378
1468000000,-105.28721,82.841118
1477500000,-105.1166,-79.650223
1487000000,-105.28539,85.168449
1496500000,-105.34102,57.235657
1506000000,-104.89932,88.249565
1515500000,-104.98124,10.039813
1525000000,-105.21368,44.363922
1534500000,-105.13177,-166.28365
1544000000,-105.02957,-16.826565
1553500000,-104.98507,-90.633957
1563000000,-105.00176,-95.93914
1572500000,-104.75547,110.85415
1582000000,-104.96007,-106.6926
1591500000,-104.96615,-111.46513
1601000000,-104.83827,39.320812
1610500000,-104.57189,2.491431
1620000000,-104.82285,176.31584
1629500000,-104.75133,33.544136
1639000000,-104.76723,120.29806
1648500000,-104.73376,-152.30658
1658000000,-104.72924,20.140574
1667500000,-104.28914,98.3424
1677000000,-104.72618,124.70128
1686500000,-104.9314,-33.85957
1696000000,-104.34201,-74.370331
1705500000,-104.38409,10.8592
1715000000,-104.40952,-55.138016
1724500000,-104.42426,29.425203
1734000000,-104.48701,85.827583
1743500000,-104.35841,28.238728
1753000000,-104.49605,-7.7542624
1762500000,-104.27538,-11.517076
1772000000,-104.41085,-50.887215
1781500000,-104.43817,-162.60619
1791000000,-104.2871,-22.662994
1800500000,-103.88573,122.4213
1810000000,-104.23827,-106.55614
1819500000,-104.35735,-164.68834
1829000000,-104.16643,133.45259
1838500000,-104.08925,174.97597
1848000000,-103.97624,56.054901
1857500000,-104.12525,88.30838
1867000000,-104.16702,125.97221
1876500000,-103.9313,93.223854
1886000000,-104.0816,-42.044346
1895500000,-103.77113,9.6388187
1905000000,-104.14053,-123.40955
1914500000,-103.91837,-77.904655
1924000000,-103.67984,-15.243134
1933500000,-103.84937,-58.060818
1943000000,-103.94991,-20.984188
1952500000,-103.93787,57.699028
1962000000,-103.80405,129.86139
1971500000,-103.59452,-12.512549
1981000000,-104.01765,175.3976
1990500000,-103.84133,132.49016
2000000000,-103.83295,148.68069
END

