!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 06:59:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,234.90059,1379.6732
109500000,271.9491,1402.63
119000000,283.40076,1408.4152
128500000,302.15247,1410.1633
138000000,309.862,1413.0128
147500000,477.284,1425.1312
157000000,285.04272,1427.7474
166500000,324.41333,1430.2966
176000000,325.28427,1434.38
185500000,327.98639,1431.1163
195000000,324.409,1437.505
204500000,338.89825,1450.1285
214000000,318.62869,1467.1598
223500000,317.55853,1486.092
233000000,318.01706,1508.6317
242500000,324.19498,1522.594
252000000,326.58585,1527.7551
261500000,329.52988,1531.2842
271000000,328.16684,1526.866
280500000,322.80643,1520.7412
290000000,322.56061,1517.5059
299500000,318.0621,1523.9122
309000000,308.84555,1525.6158
318500000,322.05322,1519.6378
328000000,356.03488,1516.5132
337500000,332.71368,1528.8375
347000000,386.349,1542.2444
356500000,403.34097,1522.9694
366000000,388.38062,1521.9944
375500000,324.61407,1521.719
385000000,284.63968,1533.9679
394500000,289.82446,1546.2133
404000000,295.42572,1563.5359
413500000,281.85675,1587.8861
423000000,300.3475,1612.2563
432500000,319.74252,1624.5881
442000000,331.29166,1633.6589
451500000,334.74203,1640.7902
461000000,366.06448,1637.4911
470500000,355.99561,1634.1389
480000000,346.8826,1629.0339
489500000,344.63074,1622.3418
499000000,336.57352,1615.6162
508500000,325.22675,1618.2902
518000000,325.54846,1622.1162
527500000,331.69644,1626.7411
537000000,323.02139,1633.6652
546500000,335.08469,1640.6313
556000000,330.93845,1661.6575
565500000,324.84399,1690.8878
575000000,330.44357,1720.1378
584500000,332.77213,1751.7628
594000000,331.45865,1783.406
603500000,332.46167,1800.8688
613000000,342.22079,1793.9938
622500000,335.1752,1787.1162
632000000,333.28476,1785.531
641500000,330.42966,1785.8696
651000000,326.30695,1785.1011
660500000,321.19592,1774.8696
670000000,321.10757,1764.6378
679500000,315.73874,1751.7826
689000000,303.7027,1735.9951
698500000,314.74722,1720.1635
708000000,313.88403,1707.1635
717500000,319.79712,1694.724
727000000,332.63727,1685.1378
736500000,360.63315,1686.4972
746000000,352.63901,1687.849
755500000,335.25055,1700.4646
765000000,350.70703,1711.8833
774500000,355.41,1723.347
784000000,344.88486,1734.7628
793500000,333.69794,1747.4719
803000000,362.60712,1765.2587
812500000,372.35178,1783.0941
822000000,360.07715,1800.8837
831500000,336.61176,1818.7178
841000000,329.67722,1829.1361
850500000,321.29611,1837.8511
860000000,319.02753,1846.5111
869500000,321.93338,1855.2261
879000000,321.25708,1859.9692
888500000,309.57867,1859.2445
898000000,307.64459,1858.5134
907500000,309.64029,1857.8451
917000000,319.03366,1857.1604
926500000,323.50995,1858.5297
936000000,327.98645,1859.8861
945500000,330.91,1861.2439
955000000,328.41531,1862.6162
964500000,335.83701,1873.5341
974000000,345.82861,1889.7242
983500000,345.77487,1905.8663
993000000,338.51782,1922.0087
1002500000,327.16147,1939.7826
1012000000,317.53525,1962.2244
1021500000,315.08707,1984.6165
1031000000,315.17981,2007.0083
1040500000,324.60556,2029.4021
1050000000,317.79346,2018.9076
1059500000,311.77365,2003.8535
1069000000,316.22693,1988.7562
1078500000,327.29507,1973.6547
1088000000,335.25787,1959.1312
1097500000,340.24664,1945.1372
1107000000,343.63184,1931.1558
1116500000,341.62585,1917.1591
1126000000,336.6756,1904.2202
1135500000,365.12918,1899.5341
1145000000,375.27219,1894.9059
1154500000,367.31592,1890.281
1164000000,347.06323,1885.6385
1173500000,329.04706,1911.4091
1183000000,313.6839,1949.101
1192500000,309.50327,1986.7438
1202000000,322.47903,2024.3882
1211500000,331.25613,2059.9736
1221000000,313.39731,2091.2764
1230500000,309.43503,2122.6284
1240000000,317.25937,2153.9946
1249500000,347.70947,2185.2827
1259000000,333.76749,2181.4812
1268500000,324.91159,2175.6584
1278000000,325.12006,2169.8682
1287500000,331.39047,2164.0933
1297000000,341.05725,2150.4138
1306500000,357.82654,2130.6621
1316000000,360.92059,2110.9045
1325500000,349.52902,2091.1392
1335000000,334.25,2077.5002
1344500000,343.88327,2092.5117
1354000000,341.40009,2107.5337
1363500000,332.85455,2122.6013
1373000000,331.49731,2137.6216
1382500000,297.92508,2182.0334
1392000000,269.20053,2234.3494
1401500000,264.51883,2286.6111
1411000000,282.61856,2338.8938
1420500000,293.4476,2376.0071
1430000000,279.32266,2390.7322
1439500000,279.48483,2405.4043
1449000000,291.59085,2420.1035
1458500000,314.53506,2433.7571
1468000000,322.10175,2389.0259
1477500000,334.10406,2344.28
1487000000,336.49298,2299.5884
1496500000,319.3699,2254.8579
1506000000,353.50049,2183.0115
1515500000,361.61176,2177.2507
1525000000,360.88193,2171.4946
1534500000,350.17023,2165.7214
1544000000,337.34259,2159.9075
1553500000,325.22501,2154.1321
1563000000,327.56302,2148.3647
1572500000,313.93674,2172.092
1582000000,284.44937,2231.2263
1591500000,270.99649,2290.3384
1601000000,269.15988,2349.4771
1610500000,278.49039,2408.5847
1620000000,293.18723,2467.7268
1629500000,314.63452,2526.781
1639000000,335.91068,2560.6572
1648500000,335.27048,2528.6567
1658000000,338.11255,2496.6707
1667500000,339.63882,2464.6707
1677000000,341.84372,2432.6707
1686500000,341.00562,2400.6753
1696000000,342.8439,2368.6709
1705500000,345.6116,2341.2322
1715000000,341.20334,2354.2813
1724500000,337.11542,2367.3965
1734000000,334.97314,2380.4849
1743500000,329.34537,2393.5313
1753000000,328.66592,2406.6465
1762500000,334.6084,2419.7444
1772000000,344.68182,2432.7813
1781500000,324.67902,2475.7756
1791000000,315.11035,2521.2571
1800500000,312.25766,2566.7415
1810000000,319.41769,2612.2295
1819500000,324.85034,2657.6621
1829000000,328.73401,2703.0969
1838500000,329.10406,2748.5803
1848000000,357.46725,2716.76
1857500000,387.52859,2658.6621
1867000000,405.04153,2600.5303
1876500000,411.19724,2542.4766
1886000000,404.6326,2484.3518
1895500000,388.37537,2426.2571
1905000000,362.7088,2368.1541
1914500000,340.13754,2357.2595
1924000000,320.98672,2382.0913
1933500000,307.11844,2406.9011
1943000000,300.28342,2431.7349
1952500000,302.69031,2456.5129
1962000000,316.49432,2481.3518
1971500000,335.95264,2506.1707
1981000000,358.37268,2533.8303
1990500000,357.67783,2565.9253
2000000000,363.41214,2598.0071
END

