!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 06:59:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1614.5896,0.51254231
109500000,1674.5823,0.38559818
119000000,1691.8184,0.36153439
128500000,1712.3137,0.40004772
138000000,1722.8823,0.49951899
147500000,1902.4213,0.44518986
157000000,1712.7863,0.49732241
166500000,1754.7191,0.49035847
176000000,1759.6606,0.49240384
185500000,1759.0966,0.48482752
195000000,1761.9072,0.47085434
204500000,1789.0183,0.44879463
214000000,1785.7906,0.42038849
223500000,1803.6396,0.39594486
233000000,1826.6493,0.37985355
242500000,1846.7809,0.36736998
252000000,1854.3396,0.35671192
261500000,1860.8182,0.34596974
271000000,1855.0244,0.336638
280500000,1843.5422,0.32998776
290000000,1840.0667,0.32739007
299500000,1841.9823,0.3310034
309000000,1834.441,0.34654719
318500000,1841.7034,0.36779049
328000000,1872.5605,0.38180327
337500000,1861.5326,0.37377709
347000000,1928.5886,0.29745799
356500000,1926.3029,0.33253956
366000000,1910.3717,0.32669154
375500000,1846.3271,0.32069793
385000000,1818.595,0.31209147
394500000,1836.0247,0.30348501
404000000,1858.9706,0.30173081
413500000,1869.7554,0.30941555
423000000,1912.6038,0.31708983
432500000,1944.3102,0.3293649
442000000,1964.9607,0.34286278
451500000,1975.5514,0.35439852
461000000,2003.5499,0.35548967
470500000,1990.1555,0.3565782
480000000,1975.9277,0.3519702
489500000,1966.9585,0.34223393
499000000,1952.1825,0.3324984
508500000,1943.5261,0.32180724
518000000,1947.6494,0.3110036
527500000,1958.423,0.30199027
537000000,1956.7017,0.29800132
546500000,1975.7172,0.29400569
556000000,1992.6018,0.29246134
565500000,2015.7507,0.29234576
575000000,2050.5916,0.2922335
584500000,2084.552,0.29245082
594000000,2114.876,0.29266739
603500000,2133.322,0.29318169
613000000,2136.2026,0.29419032
622500000,2122.2793,0.2951974
632000000,2118.8203,0.2921882
641500000,2116.3008,0.28774807
651000000,2111.3982,0.28352833
660500000,2096.0667,0.28123307
670000000,2085.7581,0.27893433
679500000,2067.5295,0.27966464
689000000,2039.6887,0.28375331
698500000,2034.9326,0.28784266
708000000,2021.0743,0.29507533
717500000,2014.5117,0.30289939
727000000,2017.7872,0.30905238
736500000,2047.1268,0.30893263
746000000,2040.4772,0.30881956
755500000,2035.6903,0.36565426
765000000,2062.5999,0.38220373
774500000,2078.7449,0.39875096
784000000,2079.6641,0.4153069
793500000,2081.1563,0.42842963
803000000,2127.8745,0.42721871
812500000,2155.427,0.4260191
822000000,2160.9673,0.42481264
831500000,2155.3074,0.42361233
841000000,2158.8206,0.41919738
850500000,2159.1311,0.41402987
860000000,2165.55,0.40884712
869500000,2177.1453,0.4036797
879000000,2181.207,0.4013699
888500000,2168.8196,0.40301344
898000000,2166.1792,0.40465486
907500000,2167.4648,0.40628844
917000000,2176.2227,0.40795839
926500000,2182.0515,0.41045442
936000000,2187.8828,0.41294247
945500000,2192.1575,0.41543782
