!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 21:51:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1613.3291,0.51254231
109500000,1674.5649,0.38559818
119000000,1692.2653,0.36153439
128500000,1711.4535,0.40004772
138000000,1722.1539,0.49951899
147500000,1901.5046,0.44518986
157000000,1714.1738,0.49732241
166500000,1756.1509,0.49035847
176000000,1761.3546,0.49240384
185500000,1759.9657,0.48482752
195000000,1763.1294,0.47085434
204500000,1788.4254,0.44879463
214000000,1787.1062,0.42038849
223500000,1803.8914,0.39594486
233000000,1825.7856,0.37985355
242500000,1845.7094,0.36736998
252000000,1855.4041,0.35671192
261500000,1858.2219,0.34596974
271000000,1852.7844,0.336638
280500000,1844.7529,0.32998776
290000000,1839.3154,0.32739007
299500000,1843.7454,0.3310034
309000000,1835.3875,0.34654719
318500000,1841.0194,0.36779049
328000000,1872.9434,0.38180327
337500000,1860.9838,0.37377709
347000000,1927.7926,0.29745799
356500000,1924.864,0.33253956
366000000,1909.8829,0.32669154
375500000,1846.1373,0.32069793
385000000,1817.9799,0.31209147
394500000,1835.2515,0.30348501
404000000,1858.1378,0.30173081
413500000,1868.7833,0.30941555
423000000,1911.1569,0.31708983
432500000,1941.369,0.3293649
442000000,1961.9989,0.34286278
451500000,1971.4814,0.35439852
461000000,2002.2242,0.35548967
470500000,1989.2091,0.3565782
480000000,1974.8011,0.3519702
489500000,1964.4097,0.34223393
499000000,1948.6617,0.3324984
508500000,1940.6553,0.32180724
518000000,1947.119,0.3110036
527500000,1955.2614,0.30199027
537000000,1953.5555,0.29800132
546500000,1972.9108,0.29400569
556000000,1990.8851,0.29246134
565500000,2013.7642,0.29234576
575000000,2047.1976,0.2922335
584500000,2081.3706,0.29245082
594000000,2110.8269,0.29266739
603500000,2129.5,0.29318169
613000000,2132.2349,0.29419032
622500000,2116.1448,0.2951974
632000000,2116.219,0.2921882
641500000,2114.364,0.28774807
651000000,2108.9006,0.28352833
660500000,2093.303,0.28123307
670000000,2080.438,0.27893433
679500000,2062.7922,0.27966464
689000000,2036.6824,0.28375331
698500000,2029.6726,0.28784266
708000000,2017.7028,0.29507533
717500000,2011.1807,0.30289939
727000000,2014.0773,0.30905238
736500000,2042.0488,0.30893263
746000000,2035.0286,0.30881956
755500000,2031.0118,0.36565426
765000000,2057.2681,0.38220373
774500000,2073.7798,0.39875096
784000000,2076.0986,0.4153069
793500000,2075.1006,0.42842963
803000000,2124.1904,0.42721871
812500000,2151.0867,0.4260191
822000000,2157.2788,0.42481264
831500000,2151.1265,0.42361233
841000000,2152.8396,0.41919738
850500000,2153.9412,0.41402987
860000000,2161.0425,0.40884712
869500000,2171.5083,0.4036797
879000000,2176.0557,0.4013699
888500000,2166.2424,0.40301344
898000000,2160.0344,0.40465486
907500000,2164.6462,0.40628844
917000000,2170.4294,0.40795839
926500000,2178.3357,0.41045442
936000000,2184.9834,0.41294247
945500000,2189.2544,0.41543782
955000000,2184.4785,0.41793606
964500000,2202.8545,0.41496938
974000000,2231.1147,0.40904954
983500000,2248.239,0.40313002
993000000,2255.082,0.39720958
1002500000,2260.7161,0.39078617
1012000000,2275.0068,0.38297322
1021500000,2292.5166,0.3751556
1031000000,2316.998,0.36734185
1040500000,2350.8071,0.35952902
1050000000,2331.71,0.36126462
1059500000,2311.1733,0.36432821
1069000000,2299.2361,0.36739975
1078500000,2294.4785,0.37046346
1088000000,2289.0723,0.37450427
1097500000,2280.4561,0.37953955
1107000000,2269.7419,0.38457507
1116500000,2254.1929,0.3896105
1126000000,2238.3442,0.39358792
1135500000,2258.2834,0.38862106
1145000000,2262.7791,0.38366005
1154500000,2252.6289,0.37869418
1164000000,2224.2678,0.37372735
1173500000,2235.1821,0.36050558
1183000000,2258.8125,0.34405681
1192500000,2291.2576,0.32760939
1202000000,2341.3613,0.31116101
1211500000,2385.6824,0.29733208
1221000000,2398.5396,0.28871682
1230500000,2425.0623,0.28010389
1240000000,2468.2585,0.27148807
1249500000,2527.8596,0.26287851
1259000000,2511.3196,0.26385149
1268500000,2497.4148,0.26535043
1278000000,2493.0288,0.26684889
1287500000,2490.5518,0.26835319
1297000000,2487.9617,0.26997826
1306500000,2482.4316,0.27170169
1316000000,2466.8496,0.27342701
1325500000,2436.7957,0.27515727
1335000000,2407.1042,0.27511945
1344500000,2432.0564,0.26682642
1354000000,2443.8555,0.25852659
1363500000,2449.7104,0.2502284
1373000000,2463.8101,0.24192744
1382500000,2474.8547,0.2353218
1392000000,2496.6699,0.2291681
1401500000,2544.8967,0.22300877
