!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:04:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.52502,0.018215405
109500000,-166.36487,0.013207735
119000000,-166.31868,0.0122525
128500000,-166.26616,0.013394731
138000000,-166.23854,0.016619263
147500000,-165.80893,0.013416683
157000000,-166.27025,0.016667429
166500000,-166.16139,0.016027255
176000000,-166.14986,0.016051415
185500000,-166.15678,0.01582966
195000000,-166.14726,0.015339791
204500000,-166.07961,0.014395074
214000000,-166.08711,0.013507283
223500000,-166.04471,0.012598307
233000000,-165.99188,0.011940172
242500000,-165.94099,0.011413244
252000000,-165.92123,0.011031831
261500000,-165.90952,0.010670773
271000000,-165.92693,0.010424662
280500000,-165.94644,0.01026476
290000000,-165.95943,0.010214439
299500000,-165.94875,0.010301817
309000000,-165.97063,0.010840061
318500000,-165.9514,0.011453721
328000000,-165.88095,0.011698778
337500000,-165.91228,0.01153577
347000000,-165.75374,0.0088512609
356500000,-165.75958,0.0099084908
366000000,-165.78954,0.009801615
375500000,-165.93646,0.0099528749
385000000,-166.00418,0.0098380009
394500000,-165.96638,0.0094837938
404000000,-165.90483,0.0092962924
413500000,-165.88287,0.0094849747
423000000,-165.78546,0.0095046172
432500000,-165.71611,0.0097161448
442000000,-165.67314,0.010014755
451500000,-165.65614,0.010311281
461000000,-165.59224,0.010191951
470500000,-165.61502,0.01027691
480000000,-165.64896,0.010223678
489500000,-165.66862,0.0099859945
499000000,-165.70325,0.0097795771
508500000,-165.72371,0.009509841
518000000,-165.71275,0.0091674207
527500000,-165.68692,0.00884894
537000000,-165.68755,0.0087333247
546500000,-165.6524,0.0085467864
556000000,-165.60851,0.0084163835
565500000,-165.56073,0.0083210161
575000000,-165.48744,0.0081786262
584500000,-165.4212,0.0080608372
594000000,-165.35675,0.0079479739
603500000,-165.31685,0.0078891078
613000000,-165.30893,0.0079018213
622500000,-165.34233,0.007990092
632000000,-165.34645,0.0079161655
641500000,-165.34857,0.0077996561
651000000,-165.36142,0.0077080545
660500000,-165.39583,0.0077064787
670000000,-165.41441,0.007676254
679500000,-165.4597,0.0077770436
689000000,-165.51137,0.0079851681
698500000,-165.52104,0.0081183044
708000000,-165.55229,0.0083824024
717500000,-165.56737,0.008634598
727000000,-165.55969,0.0087944446
736500000,-165.49951,0.0086700451
746000000,-165.51126,0.0086903572
755500000,-165.52031,0.010311157
765000000,-165.46407,0.010639171
774500000,-165.43193,0.01101795
784000000,-165.42487,0.01145675
793500000,-165.42905,0.011830169
803000000,-165.32993,0.011530531
812500000,-165.27318,0.011348882
822000000,-165.25974,0.011281757
831500000,-165.27499,0.011289505
841000000,-165.26834,0.011154729
850500000,-165.26709,0.011014053
860000000,-165.25269,0.010840171
869500000,-165.22926,0.010645597
879000000,-165.22134,0.010565387
888500000,-165.24275,0.010661076
898000000,-165.25168,0.010726518
907500000,-165.24614,0.010756082
917000000,-165.23137,0.010763649
926500000,-165.21883,0.010798272
936000000,-165.20573,0.010831004
945500000,-165.20229,0.010887805
955000000,-165.19991,0.010947309
964500000,-165.16844,0.010791134
974000000,-165.11758,0.01051335
983500000,-165.08362,0.010280467
993000000,-165.06653,0.010089708
1002500000,-165.05994,0.0099114813
1012000000,-165.02739,0.0096408129
1021500000,-164.99432,0.0093723983
1031000000,-164.94908,0.009082078
1040500000,-164.88559,0.0087599065
1050000000,-164.9245,0.008881405
1059500000,-164.96402,0.0090386001
1069000000,-164.98122,0.0091509679
1078500000,-164.98984,0.0092456117
1088000000,-165.00676,0.0093829362
1097500000,-165.02478,0.0095486529
