!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 08:27:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.89595,80.349869
109500000,-174.29623,79.130287
119000000,-174.08794,78.655457
128500000,-173.79529,77.901886
138000000,-173.69441,77.650429
147500000,-171.83772,71.588356
157000000,-174.05891,78.732025
166500000,-173.5144,77.29509
176000000,-173.51389,77.328636
185500000,-173.47556,77.191795
195000000,-173.51219,77.35051
204500000,-173.33472,76.95153
214000000,-173.59895,77.836113
223500000,-173.60112,77.992371
233000000,-173.61235,78.196404
242500000,-173.53644,78.101166
252000000,-173.48018,77.990089
261500000,-173.48117,78.019623
271000000,-173.48537,77.997192
280500000,-173.52109,78.04615
290000000,-173.5475,78.091934
299500000,-173.58331,78.235245
309000000,-173.68378,78.509491
318500000,-173.51375,78.018059
328000000,-173.08963,76.803635
337500000,-173.40901,77.805939
347000000,-172.75992,76.030922
356500000,-172.56114,75.227356
366000000,-172.72116,75.73082
375500000,-173.48279,77.950851
385000000,-174.05841,79.493088
394500000,-173.97586,79.378937
404000000,-173.89978,79.312523
413500000,-174.11685,79.975304
423000000,-173.79974,79.392113
432500000,-173.57622,78.928162
442000000,-173.40955,78.568443
451500000,-173.37732,78.534271
461000000,-172.97751,77.437645
470500000,-173.11121,77.782654
480000000,-173.2477,78.113747
489500000,-173.24753,78.065674
499000000,-173.38062,78.369041
508500000,-173.54095,78.797813
518000000,-173.51132,78.748978
527500000,-173.40538,78.510391
537000000,-173.54698,78.915611
546500000,-173.41194,78.621834
556000000,-173.40753,78.75103
565500000,-173.45113,79.048416
575000000,-173.41663,79.1464
584500000,-173.4086,79.318542
594000000,-173.43036,79.555107
603500000,-173.38821,79.555511
613000000,-173.28452,79.268837
622500000,-173.40765,79.522888
632000000,-173.41362,79.527855
641500000,-173.40222,79.502884
651000000,-173.47414,79.667213
660500000,-173.58189,79.858223
670000000,-173.56451,79.760605
679500000,-173.61801,79.810684
689000000,-173.7729,80.072861
698500000,-173.68489,79.782562
708000000,-173.64676,79.617592
717500000,-173.5426,79.295059
727000000,-173.38322,78.843124
736500000,-173.09683,78.112923
746000000,-173.14699,78.254738
755500000,-173.36319,78.891312
765000000,-173.17929,78.498711
774500000,-173.13837,78.46788
784000000,-173.22041,78.750671
793500000,-173.40504,79.28434
803000000,-173.04744,78.502556
812500000,-172.9044,78.243759
822000000,-173.03873,78.702049
831500000,-173.37794,79.631836
841000000,-173.49004,79.946877
850500000,-173.54375,80.114151
860000000,-173.55779,80.190735
869500000,-173.58604,80.298058
879000000,-173.58263,80.314857
888500000,-173.71509,80.596924
898000000,-173.75162,80.670677
907500000,-173.7094,80.57785
917000000,-173.58815,80.312561
926500000,-173.50175,80.128853
936000000,-173.42741,79.969055
945500000,-173.41423,79.946365
955000000,-173.47531,80.091141
964500000,-173.34048,79.843468
974000000,-173.20909,79.625946
