!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:51:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,235.65324,1379.6732
109500000,273.65005,1402.63
119000000,283.29044,1408.4152
128500000,304.02832,1410.1633
138000000,309.91867,1413.0128
147500000,478.04092,1425.1312
157000000,286.46295,1427.7474
166500000,326.7121,1430.2966
176000000,326.62128,1434.38
185500000,327.31244,1431.1163
195000000,326.79745,1437.505
204500000,340.40112,1450.1285
214000000,321.01791,1467.1598
223500000,319.27127,1486.092
233000000,318.86731,1508.6317
242500000,323.05118,1522.594
252000000,328.47104,1527.7551
261500000,329.23373,1531.2842
271000000,327.55212,1526.866
280500000,323.83295,1520.7412
290000000,322.48282,1517.5059
299500000,319.68106,1523.9122
309000000,312.83636,1525.6158
318500000,322.07449,1519.6378
328000000,355.79562,1516.5132
337500000,331.82318,1528.8375
347000000,387.81427,1542.2444
356500000,405.11432,1522.9694
366000000,385.82184,1521.9944
375500000,325.94421,1521.719
385000000,283.59326,1533.9679
394500000,288.35773,1546.2133
404000000,296.18265,1563.5359
413500000,280.35226,1587.8861
423000000,302.86264,1612.2563
432500000,319.63019,1624.5881
442000000,330.50104,1633.6589
451500000,332.70001,1640.7902
461000000,366.21851,1637.4911
470500000,355.11252,1634.1389
480000000,345.32471,1629.0339
489500000,344.57294,1622.3418
499000000,336.40045,1615.6162
508500000,324.23727,1618.2902
518000000,324.92651,1622.1162
527500000,333.21356,1626.7411
537000000,323.44836,1633.6652
546500000,332.53879,1640.6313
556000000,330.83005,1661.6575
565500000,328.12579,1690.8878
575000000,329.77313,1720.1378
584500000,331.14734,1751.7628
594000000,327.99646,1783.406
603500000,336.42047,1800.8688
613000000,342.72479,1793.9938
622500000,332.0079,1787.1162
632000000,332.49783,1785.531
641500000,332.0162,1785.8696
651000000,325.63095,1785.1011
660500000,318.08551,1774.8696
670000000,318.3909,1764.6378
679500000,314.25458,1751.7826
689000000,303.43637,1735.9951
698500000,312.81763,1720.1635
708000000,315.39346,1707.1635
717500000,318.59753,1694.724
727000000,329.5412,1685.1378
736500000,357.40106,1686.4972
746000000,353.91565,1687.849
755500000,335.21661,1700.4646
765000000,349.60745,1711.8833
774500000,353.8154,1723.347
784000000,347.06564,1734.7628
793500000,331.00659,1747.4719
803000000,361.57797,1765.2587
812500000,371.39774,1783.0941
822000000,360.74667,1800.8837
831500000,335.93909,1818.7178
841000000,326.18115,1829.1361
850500000,321.27026,1837.8511
860000000,318.94113,1846.5111
869500000,320.54318,1855.2261
879000000,319.48489,1859.9692
888500000,310.72256,1859.2445
898000000,309.17404,1858.5134
907500000,309.62805,1857.8451
917000000,318.9809,1857.1604
926500000,325.98166,1858.5297
936000000,329.28314,1859.8861
945500000,329.39444,1861.2439
955000000,328.78729,1862.6162
964500000,334.54657,1873.5341
974000000,344.66098,1889.7242
983500000,345.51923,1905.8663
993000000,338.71005,1922.0087
1002500000,325.44485,1939.7826
1012000000,317.40494,1962.2244
1021500000,313.42722,1984.6165
1031000000,314.15109,2007.0083
1040500000,326.8244,2029.4021
1050000000,315.42538,2018.9076
1059500000,310.53378,2003.8535
1069000000,313.37943,1988.7562
1078500000,326.39221,1973.6547
1088000000,333.31644,1959.1312
1097500000,338.31888,1945.1372
1107000000,344.61523,1931.1558
1116500000,342.42062,1917.1591
1126000000,334.80295,1904.2202
1135500000,361.57718,1899.5341
1145000000,374.38583,1894.9059
1154500000,367.16125,1890.281
1164000000,342.97144,1885.6385
1173500000,327.9874,1911.4091
1183000000,315.43707,1949.101
1192500000,309.09738,1986.7438
1202000000,320.41428,2024.3882
1211500000,329.56949,2059.9736
1221000000,315.14951,2091.2764
1230500000,305.47021,2122.6284
1240000000,317.68503,2153.9946
1249500000,348.52084,2185.2827
1259000000,334.92789,2181.4812
1268500000,326.19269,2175.6584
1278000000,322.33704,2169.8682
1287500000,330.88104,2164.0933
1297000000,345.77536,2150.4138
1306500000,353.879,2130.6621
1316000000,357.41086,2110.9045
1325500000,351.73569,2091.1392
1335000000,338.02542,2077.5002
1344500000,342.53061,2092.5117
1354000000,338.15756,2107.5337
1363500000,339.61417,2122.6013
1373000000,334.13123,2137.6216
