!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:51:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1615.3411,0.51254231
109500000,1676.2831,0.38559818
119000000,1691.7079,0.36153439
128500000,1714.1881,0.40004772
138000000,1722.939,0.49951899
147500000,1903.1765,0.44518986
157000000,1714.2052,0.49732241
166500000,1757.0198,0.49035847
176000000,1760.9963,0.49240384
185500000,1758.4213,0.48482752
195000000,1764.2944,0.47085434
204500000,1790.5232,0.44879463
214000000,1788.1805,0.42038849
223500000,1805.3511,0.39594486
233000000,1827.4968,0.37985355
242500000,1845.6368,0.36736998
252000000,1856.2253,0.35671192
261500000,1860.5234,0.34596974
271000000,1854.4098,0.336638
280500000,1844.5687,0.32998776
290000000,1839.9882,0.32739007
299500000,1843.5997,0.3310034
309000000,1838.4337,0.34654719
318500000,1841.7242,0.36779049
328000000,1872.3201,0.38180327
337500000,1860.6429,0.37377709
347000000,1930.0553,0.29745799
356500000,1928.0779,0.33253956
366000000,1907.8114,0.32669154
375500000,1847.6558,0.32069793
385000000,1817.5492,0.31209147
394500000,1834.5588,0.30348501
404000000,1859.7256,0.30173081
413500000,1868.2513,0.30941555
423000000,1915.1168,0.31708983
432500000,1944.197,0.3293649
442000000,1964.1727,0.34286278
451500000,1973.5099,0.35439852
461000000,2003.6989,0.35548967
470500000,1989.2676,0.3565782
480000000,1974.3734,0.3519702
489500000,1966.9012,0.34223393
499000000,1952.0078,0.3324984
508500000,1942.5381,0.32180724
518000000,1947.0253,0.3110036
527500000,1959.9399,0.30199027
537000000,1957.1283,0.29800132
546500000,1973.1732,0.29400569
556000000,1992.491,0.29246134
565500000,2019.0317,0.29234576
575000000,2049.9209,0.2922335
584500000,2082.9285,0.29245082
594000000,2111.4087,0.29266739
603500000,2137.2808,0.29318169
613000000,2136.7068,0.29419032
622500000,2119.1118,0.2951974
632000000,2118.0369,0.2921882
641500000,2117.8887,0.28774807
651000000,2110.7202,0.28352833
660500000,2092.9565,0.28123307
670000000,2083.0474,0.27893433
679500000,2066.0435,0.27966464
689000000,2039.4238,0.28375331
698500000,2033.0044,0.28784266
708000000,2022.5828,0.29507533
717500000,2013.3157,0.30289939
727000000,2014.6931,0.30905238
736500000,2043.895,0.30893263
746000000,2041.7529,0.30881956
755500000,2035.655,0.36565426
765000000,2061.4978,0.38220373
774500000,2077.1509,0.39875096
784000000,2081.8491,0.4153069
793500000,2078.4629,0.42842963
803000000,2126.843,0.42721871
812500000,2154.4741,0.4260191
822000000,2161.6323,0.42481264
831500000,2154.6353,0.42361233
841000000,2155.3269,0.41919738
850500000,2159.1069,0.41402987
860000000,2165.4656,0.40884712
869500000,2175.7593,0.4036797
879000000,2179.4338,0.4013699
888500000,2169.9624,0.40301344
898000000,2167.7039,0.40465486
907500000,2167.4517,0.40628844
917000000,2176.1699,0.40795839
926500000,2184.5203,0.41045442
936000000,2189.1792,0.41294247
945500000,2190.6396,0.41543782
955000000,2191.3872,0.41793606
964500000,2208.1042,0.41496938
974000000,2234.3701,0.40904954
983500000,2251.3784,0.40313002
993000000,2260.7217,0.39720958
1002500000,2265.2512,0.39078617
1012000000,2279.613,0.38297322
1021500000,2298.033,0.3751556
1031000000,2321.1611,0.36734185
1040500000,2356.2375,0.35952902
1050000000,2334.3572,0.36126462
1059500000,2314.3745,0.36432821
1069000000,2302.1367,0.36739975
1078500000,2300.0642,0.37046346
1088000000,2292.4475,0.37450427
1097500000,2283.469,0.37953955
1107000000,2275.7825,0.38457507
1116500000,2259.6133,0.3896105
1126000000,2238.9968,0.39358792
1135500000,2261.1338,0.38862106
1145000000,2269.3091,0.38366005
1154500000,2257.4468,0.37869418
1164000000,2228.6248,0.37372735
1173500000,2239.4253,0.36050558
1183000000,2264.5295,0.34405681
1192500000,2295.8403,0.32760939
1202000000,2344.8145,0.31116101
1211500000,2389.521,0.29733208
1221000000,2406.4468,0.28871682
1230500000,2428.1016,0.28010389
1240000000,2471.6582,0.27148807
1249500000,2533.8323,0.26287851
1259000000,2516.3953,0.26385149
1268500000,2501.8635,0.26535043
1278000000,2492.2034,0.26684889
1287500000,2494.9509,0.26835319
1297000000,2496.2136,0.26997826
1306500000,2484.5576,0.27170169
1316000000,2468.3308,0.27342701
1325500000,2442.8955,0.27515727
1335000000,2415.5259,0.27511945
1344500000,2435.0618,0.26682642
1354000000,2445.7214,0.25852659
1363500000,2462.2124,0.2502284
1373000000,2471.7585,0.24192744
1382500000,2474.8643,0.2353218
1392000000,2502.0391,0.2291681
1401500000,2551.9912,0.22300877
1411000000,2624.9863,0.21685684
1420500000,2667.5906,0.21432194
1430000000,2666.4019,0.2171369
1439500000,2686.0923,0.2199565
1449000000,2709.8032,0.22277725
1458500000,2743.738,0.22570693
1468000000,2710.0049,0.23493882
1477500000,2679.1418,0.24417049
1487000000,2636.384,0.25340286
1496500000,2571.2422,0.2626355
1506000000,2534.3484,0.45401272
1515500000,2542.7432,0.44738978
1525000000,2528.8584,0.4407669
1534500000,2511.8372,0.43414176
1544000000,2495.5232,0.42751923
1553500000,2482.3608,0.42089626
1563000000,2473.3914,0.41426912
1572500000,2481.8938,0.40713814
1582000000,2518.5288,0.39941719
1591500000,2564.2813,0.39169511
1601000000,2616.1125,0.38397375
