!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:24:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,234.77713,1379.6732
109500000,271.48517,1402.63
119000000,283.68185,1408.4152
128500000,302.63208,1410.1633
138000000,310.83041,1413.0128
147500000,478.45569,1425.1312
157000000,286.63577,1427.7474
166500000,325.09155,1430.2966
176000000,326.34711,1434.38
185500000,327.36438,1431.1163
195000000,324.88293,1437.505
204500000,337.59146,1450.1285
214000000,320.5358,1467.1598
223500000,319.28833,1486.092
233000000,317.92523,1508.6317
242500000,323.58563,1522.594
252000000,328.69904,1527.7551
261500000,326.70474,1531.2842
271000000,326.98929,1526.866
280500000,323.58423,1520.7412
290000000,321.69379,1517.5059
299500000,320.24142,1523.9122
309000000,309.60785,1525.6158
318500000,323.20981,1519.6378
328000000,355.26947,1516.5132
337500000,331.19308,1528.8375
347000000,386.83307,1542.2444
356500000,403.18793,1522.9694
366000000,386.5712,1521.9944
375500000,324.8175,1521.719
385000000,284.11258,1533.9679
394500000,288.9707,1546.2133
404000000,294.5687,1563.5359
413500000,281.00555,1587.8861
423000000,300.2442,1612.2563
432500000,317.64801,1624.5881
442000000,329.3248,1633.6589
451500000,331.73126,1640.7902
461000000,364.31946,1637.4911
470500000,354.8829,1634.1389
480000000,344.74387,1629.0339
489500000,344.19461,1622.3418
499000000,334.11459,1615.6162
508500000,322.75522,1618.2902
518000000,322.28732,1622.1162
527500000,330.31497,1626.7411
537000000,323.4191,1633.6652
546500000,333.55054,1640.6313
556000000,329.30124,1661.6575
565500000,325.86508,1690.8878
575000000,328.05862,1720.1378
584500000,328.01129,1751.7628
594000000,327.48294,1783.406
603500000,331.75735,1800.8688
613000000,341.5787,1793.9938
622500000,329.6188,1787.1162
632000000,331.02493,1785.531
641500000,332.21255,1785.8696
651000000,326.68158,1785.1011
660500000,318.69714,1774.8696
670000000,317.63617,1764.6378
679500000,314.75256,1751.7826
689000000,303.50723,1735.9951
698500000,309.88446,1720.1635
708000000,311.92078,1707.1635
717500000,319.76572,1694.724
727000000,330.29398,1685.1378
736500000,356.98703,1686.4972
746000000,352.46338,1687.849
755500000,335.77194,1700.4646
765000000,348.15695,1711.8833
774500000,350.77319,1723.347
784000000,343.29694,1734.7628
793500000,333.6662,1747.4719
803000000,360.71402,1765.2587
812500000,370.36682,1783.0941
822000000,360.63055,1800.8837
831500000,333.53079,1818.7178
841000000,324.93423,1829.1361
850500000,319.8609,1837.8511
860000000,316.67438,1846.5111
869500000,318.54559,1855.2261
879000000,316.5112,1859.9692
888500000,309.86786,1859.2445
898000000,306.7283,1858.5134
907500000,308.02713,1857.8451
917000000,317.31165,1857.1604
926500000,323.1792,1858.5297
936000000,325.35559,1859.8861
945500000,327.94202,1861.2439
955000000,324.22952,1862.6162
964500000,334.23132,1873.5341
974000000,344.17123,1889.7242
983500000,340.83765,1905.8663
993000000,336.01447,1922.0087
1002500000,323.02252,1939.7826
1012000000,313.43539,1962.2244
1021500000,310.88992,1984.6165
1031000000,312.52014,2007.0083
1040500000,323.06943,2029.4021
1050000000,313.90131,2018.9076
1059500000,310.79456,2003.8535
1069000000,313.24823,1988.7562
1078500000,326.55426,1973.6547
1088000000,331.70483,1959.1312
1097500000,336.93723,1945.1372
1107000000,342.10464,1931.1558
1116500000,341.6893,1917.1591
1126000000,335.40295,1904.2202
1135500000,359.95801,1899.5341
1145000000,374.8674,1894.9059
1154500000,364.65192,1890.281
1164000000,341.39758,1885.6385
1173500000,326.52042,1911.4091
1183000000,316.37753,1949.101
1192500000,306.48929,1986.7438
1202000000,317.05988,2024.3882
1211500000,328.66446,2059.9736
1221000000,311.6246,2091.2764
1230500000,306.39682,2122.6284
1240000000,314.30972,2153.9946
1249500000,348.33585,2185.2827
1259000000,335.1955,2181.4812
1268500000,322.5773,2175.6584
1278000000,322.63058,2169.8682
1287500000,328.10474,2164.0933
1297000000,344.00946,2150.4138
1306500000,351.04135,2130.6621
1316000000,354.44138,2110.9045
1325500000,349.46127,2091.1392
1335000000,336.7739,2077.5002
1344500000,340.67136,2092.5117
1354000000,337.60858,2107.5337
1363500000,336.72998,2122.6013
1373000000,331.37982,2137.6216
1382500000,289.02585,2182.0334
1392000000,267.53766,2234.3494
1401500000,267.27069,2286.6111
1411000000,281.87149,2338.8938
1420500000,289.81662,2376.0071
1430000000,275.12869,2390.7322
1439500000,281.51779,2405.4043
1449000000,291.24963,2420.1035
1458500000,310.89346,2433.7571
1468000000,318.91055,2389.0259
1477500000,332.47989,2344.28
1487000000,333.82135,2299.5884
1496500000,316.71213,2254.8579
1506000000,350.88666,2183.0115
1515500000,360.4733,2177.2507
1525000000,355.02353,2171.4946
1534500000,342.66064,2165.7214
1544000000,337.17236,2159.9075
1553500000,327.52518,2154.1321
1563000000,323.35382,2148.3647
1572500000,308.92145,2172.092
1582000000,286.2037,2231.2263
1591500000,271.4801,2290.3384
1601000000,262.5816,2349.4771
1610500000,274.64624,2408.5847
1620000000,289.95074,2467.7268
1629500000,313.38626,2526.781
1639000000,327.12573,2560.6572
1648500000,330.3826,2528.6567
1658000000,336.93158,2496.6707
1667500000,341.4357,2464.6707
1677000000,335.33578,2432.6707
1686500000,337.62329,2400.6753
1696000000,342.79712,2368.6709
1705500000,341.02051,2341.2322
1715000000,334.81946,2354.2813
1724500000,334.3049,2367.3965
1734000000,332.66345,2380.4849
1743500000,326.9501,2393.5313
1753000000,322.71893,2406.6465
1762500000,330.34799,2419.7444
1772000000,343.20303,2432.7813
1781500000,321.07376,2475.7756
1791000000,306.21011,2521.2571
1800500000,309.19925,2566.7415
1810000000,315.48328,2612.2295
1819500000,326.19009,2657.6621
1829000000,323.99402,2703.0969
1838500000,325.14456,2748.5803
1848000000,357.45053,2716.76
1857500000,388.77573,2658.6621
1867000000,399.60571,2600.5303
1876500000,407.45572,2542.4766
1886000000,404.49469,2484.3518
1895500000,383.76569,2426.2571
1905000000,356.51923,2368.1541
1914500000,341.53568,2357.2595
1924000000,321.90485,2382.0913
1933500000,302.17123,2406.9011
1943000000,295.19162,2431.7349
1952500000,300.67404,2456.5129
1962000000,319.38382,2481.3518
1971500000,334.15729,2506.1707
1981000000,349.66333,2533.8303
1990500000,359.31128,2565.9253
2000000000,364.91171,2598.0071
END

