!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 15:17:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-103.9107,23.126671
109500000,-102.78162,-9.1011314
119000000,-103.54563,68.929359
128500000,-103.94423,148.1626
138000000,-104.5482,-152.70187
147500000,-102.10342,-127.03951
157000000,-102.87181,-67.025452
166500000,-103.19601,32.406979
176000000,-103.80046,-148.88864
185500000,-104.24189,-26.607449
195000000,-104.48407,-133.71603
204500000,-105.1488,21.205111
214000000,-102.12106,112.33953
223500000,-102.72784,94.066017
233000000,-102.88046,-179.51414
242500000,-102.96352,-113.13771
252000000,-98.333427,42.678608
261500000,-98.765839,67.963211
271000000,-98.933281,32.702572
280500000,-99.302116,121.11576
290000000,-99.340836,136.60213
299500000,-99.815369,-157.45372
309000000,-100.03816,4.9363747
318500000,-100.03642,85.004517
328000000,-100.90175,108.40202
337500000,-100.81357,-15.932173
347000000,-101.05726,88.037277
356500000,-101.15274,-155.47838
366000000,-101.2769,59.377159
375500000,-101.47553,29.446209
385000000,-101.66301,115.66524
394500000,-101.7799,160.20372
404000000,-102.05961,67.616295
413500000,-102.16433,-79.85318
423000000,-102.20558,0.66117609
432500000,-102.49026,-55.534824
442000000,-102.75992,30.564909
451500000,-102.68032,65.768578
461000000,-103.06797,-75.799423
470500000,-102.93277,3.7130489
480000000,-103.46264,86.620857
489500000,-103.28124,119.25298
499000000,-103.50368,154.46188
508500000,-103.19682,84.74836
518000000,-102.99794,132.64902
527500000,-102.94958,6.9736943
537000000,-103.43904,32.77161
546500000,-103.31803,-79.792099
556000000,-103.24387,89.723198
565500000,-103.44672,26.390318
575000000,-103.71502,-136.87704
584500000,-103.6367,101.62148
594000000,-103.9312,15.031489
603500000,-103.99418,-143.03473
613000000,-103.93694,-58.466278
622500000,-103.85674,55.16502
632000000,-103.17831,-161.37323
641500000,-103.26549,-142.88907
651000000,-103.66858,-146.96507
660500000,-103.41492,-175.47066
670000000,-103.32838,-16.961153
679500000,-103.81837,153.41092
689000000,-103.89896,26.458771
698500000,-103.60247,-130.02368
708000000,-103.85681,-66.696083
717500000,-103.84606,-126.64313
727000000,-103.94584,-76.183151
736500000,-104.12038,-107.73291
746000000,-104.03794,-48.128113
755500000,-104.11713,78.646278
765000000,-104.17245,-43.858257
774500000,-104.15951,126.30434
784000000,-104.27329,49.509083
793500000,-104.42027,-85.60392
803000000,-104.4367,-16.051382
