!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:23:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1615.5441,0.51254231
109500000,1674.7858,0.38559818
119000000,1692.9016,0.36153439
128500000,1713.8561,0.40004772
138000000,1722.8167,0.49951899
147500000,1902.3325,0.44518986
157000000,1713.8982,0.49732241
166500000,1757.4713,0.49035847
176000000,1760.3185,0.49240384
185500000,1760.0464,0.48482752
195000000,1762.625,0.47085434
204500000,1790.3665,0.44879463
214000000,1786.3235,0.42038849
223500000,1805.7361,0.39594486
233000000,1827.6633,0.37985355
242500000,1846.5037,0.36736998
252000000,1855.9091,0.35671192
261500000,1859.9188,0.34596974
271000000,1855.1125,0.336638
280500000,1844.6064,0.32998776
290000000,1839.1428,0.32739007
299500000,1843.9207,0.3310034
309000000,1837.7753,0.34654719
318500000,1844.402,0.36779049
328000000,1871.2736,0.38180327
337500000,1860.0963,0.37377709
347000000,1928.6345,0.29745799
356500000,1927.2251,0.33253956
366000000,1910.0139,0.32669154
375500000,1847.0632,0.32069793
385000000,1820.8416,0.31209147
394500000,1834.4359,0.30348501
404000000,1858.0341,0.30173081
413500000,1869.0193,0.30941555
423000000,1914.7046,0.31708983
432500000,1945.5741,0.3293649
442000000,1965.4851,0.34286278
451500000,1972.8842,0.35439852
461000000,2004.1488,0.35548967
470500000,1990.1298,0.3565782
480000000,1975.6381,0.3519702
489500000,1968.1854,0.34223393
499000000,1952.2887,0.3324984
508500000,1942.328,0.32180724
518000000,1946.3047,0.3110036
527500000,1960.5784,0.30199027
537000000,1958.1484,0.29800132
546500000,1974.3595,0.29400569
556000000,1994.626,0.29246134
565500000,2018.561,0.29234576
575000000,2051.009,0.2922335
584500000,2084.168,0.29245082
594000000,2113.2031,0.29266739
603500000,2134.8689,0.29318169
613000000,2136.4116,0.29419032
622500000,2117.9673,0.2951974
632000000,2117.6892,0.2921882
641500000,2118.4626,0.28774807
651000000,2112.5752,0.28352833
660500000,2093.7017,0.28123307
670000000,2085.7822,0.27893433
679500000,2068.5364,0.27966464
689000000,2040.963,0.28375331
698500000,2033.1306,0.28784266
708000000,2022.4456,0.29507533
717500000,2016.6726,0.30289939
