!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:59:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.41772,-73.124786
109500000,-103.08771,-29.596043
119000000,-103.85115,-140.18434
128500000,-104.36788,-25.660658
138000000,-104.9541,11.819377
147500000,-101.83961,120.91031
157000000,-102.70113,131.00175
166500000,-103.39734,140.38286
176000000,-103.20583,-149.4588
185500000,-104.17018,93.542366
195000000,-104.45531,125.90418
204500000,-104.71805,130.30922
214000000,-102.50757,126.03538
223500000,-103.09354,178.05042
233000000,-103.07836,14.418287
242500000,-103.80388,-18.196913
252000000,-98.840355,32.469585
261500000,-99.201363,-153.62338
271000000,-99.287682,-159.12846
280500000,-99.895302,-163.99068
290000000,-99.913559,149.02341
299500000,-100.3049,-130.2532
309000000,-100.33549,28.403313
318500000,-100.72552,-112.64613
328000000,-100.98299,11.916168
337500000,-100.95113,-52.010662
347000000,-101.31876,38.541855
356500000,-101.64687,-41.575745
366000000,-101.85101,21.037861
375500000,-101.96456,22.800798
385000000,-101.86277,-128.40588
394500000,-102.2645,86.072617
404000000,-101.50053,32.594501
413500000,-101.98013,-145.30597
423000000,-101.7878,61.940193
432500000,-102.04403,160.24942
442000000,-102.39594,-84.942169
451500000,-102.35194,-2.2305624
461000000,-102.65546,100.80635
470500000,-103.04755,65.805061
480000000,-102.73988,132.5619
489500000,-103.01805,-91.758461
499000000,-103.2868,56.020821
508500000,-103.43199,-112.877
518000000,-103.32177,37.88065
527500000,-103.54495,157.06386
537000000,-103.67324,139.11081
546500000,-103.9177,117.82529
556000000,-103.69122,-133.14093
565500000,-104.08192,-173.42384
575000000,-104.10786,143.60007
584500000,-104.32081,-145.70718
594000000,-104.30151,82.808731
603500000,-104.33142,-152.50009
613000000,-104.48748,39.451771
622500000,-104.50761,37.907368
632000000,-103.63773,2.4853737
641500000,-103.96543,-55.184143
651000000,-103.57637,-171.967
660500000,-103.72439,135.87091
670000000,-104.13264,-70.247833
679500000,-103.85919,26.005764
689000000,-104.07584,163.31523
