!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 18:59:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.51137,0.018158196
109500000,-166.35558,0.01317948
119000000,-166.30885,0.012224784
128500000,-166.25751,0.01336806
138000000,-166.23447,0.01660368
147500000,-165.80269,0.013397386
157000000,-166.26219,0.016636556
166500000,-166.15208,0.015992973
176000000,-166.14421,0.01603057
185500000,-166.14676,0.015793156
195000000,-166.1387,0.015309591
204500000,-166.07631,0.014384177
214000000,-166.08034,0.013486231
223500000,-166.0349,0.012569848
233000000,-165.98466,0.011920343
242500000,-165.93916,0.011408442
252000000,-165.91476,0.011015405
261500000,-165.90666,0.010663752
271000000,-165.91557,0.010397447
280500000,-165.93958,0.010248547
290000000,-165.95018,0.010192703
299500000,-165.94269,0.010287454
309000000,-165.95705,0.010806206
318500000,-165.94263,0.011430613
328000000,-165.87282,0.011676921
337500000,-165.89674,0.011494578
347000000,-165.74478,0.0088330302
356500000,-165.74924,0.0098849265
366000000,-165.78532,0.0097921165
375500000,-165.92841,0.0099344216
385000000,-165.99231,0.009811121
394500000,-165.95239,0.0094532771
404000000,-165.89813,0.0092819631
413500000,-165.87639,0.0094708083
423000000,-165.77789,0.0094880834
432500000,-165.70467,0.0096905949
442000000,-165.66185,0.0099887503
451500000,-165.64388,0.010282196
461000000,-165.57637,0.010154773
470500000,-165.6069,0.010257724
480000000,-165.6382,0.010198408
489500000,-165.65944,0.0099649141
499000000,-165.69121,0.0097525241
508500000,-165.71318,0.0094868224
518000000,-165.70578,0.0091527188
527500000,-165.67929,0.0088334074
537000000,-165.67468,0.0087074852
546500000,-165.64243,0.008527169
556000000,-165.59976,0.008399453
565500000,-165.54689,0.0082945284
575000000,-165.47443,0.0081541669
584500000,-165.40785,0.0080360798
594000000,-165.3452,0.0079268627
603500000,-165.30005,0.0078586638
613000000,-165.29842,0.0078827152
622500000,-165.33617,0.0079787672
632000000,-165.33224,0.0078903055
641500000,-165.33116,0.0077684596
651000000,-165.34921,0.0076864143
660500000,-165.3846,0.007686581
670000000,-165.40103,0.0076526375
679500000,-165.43469,0.0077323779
689000000,-165.49449,0.0079542119
698500000,-165.5137,0.0081045916
708000000,-165.53328,0.0083457772
717500000,-165.54979,0.0085997181
727000000,-165.54785,0.0087704752
736500000,-165.48778,0.008646654
746000000,-165.49184,0.0086515807
755500000,-165.50528,0.010275559
765000000,-165.45216,0.010610047
774500000,-165.41869,0.010984406
784000000,-165.41043,0.011418753
793500000,-165.41063,0.011780107
803000000,-165.31795,0.011498763
812500000,-165.25845,0.011310456
822000000,-165.24261,0.011237395
831500000,-165.259,0.011247993
841000000,-165.25734,0.011126501
850500000,-165.24693,0.010963034
860000000,-165.23416,0.010794025
869500000,-165.21429,0.01060895
879000000,-165.20804,0.010533078
888500000,-165.22765,0.010624065
898000000,-165.23372,0.010682271
907500000,-165.23096,0.010718562
917000000,-165.2146,0.010722145
926500000,-165.20206,0.010756646
936000000,-165.18793,0.010786685
945500000,-165.18559,0.010846044
955000000,-165.1859,0.010912023
964500000,-165.14668,0.010737194
974000000,-165.09821,0.010466514
983500000,-165.0697,0.010247585
993000000,-165.04897,0.010049001
1002500000,-165.03609,0.0098572178
1012000000,-165.01419,0.0096115563
1021500000,-164.98112,0.0093439408
1031000000,-164.93199,0.0090463879
1040500000,-164.86993,0.0087283766
1050000000,-164.90784,0.0088473996
1059500000,-164.94484,0.0089987554
1069000000,-164.96562,0.0091181686
1078500000,-164.96992,0.0092033036
1088000000,-164.98727,0.009340927
1097500000,-165.00572,0.0095068337
1107000000,-165.01758,0.0096592782
1116500000,-165.04977,0.0098585719
1126000000,-165.08604,0.010042741
1135500000,-165.04608,0.0098252036
1145000000,-165.0284,0.0096603427
1154500000,-165.05223,0.0095877964
1164000000,-165.10597,0.0095798476
1173500000,-165.08536,0.0091971587
1183000000,-165.03857,0.0086834962
1192500000,-164.98286,0.0081629921
1202000000,-164.89113,0.007591099
1211500000,-164.8049,0.0071111135
1221000000,-164.77896,0.0068639689
1230500000,-164.73622,0.0065939692
1240000000,-164.6649,0.0062870597
1249500000,-164.55315,0.0059330156
1259000000,-164.58284,0.005995831
1268500000,-164.60658,0.0060629663
1278000000,-164.62592,0.0061244047
1287500000,-164.61934,0.0061496054
1297000000,-164.61618,0.0061823525
1306500000,-164.63863,0.0062540583
1316000000,-164.66847,0.0063371556
1325500000,-164.70714,0.0064342925
1335000000,-164.76373,0.0065177977
1344500000,-164.72166,0.0062603876
1354000000,-164.70108,0.0060369852
1363500000,-164.68103,0.0058162906
1373000000,-164.65891,0.0055947704
1382500000,-164.6535,0.0054352502
1392000000,-164.60747,0.0052373037
1401500000,-164.52087,0.0049959198
1411000000,-164.40732,0.0047327178
1420500000,-164.3291,0.0045939116
1430000000,-164.33067,0.0046559363
1439500000,-164.29544,0.0046782889
1449000000,-164.25769,0.0046972763
1458500000,-164.20671,0.0047035147
1468000000,-164.26205,0.0049586799
1477500000,-164.31149,0.0052125352
1487000000,-164.38449,0.0055013201
1496500000,-164.4848,0.0058349883
1506000000,-164.55847,0.010259384
1515500000,-164.54109,0.010069367
1525000000,-164.56496,0.0099749705
1534500000,-164.60049,0.0099057378
1544000000,-164.61996,0.0097984662
1553500000,-164.63959,0.0096903639
1563000000,-164.66391,0.0095913485
1572500000,-164.64665,0.0093888706
1582000000,-164.58676,0.0090846587
1591500000,-164.50272,0.0087382775
1601000000,-164.41978,0.0084040072
1610500000,-164.31206,0.0080332179
1620000000,-164.18231,0.0076367701
1629500000,-164.05862,0.0072668171
1639000000,-163.98801,0.0070730094
1648500000,-164.02927,0.0072643338
1658000000,-164.06979,0.0074574542
1667500000,-164.11771,0.0076665287
1677000000,-164.16956,0.007886338
1686500000,-164.21872,0.0081054382
1696000000,-164.26152,0.008316353
1705500000,-164.30493,0.0085182907
1715000000,-164.29189,0.0084897205
1724500000,-164.28064,0.0084649529
1734000000,-164.26234,0.0084263654
1743500000,-164.24332,0.0083867554
1753000000,-164.23325,0.0083643291
1762500000,-164.20055,0.00829875
1772000000,-164.16144,0.008221427
1781500000,-164.12241,0.0081660813
1791000000,-164.07391,0.0080951052
1800500000,-164.01001,0.0079963058
1810000000,-163.92361,0.0078577902
1819500000,-163.84729,0.0077396184
1829000000,-163.78369,0.0076455548
1838500000,-163.71788,0.0075487425
1848000000,-163.72005,0.0076680598
1857500000,-163.75786,0.0078850957
1867000000,-163.82173,0.0081539778
1876500000,-163.89404,0.0084454734
1886000000,-163.98152,0.0087753003
1895500000,-164.10204,0.0091843605
1905000000,-164.23802,0.0096440995
1914500000,-164.28427,0.0097327875
1924000000,-164.27362,0.0095563121
1933500000,-164.26309,0.009380592
1943000000,-164.23941,0.0091781234
1952500000,-164.18889,0.0089220153
1962000000,-164.12611,0.0086461324
1971500000,-164.05856,0.0083673801
1981000000,-163.99309,0.0081226686
1990500000,-163.94019,0.0079429802
2000000000,-163.87859,0.0077509214
END

