!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 20:40:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1615.5789,0.51254231
109500000,1675.4847,0.38559818
119000000,1692.955,0.36153439
128500000,1714.1481,0.40004772
138000000,1723.5638,0.49951899
147500000,1903.0222,0.44518986
157000000,1715.6519,0.49732241
166500000,1754.6333,0.49035847
176000000,1761.0367,0.49240384
185500000,1758.9935,0.48482752
195000000,1762.4554,0.47085434
204500000,1790.6938,0.44879463
214000000,1787.2684,0.42038849
223500000,1806.035,0.39594486
233000000,1826.4088,0.37985355
242500000,1848.0087,0.36736998
252000000,1854.0645,0.35671192
261500000,1858.078,0.34596974
271000000,1853.4736,0.336638
280500000,1844.4534,0.32998776
290000000,1839.078,0.32739007
299500000,1843.3658,0.3310034
309000000,1836.1228,0.34654719
318500000,1843.752,0.36779049
328000000,1870.9108,0.38180327
337500000,1858.2806,0.37377709
347000000,1929.2563,0.29745799
356500000,1926.399,0.33253956
366000000,1908.8392,0.32669154
375500000,1847.7235,0.32069793
385000000,1818.958,0.31209147
394500000,1833.9558,0.30348501
404000000,1857.7312,0.30173081
413500000,1868.9103,0.30941555
423000000,1912.3986,0.31708983
432500000,1943.8463,0.3293649
442000000,1962.2725,0.34286278
451500000,1972.09,0.35439852
461000000,2003.0502,0.35548967
470500000,1989.4464,0.3565782
480000000,1974.5377,0.3519702
489500000,1965.7532,0.34223393
499000000,1949.0188,0.3324984
508500000,1939.8306,0.32180724
518000000,1945.8844,0.3110036
527500000,1956.4347,0.30199027
537000000,1955.8533,0.29800132
546500000,1971.7129,0.29400569
556000000,1989.7051,0.29246134
565500000,2015.8483,0.29234576
575000000,2047.804,0.2922335
584500000,2081.5791,0.29245082
594000000,2111.6409,0.29266739
603500000,2133.7085,0.29318169
613000000,2134.05,0.29419032
622500000,2116.7571,0.2951974
632000000,2115.4177,0.2921882
641500000,2117.6768,0.28774807
651000000,2110.5757,0.28352833
660500000,2093.1438,0.28123307
670000000,2081.4683,0.27893433
679500000,2065.0093,0.27966464
689000000,2038.5696,0.28375331
698500000,2028.7683,0.28784266
708000000,2018.1621,0.29507533
717500000,2012.9202,0.30289939
727000000,2014.8386,0.30905238
736500000,2042.4869,0.30893263
746000000,2040.8481,0.30881956
755500000,2033.6219,0.36565426
765000000,2057.7847,0.38220373
774500000,2074.4482,0.39875096
784000000,2077.4309,0.4153069
793500000,2078.2368,0.42842963
803000000,2124.9758,0.42721871
812500000,2153.5046,0.4260191
822000000,2161.1548,0.42481264
831500000,2151.6919,0.42361233
841000000,2151.9282,0.41919738
850500000,2157.719,0.41402987
860000000,2164.8777,0.40884712
869500000,2171.6011,0.4036797
879000000,2175.5508,0.4013699
888500000,2166.9045,0.40301344
898000000,2162.5437,0.40465486
907500000,2165.0425,0.40628844
917000000,2174.2649,0.40795839
926500000,2180.9575,0.41045442
936000000,2186.6492,0.41294247
945500000,2188.46,0.41543782
955000000,2187.6877,0.41793606
964500000,2207.7444,0.41496938
974000000,2234.6687,0.40904954
983500000,2247.646,0.40313002
993000000,2258.0889,0.39720958
1002500000,2267.2087,0.39078617
1012000000,2276.7102,0.38297322
1021500000,2292.5693,0.3751556
1031000000,2320.1873,0.36734185
1040500000,2353.5408,0.35952902
1050000000,2333.3516,0.36126462
1059500000,2312.9336,0.36432821
1069000000,2301.7329,0.36739975
1078500000,2297.7832,0.37046346
1088000000,2292.2622,0.37450427
1097500000,2283.8276,0.37953955
1107000000,2272.1951,0.38457507
1116500000,2256.2302,0.3896105
1126000000,2237.0938,0.39358792
1135500000,2259.0642,0.38862106
1145000000,2266.2131,0.38366005
1154500000,2256.8357,0.37869418
1164000000,2226.4912,0.37372735
1173500000,2236.2283,0.36050558
1183000000,2262.0076,0.34405681
1192500000,2292.1824,0.32760939
1202000000,2342.2834,0.31116101
1211500000,2389.1567,0.29733208
1221000000,2403.0776,0.28871682
1230500000,2426.4346,0.28010389
1240000000,2467.7627,0.27148807
1249500000,2531.1372,0.26287851
1259000000,2515.1934,0.26385149
1268500000,2498.9043,0.26535043
1278000000,2490.3542,0.26684889
1287500000,2493.1978,0.26835319
1297000000,2491.4487,0.26997826
1306500000,2481.5054,0.27170169
1316000000,2465.053,0.27342701
1325500000,2440.1785,0.27515727
1335000000,2411.7488,0.27511945
1344500000,2432.2004,0.26682642
1354000000,2443.8555,0.25852659
1363500000,2456.3257,0.2502284
1373000000,2468.6326,0.24192744
1382500000,2470.8555,0.2353218
1392000000,2498.7249,0.2291681
1401500000,2550.282,0.22300877
1411000000,2620.4175,0.21685684
1420500000,2664.2271,0.21432194
1430000000,2665.4666,0.2171369
1439500000,2685.4065,0.2199565
1449000000,2709.3787,0.22277725
1458500000,2742.853,0.22570693
1468000000,2706.8755,0.23493882
1477500000,2675.7058,0.24417049
1487000000,2632.6199,0.25340286
1496500000,2569.4187,0.2626355
1506000000,2533.679,0.45401272
1515500000,2541.8884,0.44738978
1525000000,2525.8442,0.4407669
1534500000,2508.7078,0.43414176
1544000000,2496.7341,0.42751923
1553500000,2482.6372,0.42089626
1563000000,2471.8162,0.41426912
1572500000,2481.7708,0.40713814
