!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:22:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.5284,0.018229531
109500000,-166.36423,0.013205801
119000000,-166.31761,0.012249447
128500000,-166.26352,0.013386589
138000000,-166.23798,0.016617112
147500000,-165.81021,0.013420628
157000000,-166.26495,0.01664713
166500000,-166.16235,0.016030805
176000000,-166.14948,0.016050026
185500000,-166.15218,0.015812863
195000000,-166.14537,0.015333122
204500000,-166.07878,0.014392348
214000000,-166.08632,0.013504834
223500000,-166.04221,0.012591041
233000000,-165.98927,0.011932989
242500000,-165.94508,0.011424006
252000000,-165.92365,0.011037968
261500000,-165.91394,0.010681642
271000000,-165.92429,0.010418345
280500000,-165.94597,0.010263621
290000000,-165.9576,0.010210131
299500000,-165.9456,0.010294358
309000000,-165.9635,0.010822264
318500000,-165.94897,0.011447352
328000000,-165.88068,0.011698063
337500000,-165.91074,0.0115317
347000000,-165.74976,0.0088431584
356500000,-165.75175,0.0098906672
366000000,-165.791,0.0098049277
375500000,-165.93156,0.0099416738
385000000,-165.99962,0.0098276539
394500000,-165.9637,0.009477932
404000000,-165.9064,0.0092996368
413500000,-165.88358,0.0094865039
423000000,-165.78842,0.009511089
432500000,-165.71255,0.0097082071
442000000,-165.66621,0.0099987928
451500000,-165.64886,0.010294016
461000000,-165.58644,0.010178337
470500000,-165.61652,0.010280458
480000000,-165.64783,0.010221043
489500000,-165.66487,0.0099773761
499000000,-165.70178,0.0097762793
508500000,-165.71922,0.0095000034
518000000,-165.71176,0.0091653131
527500000,-165.68221,0.0088393502
537000000,-165.68788,0.0087340055
546500000,-165.65123,0.0085444581
556000000,-165.60715,0.0084137497
565500000,-165.55736,0.0083145471
575000000,-165.48149,0.008167441
584500000,-165.41393,0.0080473311
594000000,-165.35768,0.0079496615
603500000,-165.31195,0.0078802053
613000000,-165.31136,0.0079062339
622500000,-165.34258,0.0079905465
632000000,-165.34387,0.0079114428
641500000,-165.3429,0.0077894647
651000000,-165.35628,0.0076989257
660500000,-165.39569,0.0077062142
670000000,-165.40894,0.0076665767
679500000,-165.44794,0.007756006
689000000,-165.50256,0.007969005
698500000,-165.52467,0.0081251021
708000000,-165.54242,0.0083633699
717500000,-165.55504,0.0086101154
727000000,-165.55739,0.0087897554
736500000,-165.49899,0.0086689983
746000000,-165.50058,0.0086690104
755500000,-165.51929,0.010308741
765000000,-165.4615,0.010632894
774500000,-165.42953,0.011011883
784000000,-165.42281,0.011451333
793500000,-165.42081,0.011807726
803000000,-165.32066,0.011505946
812500000,-165.26727,0.011333473
822000000,-165.25278,0.011263703
831500000,-165.27351,0.011285631
841000000,-165.26434,0.011144464
850500000,-165.26276,0.011003048
860000000,-165.24434,0.010819338
869500000,-165.22949,0.010646155
879000000,-165.21989,0.010561854
888500000,-165.23654,0.010645842
898000000,-165.24638,0.010713464
907500000,-165.23958,0.010739861
917000000,-165.22443,0.010746459
926500000,-165.21159,0.010780278
936000000,-165.19751,0.010810529
945500000,-165.19437,0.010867993
955000000,-165.19655,0.010938821
964500000,-165.15999,0.010770122
974000000,-165.10782,0.010489736
983500000,-165.08142,0.010275267
993000000,-165.06123,0.010077427
1002500000,-165.04549,0.0098785702
1012000000,-165.02252,0.0096300207
1021500000,-164.99619,0.0093764067
1031000000,-164.94795,0.0090797078
1040500000,-164.88287,0.0087544173
1050000000,-164.91736,0.0088668279
1059500000,-164.95647,0.0090228841
1069000000,-164.97769,0.0091435406
1078500000,-164.97772,0.0092198662
1088000000,-164.99834,0.0093647735
1097500000,-165.01613,0.00952964
1107000000,-165.03535,0.00969892
1116500000,-165.06566,0.0098946914
1126000000,-165.1017,0.010079023
1135500000,-165.0551,0.0098456042
1145000000,-165.04134,0.0096891578
1154500000,-165.06409,0.0096140038
1164000000,-165.12117,0.0096134217
1173500000,-165.09824,0.0092244959
1183000000,-165.05042,0.008707175
1192500000,-164.99365,0.0081832828
1202000000,-164.89967,0.00760605
1211500000,-164.81729,0.0071314406
1221000000,-164.79092,0.0068828966
1230500000,-164.74867,0.0066129197
1240000000,-164.67484,0.0063014617
1249500000,-164.56326,0.0059468681
1259000000,-164.5925,0.0060091796
1268500000,-164.62115,0.0060833432
1278000000,-164.6346,0.0061366586
1287500000,-164.63243,0.0061681741
1297000000,-164.62781,0.006198924
1306500000,-164.64549,0.0062639457
1316000000,-164.67947,0.0063532465
1325500000,-164.71939,0.0064524845
1335000000,-164.77019,0.0065274988
1344500000,-164.7383,0.0062844139
1354000000,-164.71677,0.006058828
1363500000,-164.69229,0.0058313808
1373000000,-164.67334,0.0056133843
1382500000,-164.66508,0.0054497509
1392000000,-164.61993,0.005252358
1401500000,-164.53117,0.0050077788
1411000000,-164.40919,0.0047347764
1420500000,-164.33676,0.0046020215
1430000000,-164.34254,0.004668681
1439500000,-164.30731,0.0046910918
1449000000,-164.2668,0.0047071362
1458500000,-164.21681,0.0047144718
1468000000,-164.27071,0.0049685682
1477500000,-164.32442,0.0052280594
1487000000,-164.39063,0.0055090934
1496500000,-164.49875,0.0058537601
1506000000,-164.56329,0.010270781
1515500000,-164.55011,0.010090299
1525000000,-164.57582,0.0099999458
1534500000,-164.60461,0.0099151684
1544000000,-164.62926,0.009819475
1553500000,-164.65414,0.0097228959
1563000000,-164.67551,0.0096170092
1572500000,-164.65602,0.0094091557
1582000000,-164.59586,0.0091037191
1591500000,-164.51685,0.0087667694
1601000000,-164.42841,0.0084206909
1610500000,-164.32333,0.0080541056
1620000000,-164.1902,0.0076506347
1629500000,-164.06517,0.0072777709
1639000000,-163.99532,0.0070849424
1648500000,-164.04109,0.0072841393
1658000000,-164.07985,0.0074747442
1667500000,-164.1259,0.0076810024
1677000000,-164.18015,0.0079055792
1686500000,-164.22696,0.0081208376
1696000000,-164.26595,0.0083248392
1705500000,-164.31302,0.0085341651
1715000000,-164.30246,0.0085104071
1724500000,-164.2867,0.008476777
1734000000,-164.26398,0.0084295515
1743500000,-164.25545,0.0084102238
1753000000,-164.24095,0.0083791856
1762500000,-164.21272,0.0083220545
1772000000,-164.16354,0.0082254019
1781500000,-164.13283,0.0081857089
1791000000,-164.08528,0.0081163179
1800500000,-164.01361,0.008002962
1810000000,-163.93106,0.0078712609
1819500000,-163.85622,0.0077555538
1829000000,-163.7941,0.0076639033
1838500000,-163.72694,0.0075645172
1848000000,-163.72792,0.0076819635
1857500000,-163.76877,0.0079049263
1867000000,-163.83034,0.0081701428
1876500000,-163.90472,0.0084662624
1886000000,-163.99243,0.0087973662
1895500000,-164.10956,0.0092002638
1905000000,-164.24567,0.009661085
1914500000,-164.29379,0.0097541614
1924000000,-164.27745,0.0095647275
1933500000,-164.26823,0.0093916804
1943000000,-164.24536,0.0091907037
1952500000,-164.19193,0.0089282459
1962000000,-164.12753,0.0086489571
1971500000,-164.06516,0.0083800862
1981000000,-164.00363,0.008142408
1990500000,-163.94174,0.0079458235
2000000000,-163.8857,0.0077636107
END

