!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 21:58:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1615.4623,0.51254231
109500000,1673.6682,0.38559818
119000000,1692.0707,0.36153439
128500000,1713.4431,0.40004772
138000000,1723.7935,0.49951899
147500000,1902.1454,0.44518986
157000000,1714.1208,0.49732241
166500000,1755.2961,0.49035847
176000000,1760.3163,0.49240384
185500000,1759.4463,0.48482752
195000000,1763.1886,0.47085434
204500000,1789.3726,0.44879463
214000000,1786.9473,0.42038849
223500000,1803.2345,0.39594486
233000000,1827.178,0.37985355
242500000,1844.9529,0.36736998
252000000,1853.7323,0.35671192
261500000,1859.2834,0.34596974
271000000,1853.8049,0.336638
280500000,1845.6381,0.32998776
290000000,1839.9714,0.32739007
299500000,1842.979,0.3310034
309000000,1835.5219,0.34654719
318500000,1842.8698,0.36779049
328000000,1871.6156,0.38180327
337500000,1861.0051,0.37377709
347000000,1929.4094,0.29745799
356500000,1925.8378,0.33253956
366000000,1908.4119,0.32669154
375500000,1845.7849,0.32069793
385000000,1818.4723,0.31209147
394500000,1834.2135,0.30348501
404000000,1858.7494,0.30173081
413500000,1867.3986,0.30941555
423000000,1911.2262,0.31708983
432500000,1942.5605,0.3293649
442000000,1964.7097,0.34286278
451500000,1974.7612,0.35439852
461000000,2002.8903,0.35548967
470500000,1988.2694,0.3565782
480000000,1973.5731,0.3519702
489500000,1966.2968,0.34223393
499000000,1950.5361,0.3324984
508500000,1940.3672,0.32180724
518000000,1946.1082,0.3110036
527500000,1957.7499,0.30199027
537000000,1956.1061,0.29800132
546500000,1972.709,0.29400569
556000000,1991.7997,0.29246134
565500000,2017.0448,0.29234576
575000000,2049.9495,0.2922335
584500000,2082.2239,0.29245082
594000000,2109.3748,0.29266739
603500000,2134.1992,0.29318169
613000000,2133.1111,0.29419032
622500000,2116.938,0.2951974
632000000,2116.6501,0.2921882
641500000,2118.9297,0.28774807
651000000,2111.7217,0.28352833
660500000,2092.3652,0.28123307
670000000,2082.301,0.27893433
679500000,2066.4832,0.27966464
689000000,2037.3057,0.28375331
698500000,2029.6879,0.28784266
708000000,2019.7054,0.29507533
717500000,2014.1713,0.30289939
727000000,2016.4642,0.30905238
736500000,2042.2659,0.30893263
746000000,2039.7477,0.30881956
755500000,2033.7349,0.36565426
765000000,2058.7988,0.38220373
774500000,2075.1843,0.39875096
784000000,2078.2185,0.4153069
793500000,2079.5854,0.42842963
803000000,2125.9888,0.42721871
812500000,2152.667,0.4260191
822000000,2160.6648,0.42481264
831500000,2150.9048,0.42361233
841000000,2153.6975,0.41919738
850500000,2158.0686,0.41402987
860000000,2165.8867,0.40884712
869500000,2172.7537,0.4036797
879000000,2176.5146,0.4013699
888500000,2168.6833,0.40301344
898000000,2163.6606,0.40465486
907500000,2163.687,0.40628844
917000000,2173.3889,0.40795839
926500000,2181.8657,0.41045442
936000000,2185.4758,0.41294247
945500000,2188.9258,0.41543782
955000000,2187.0142,0.41793606
964500000,2208.1289,0.41496938
974000000,2231.0498,0.40904954
983500000,2247.1265,0.40313002
993000000,2256.7012,0.39720958
1002500000,2265.2012,0.39078617
1012000000,2278.6755,0.38297322
1021500000,2294.5955,0.3751556
1031000000,2319.1309,0.36734185
1040500000,2354.8059,0.35952902
1050000000,2333.6296,0.36126462
1059500000,2312.2566,0.36432821
1069000000,2302.4702,0.36739975
1078500000,2297.8311,0.37046346
1088000000,2291.8396,0.37450427
1097500000,2281.0635,0.37953955
1107000000,2274.8223,0.38457507
1116500000,2257.479,0.3896105
1126000000,2238.3909,0.39358792
1135500000,2259.5217,0.38862106
1145000000,2269.4165,0.38366005
1154500000,2257.1294,0.37869418
1164000000,2226.3679,0.37372735
1173500000,2239.939,0.36050558
1183000000,2264.2671,0.34405681
1192500000,2293.6282,0.32760939
1202000000,2343.1189,0.31116101
1211500000,2389.4905,0.29733208
1221000000,2401.8633,0.28871682
1230500000,2425.8911,0.28010389
1240000000,2468.8601,0.27148807
1249500000,2532.4255,0.26287851
1259000000,2513.9597,0.26385149
1268500000,2500.0867,0.26535043
1278000000,2493.5442,0.26684889
1287500000,2494.9568,0.26835319
1297000000,2493.7175,0.26997826
1306500000,2483.3469,0.27170169
1316000000,2464.5222,0.27342701
1325500000,2441.7976,0.27515727
1335000000,2413.0669,0.27511945
1344500000,2434.2603,0.26682642
1354000000,2446.0225,0.25852659
1363500000,2458.1064,0.2502284
1373000000,2468.8823,0.24192744
1382500000,2473.5745,0.2353218
1392000000,2500.3499,0.2291681
1401500000,2553.5271,0.22300877
1411000000,2620.2322,0.21685684
1420500000,2665.7185,0.21432194
1430000000,2666.5569,0.2171369
1439500000,2685.6304,0.2199565
1449000000,2711.0159,0.22277725
1458500000,2742.3447,0.22570693
1468000000,2710.2424,0.23493882
1477500000,2675.3516,0.24417049
1487000000,2634.6792,0.25340286
1496500000,2569.3787,0.2626355
1506000000,2533.7273,0.45401272
1515500000,2542.967,0.44738978
1525000000,2527.9507,0.4407669
1534500000,2508.0381,0.43414176
1544000000,2495.2759,0.42751923
1553500000,2484.3899,0.42089626
1563000000,2470.0686,0.41426912
1572500000,2479.2024,0.40713814
1582000000,2518.0898,0.39941719
1591500000,2563.635,0.39169511
1601000000,2614.3567,0.38397375
1610500000,2681.158,0.37625059
1620000000,2759.2729,0.3685289
1629500000,2841.1741,0.36080718
1639000000,2888.9565,0.35694209
1648500000,2858.1213,0.36313009
1658000000,2833.9895,0.36932153
1667500000,2800.0288,0.37550983
1677000000,2767.6909,0.38169211
1686500000,2740.2466,0.38788044
1696000000,2711.9431,0.39407131
1705500000,2684.603,0.39962551
1715000000,2690.3435,0.39948314
1724500000,2699.9248,0.39935085
1734000000,2714.5178,0.39920849
1743500000,2719.854,0.39907619
1753000000,2730.9854,0.39893383
1762500000,2751.3291,0.39879721
1772000000,2777.4424,0.39865452
1781500000,2797.9211,0.39954573
1791000000,2829.2549,0.40052098
1800500000,2876.467,0.4014973
1810000000,2933.3943,0.40246895
1819500000,2986.4602,0.40344509
1829000000,3028.9114,0.40442094
1838500000,3072.0789,0.40539706
1848000000,3072.4656,0.4115985
1857500000,3045.9341,0.41957936
1867000000,3000.637,0.42755279
1876500000,2948.8811,0.43552503
1886000000,2890.3792,0.44350982
1895500000,2814.8301,0.45148033
1905000000,2726.5334,0.45946535
1914500000,2694.5571,0.45877907
1924000000,2705.5625,0.45156646
1933500000,2712.0247,0.44433865
1943000000,2725.8105,0.43712592
1952500000,2758.4836,0.42989993
1962000000,2797.9177,0.42267221
1971500000,2842.4141,0.41545823
1981000000,2882.5037,0.40943322
1990500000,2921.3181,0.405283
2000000000,2963.2349,0.40113264
END

