!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 08:45:54
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_1(DB),B_1(DEG)
100000000,-103.91095,141.44525
109500000,-102.87797,-112.20084
119000000,-103.47407,-113.48684
128500000,-104.32753,168.42311
138000000,-105.02173,136.75652
147500000,-102.23117,130.10742
157000000,-102.64857,-32.205315
166500000,-103.3207,134.23239
176000000,-103.92746,-142.45039
185500000,-104.01732,144.55344
195000000,-104.44077,8.8248186
204500000,-104.74233,-128.87234
214000000,-102.49506,58.400433
223500000,-102.33109,-59.013885
233000000,-102.72997,-74.358406
242500000,-103.07524,-57.32439
252000000,-98.514153,-105.078
261500000,-98.847466,42.115208
271000000,-99.181778,-143.01335
280500000,-99.189087,-170.24968
290000000,-99.43425,21.209036
299500000,-99.761078,-23.526737
309000000,-100.14636,-147.30399
318500000,-100.17719,-152.4008
328000000,-100.52314,-6.0238314
337500000,-100.87665,56.697144
347000000,-100.77608,-176.23468
356500000,-101.06283,86.590431
366000000,-101.11932,-159.58624
375500000,-101.55697,162.52725
385000000,-101.77663,-16.506088
394500000,-101.99256,23.825104
404000000,-102.01317,-179.88797
413500000,-102.37894,-72.997879
423000000,-102.52881,134.28131
432500000,-102.30573,74.578354
442000000,-102.56642,-42.167179
451500000,-103.20259,104.48571
461000000,-102.9027,37.386616
470500000,-103.27397,-144.9397
480000000,-103.38339,30.751789
489500000,-103.24964,46.736397
499000000,-103.89591,-41.894043
508500000,-102.859,125.61012
518000000,-102.82278,169.32681
527500000,-103.16667,-39.079128
537000000,-103.42381,104.7
546500000,-103.17035,81.285385
556000000,-103.36858,76.776306
565500000,-103.39642,41.134491
575000000,-103.59937,-58.780273
584500000,-103.95711,22.817894
594000000,-103.91425,149.06067
603500000,-103.93914,60.150791
613000000,-103.95803,78.081139
622500000,-104.24458,-40.306522
632000000,-103.04581,-45.612434
641500000,-103.34646,93.605782
651000000,-103.36408,44.568161
660500000,-103.60911,37.446392
670000000,-103.58805,-92.956604
679500000,-103.76805,87.340889
689000000,-104.04187,166.10368
698500000,-103.85945,126.79077
708000000,-103.7523,34.725712
717500000,-103.8013,110.24829
727000000,-103.81937,1.7727708
736500000,-104.11969,-67.913994
746000000,-103.87798,158.07182
755500000,-104.21734,124.3203
765000000,-104.4661,28.735197
774500000,-104.69375,25.034863
784000000,-104.49969,-96.221237
