!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 12:14:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.51685,0.018181125
109500000,-166.35872,0.01318904
119000000,-166.3159,0.01224466
128500000,-166.26138,0.013379989
138000000,-166.23952,0.016623018
147500000,-165.80518,0.013405054
157000000,-166.26146,0.016633781
166500000,-166.15666,0.016009834
176000000,-166.14615,0.016037701
185500000,-166.14633,0.015791651
195000000,-166.14561,0.015333945
204500000,-166.07405,0.014376679
214000000,-166.08054,0.013486845
223500000,-166.03743,0.012577196
233000000,-165.98323,0.011916432
242500000,-165.93671,0.011402001
252000000,-165.9127,0.011010181
261500000,-165.90356,0.010656169
271000000,-165.91525,0.010396696
280500000,-165.94324,0.010257186
290000000,-165.951,0.010194646
299500000,-165.93848,0.010277467
309000000,-165.95999,0.010813545
318500000,-165.9436,0.011433201
328000000,-165.87468,0.011681903
337500000,-165.89909,0.011500823
347000000,-165.75031,0.0088442955
356500000,-165.75081,0.0098884907
366000000,-165.78201,0.0097846659
375500000,-165.92801,0.0099335341
385000000,-165.99297,0.0098126242
394500000,-165.95728,0.0094639165
404000000,-165.90375,0.0092939725
413500000,-165.8726,0.0094625708
423000000,-165.77907,0.009490639
432500000,-165.70935,0.0097010396
442000000,-165.65956,0.0099835061
451500000,-165.64519,0.010285301
461000000,-165.58232,0.0101687
470500000,-165.60548,0.010254381
480000000,-165.63681,0.010195135
489500000,-165.66333,0.0099738501
499000000,-165.69649,0.009764391
508500000,-165.71098,0.0094820186
518000000,-165.70233,0.0091454396
527500000,-165.67763,0.0088300286
537000000,-165.68069,0.0087195542
546500000,-165.64494,0.0085321013
556000000,-165.59766,0.0083953748
565500000,-165.55603,0.0083120205
575000000,-165.48184,0.0081680799
584500000,-165.4019,0.0080250716
594000000,-165.34563,0.0079276217
603500000,-165.3071,0.0078714266
613000000,-165.30194,0.0078891367
622500000,-165.32741,0.0079626981
632000000,-165.33481,0.0078949649
641500000,-165.33733,0.0077795032
651000000,-165.3437,0.0076766773
660500000,-165.37753,0.0076740822
670000000,-165.40414,0.0076581361
679500000,-165.44696,0.0077542393
689000000,-165.49664,0.0079581402
698500000,-165.50473,0.0080878735
708000000,-165.53954,0.0083578145
717500000,-165.55621,0.0086124446
727000000,-165.5471,0.0087689767
736500000,-165.48766,0.0086464016
746000000,-165.50027,0.0086683845
755500000,-165.50977,0.010286176
765000000,-165.45712,0.010622161
774500000,-165.41635,0.010978519
784000000,-165.41464,0.011429825
793500000,-165.41481,0.011791439
803000000,-165.31123,0.011481
812500000,-165.2617,0.011318956
822000000,-165.24986,0.011256169
831500000,-165.26112,0.011253482
841000000,-165.25418,0.011118403
850500000,-165.25505,0.010983549
860000000,-165.2422,0.010814032
869500000,-165.218,0.010618012
879000000,-165.21422,0.010548059
888500000,-165.23912,0.010652169
898000000,-165.244,0.01070757
907500000,-165.23346,0.01072473
917000000,-165.21643,0.010726688
926500000,-165.20857,0.010772788
936000000,-165.19533,0.010805081
945500000,-165.18657,0.010848477
955000000,-165.19214,0.010927735
964500000,-165.15616,0.010760646
974000000,-165.09602,0.010461259
983500000,-165.06587,0.010238549
993000000,-165.05251,0.010057185
1002500000,-165.04237,0.0098715024
1012000000,-165.01468,0.0096126413
1021500000,-164.97864,0.0093386052
1031000000,-164.93536,0.0090534305
1040500000,-164.87531,0.008739179
1050000000,-164.9091,0.0088499645
1059500000,-164.94562,0.0090003777
1069000000,-164.9696,0.0091265412
1078500000,-164.97853,0.0092215622
1088000000,-164.98553,0.009337212
1097500000,-165.00638,0.0095082633
1107000000,-165.02896,0.0096846279
1116500000,-165.05746,0.0098760705
1126000000,-165.0851,0.01004056
1135500000,-165.0464,0.0098259095
1145000000,-165.03902,0.0096840113
1154500000,-165.05743,0.0095992628
1164000000,-165.10303,0.0095733637
1173500000,-165.09612,0.0092199696
1183000000,-165.05328,0.0087129287
1192500000,-164.98515,0.0081672976
1202000000,-164.88496,0.0075803194
1211500000,-164.8132,0.0071247369
1221000000,-164.79172,0.0068841595
1230500000,-164.73477,0.0065917699
1240000000,-164.66008,0.0062800711
1249500000,-164.55853,0.005940381
1259000000,-164.59615,0.0060142311
1268500000,-164.61273,0.0060715484
1278000000,-164.61693,0.0061117336
1287500000,-164.62746,0.0061611119
1297000000,-164.63193,0.0062048058
1306500000,-164.63863,0.0062540406
1316000000,-164.66336,0.0063297139
1325500000,-164.72002,0.0064534009
1335000000,-164.77385,0.0065329969
1344500000,-164.71771,0.0062546926
1354000000,-164.70201,0.0060382723
1363500000,-164.69633,0.0058368174
1373000000,-164.66972,0.0056087254
1382500000,-164.64494,0.0054245433
1392000000,-164.61227,0.0052431007
1401500000,-164.53687,0.0050143441
1411000000,-164.41112,0.004736864
1420500000,-164.32199,0.0045864061
1430000000,-164.32649,0.0046514603
1439500000,-164.31227,0.0046964586
1449000000,-164.26627,0.0047065699
1458500000,-164.20563,0.0047023399
1468000000,-164.26201,0.0049586259
1477500000,-164.32715,0.005231353
1487000000,-164.38788,0.0055056051
1496500000,-164.47771,0.0058254679
1506000000,-164.55768,0.010257518
1515500000,-164.56113,0.010115901
1525000000,-164.56718,0.0099800685
1534500000,-164.58771,0.0098766116
1544000000,-164.63161,0.0098247714
1553500000,-164.66043,0.0097369887
1563000000,-164.65935,0.0095812697
1572500000,-164.63658,0.009367127
1582000000,-164.59511,0.0091021406
1591500000,-164.52531,0.008783862
1601000000,-164.41534,0.0083954046
1610500000,-164.30292,0.0080163116
1620000000,-164.19247,0.0076546394
1629500000,-164.07184,0.0072889598
1639000000,-163.98427,0.0070669372
1648500000,-164.02716,0.0072607961
1658000000,-164.08092,0.0074765775
1667500000,-164.13057,0.0076892558
1677000000,-164.16617,0.0078801885
1686500000,-164.21622,0.0081007648
1696000000,-164.27444,0.0083411401
1705500000,-164.31593,0.0085398993
1715000000,-164.29227,0.0084904665
1724500000,-164.27753,0.0084588975
1734000000,-164.27838,0.0084575303
1743500000,-164.25647,0.0084121833
1753000000,-164.22629,0.0083509507
1762500000,-164.20302,0.0083034728
1772000000,-164.17035,0.0082383091
1781500000,-164.13345,0.0081868749
1791000000,-164.07297,0.0080933608
1800500000,-164.00574,0.0079884576
1810000000,-163.9364,0.0078809541
1819500000,-163.85765,0.0077580963
1829000000,-163.78087,0.0076405862
1838500000,-163.71838,0.0075496263
1848000000,-163.72691,0.007680187
1857500000,-163.76685,0.0079014245
1867000000,-163.81589,0.0081430143
1876500000,-163.89526,0.0084478548
1886000000,-163.99796,0.0088085569
1895500000,-164.10873,0.009198539
1905000000,-164.2285,0.0096229846
1914500000,-164.28745,0.0097399149
1924000000,-164.2897,0.0095917666
1933500000,-164.26378,0.0093820458
1943000000,-164.23036,0.0091590341
1952500000,-164.19202,0.0089284414
1962000000,-164.13608,0.0086659826
1971500000,-164.05763,0.0083655873
1981000000,-163.9874,0.0081120208
1990500000,-163.93938,0.0079414938
2000000000,-163.88927,0.0077699916
END

