!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:31:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,234.72281,1379.6732
109500000,271.78854,1402.63
119000000,282.28583,1408.4152
128500000,301.61066,1410.1633
138000000,310.81952,1413.0128
147500000,477.53641,1425.1312
157000000,285.69681,1427.7474
166500000,324.5076,1430.2966
176000000,326.35886,1434.38
185500000,327.60782,1431.1163
195000000,325.19559,1437.505
204500000,339.57446,1450.1285
214000000,320.78311,1467.1598
223500000,318.15338,1486.092
233000000,320.88577,1508.6317
242500000,324.55359,1522.594
252000000,328.56821,1527.7551
261500000,329.30734,1531.2842
271000000,327.27972,1526.866
280500000,324.90518,1520.7412
290000000,322.9614,1517.5059
299500000,319.33163,1523.9122
309000000,309.88,1525.6158
318500000,322.55954,1519.6378
328000000,356.85495,1516.5132
337500000,332.67294,1528.8375
347000000,385.18576,1542.2444
356500000,404.12903,1522.9694
366000000,387.97501,1521.9944
375500000,325.54141,1521.719
385000000,286.1871,1533.9679
394500000,287.69763,1546.2133
404000000,296.05057,1563.5359
413500000,282.36038,1587.8861
423000000,299.18524,1612.2563
432500000,320.28564,1624.5881
442000000,332.66833,1633.6589
451500000,331.21603,1640.7902
461000000,360.66736,1637.4911
470500000,355.73883,1634.1389
480000000,347.23187,1629.0339
489500000,345.55859,1622.3418
499000000,334.40335,1615.6162
508500000,325.45163,1618.2902
518000000,327.1366,1622.1162
527500000,333.41705,1626.7411
537000000,321.66791,1633.6652
546500000,333.27625,1640.6313
556000000,332.33194,1661.6575
565500000,324.13968,1690.8878
575000000,327.18716,1720.1378
584500000,333.7493,1751.7628
594000000,330.17337,1783.406
603500000,329.66324,1800.8688
613000000,342.85464,1793.9938
622500000,334.21921,1787.1162
632000000,333.7587,1785.531
641500000,330.83072,1785.8696
651000000,327.98544,1785.1011
660500000,321.62366,1774.8696
670000000,318.18686,1764.6378
679500000,311.26965,1751.7826
689000000,305.48477,1735.9951
698500000,314.74319,1720.1635
708000000,314.01135,1707.1635
717500000,316.68677,1694.724
727000000,332.34604,1685.1378
736500000,360.45294,1686.4972
746000000,352.28601,1687.849
755500000,333.85001,1700.4646
765000000,350.91125,1711.8833
774500000,354.76593,1723.347
784000000,344.43997,1734.7628
793500000,329.86606,1747.4719
803000000,361.56213,1765.2587
812500000,372.21835,1783.0941
822000000,359.66354,1800.8837
831500000,335.49588,1818.7178
841000000,328.22751,1829.1361
850500000,319.70154,1837.8511
860000000,317.25476,1846.5111
869500000,321.31516,1855.2261
879000000,318.90805,1859.9692
888500000,308.6282,1859.2445
898000000,306.34064,1858.5134
907500000,311.6618,1857.8451
917000000,319.76776,1857.1604
926500000,321.42792,1858.5297
936000000,328.27386,1859.8861
945500000,331.23886,1861.2439
955000000,328.51675,1862.6162
964500000,332.08411,1873.5341
974000000,344.55969,1889.7242
983500000,344.95255,1905.8663
993000000,337.63876,1922.0087
1002500000,322.7233,1939.7826
1012000000,317.48163,1962.2244
1021500000,311.90509,1984.6165
1031000000,311.82095,2007.0083
1040500000,326.22562,2029.4021
1050000000,317.36667,2018.9076
1059500000,312.7063,2003.8535
1069000000,315.23734,1988.7562
1078500000,323.66833,1973.6547
1088000000,334.91718,1959.1312
1097500000,339.03143,1945.1372
1107000000,341.27118,1931.1558
1116500000,339.39752,1917.1591
1126000000,337.61514,1904.2202
1135500000,362.76437,1899.5341
1145000000,371.86646,1894.9059
1154500000,366.73279,1890.281
1164000000,345.62778,1885.6385
1173500000,325.686,1911.4091
1183000000,308.0162,1949.101
1192500000,309.58405,1986.7438
1202000000,322.77878,2024.3882
1211500000,324.08078,2059.9736
1221000000,307.42065,2091.2764
1230500000,306.45331,2122.6284
1240000000,319.41412,2153.9946
1249500000,346.17581,2185.2827
1259000000,331.24432,2181.4812
1268500000,325.6218,2175.6584
1278000000,326.33337,2169.8682
1287500000,328.48608,2164.0933
1297000000,338.61774,2150.4138
1306500000,356.27005,2130.6621
1316000000,360.12039,2110.9045
1325500000,346.32599,2091.1392
1335000000,331.69,2077.5002
1344500000,347.2309,2092.5117
1354000000,342.69498,2107.5337
1363500000,328.55164,2122.6013
1373000000,328.05746,2137.6216
1382500000,301.65399,2182.0334
1392000000,266.78146,2234.3494
1401500000,259.5784,2286.6111
1411000000,280.11615,2338.8938
1420500000,297.465,2376.0071
1430000000,279.11511,2390.7322
1439500000,274.13062,2405.4043
1449000000,291.33063,2420.1035
1458500000,313.02658,2433.7571
1468000000,318.98856,2389.0259
1477500000,328.41196,2344.28
1487000000,335.13681,2299.5884
1496500000,323.08035,2254.8579
1506000000,353.47742,2183.0115
1515500000,355.57645,2177.2507
1525000000,360.03241,2171.4946
1534500000,352.11993,2165.7214
1544000000,331.19785,2159.9075
1553500000,321.84872,2154.1321
1563000000,327.27557,2148.3647
1572500000,316.92493,2172.092
1582000000,279.65784,2231.2263
1591500000,264.25473,2290.3384
1601000000,269.54315,2349.4771
1610500000,279.10043,2408.5847
1620000000,287.69464,2467.7268
1629500000,309.79163,2526.781
1639000000,332.87976,2560.6572
1648500000,334.81375,2528.6567
1658000000,331.9053,2496.6707
1667500000,332.87238,2464.6707
1677000000,338.7663,2432.6707
1686500000,341.94049,2400.6753
1696000000,338.51862,2368.6709
1705500000,340.20523,2341.2322
1715000000,340.35114,2354.2813
1724500000,335.97562,2367.3965
1734000000,325.04745,2380.4849
1743500000,323.02295,2393.5313
1753000000,329.99197,2406.6465
1762500000,332.48468,2419.7444
1772000000,339.09518,2432.7813
1781500000,321.45389,2475.7756
1791000000,313.18115,2521.2571
1800500000,312.25174,2566.7415
1810000000,314.08188,2612.2295
1819500000,321.952,2657.6621
1829000000,330.92487,2703.0969
1838500000,329.77176,2748.5803
1848000000,352.73413,2716.76
1857500000,383.38184,2658.6621
1867000000,407.18085,2600.5303
1876500000,409.50336,2542.4766
1886000000,399.7695,2484.3518
1895500000,385.21014,2426.2571
1905000000,363.61951,2368.1541
1914500000,338.18936,2357.2595
1924000000,315.27637,2382.0913
1933500000,305.18668,2406.9011
1943000000,300.27255,2431.7349
1952500000,301.92758,2456.5129
1962000000,310.30649,2481.3518
1971500000,335.60413,2506.1707
1981000000,354.53223,2533.8303
1990500000,356.45944,2565.9253
2000000000,357.98279,2598.0071
END

