!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:31:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,235.14345,1379.6732
109500000,273.46918,1402.63
119000000,285.40607,1408.4152
128500000,302.72379,1410.1633
138000000,310.96765,1413.0128
147500000,477.24329,1425.1312
157000000,286.97601,1427.7474
166500000,325.45898,1430.2966
176000000,326.29675,1434.38
185500000,327.78458,1431.1163
195000000,325.62097,1437.505
204500000,340.38608,1450.1285
214000000,320.33231,1467.1598
223500000,319.52286,1486.092
233000000,318.52832,1508.6317
242500000,325.44385,1522.594
252000000,329.12814,1527.7551
261500000,328.41675,1531.2842
271000000,326.85751,1526.866
280500000,322.27304,1520.7412
290000000,321.59363,1517.5059
299500000,319.60379,1523.9122
309000000,309.68823,1525.6158
318500000,323.51642,1519.6378
328000000,358.49506,1516.5132
337500000,332.59879,1528.8375
347000000,385.72516,1542.2444
356500000,403.31927,1522.9694
366000000,389.21133,1521.9944
375500000,326.01096,1521.719
385000000,285.24741,1533.9679
394500000,290.36502,1546.2133
404000000,296.18164,1563.5359
413500000,281.91516,1587.8861
423000000,298.74564,1612.2563
432500000,320.56451,1624.5881
442000000,334.71478,1633.6589
451500000,333.3042,1640.7902
461000000,364.2774,1637.4911
470500000,356.57898,1634.1389
480000000,348.37766,1629.0339
489500000,342.59848,1622.3418
499000000,333.96606,1615.6162
508500000,325.93158,1618.2902
518000000,327.8999,1622.1162
527500000,331.04871,1626.7411
537000000,322.3602,1633.6652
546500000,335.68555,1640.6313
556000000,332.30557,1661.6575
565500000,324.4241,1690.8878
575000000,328.38739,1720.1378
584500000,334.55524,1751.7628
594000000,330.18585,1783.406
603500000,332.33856,1800.8688
613000000,340.98508,1793.9938
622500000,334.83319,1787.1162
632000000,334.55548,1785.531
641500000,329.27261,1785.8696
651000000,327.22134,1785.1011
660500000,323.97528,1774.8696
670000000,320.06015,1764.6378
679500000,312.1637,1751.7826
689000000,305.28235,1735.9951
698500000,316.75183,1720.1635
708000000,314.48444,1707.1635
717500000,316.75027,1694.724
727000000,334.68839,1685.1378
736500000,360.82559,1686.4972
746000000,352.60898,1687.849
755500000,334.94443,1700.4646
765000000,352.14853,1711.8833
774500000,357.30838,1723.347
784000000,343.69022,1734.7628
793500000,330.90164,1747.4719
803000000,364.18405,1765.2587
812500000,372.91635,1783.0941
822000000,359.69641,1800.8837
831500000,337.53384,1818.7178
841000000,330.52335,1829.1361
850500000,322.66983,1837.8511
860000000,317.62039,1846.5111
869500000,321.38742,1855.2261
879000000,321.4122,1859.9692
888500000,310.10852,1859.2445
898000000,308.10187,1858.5134
907500000,312.05161,1857.8451
917000000,321.18686,1857.1604
926500000,323.20959,1858.5297
936000000,328.39105,1859.8861
945500000,333.06677,1861.2439
955000000,328.34879,1862.6162
964500000,334.60608,1873.5341
974000000,347.04688,1889.7242
983500000,348.33829,1905.8663
993000000,340.87375,1922.0087
1002500000,324.73773,1939.7826
1012000000,318.22247,1962.2244
1021500000,315.78201,1984.6165
1031000000,313.86194,2007.0083
1040500000,325.61609,2029.4021
1050000000,317.60706,2018.9076
1059500000,312.56509,2003.8535
1069000000,316.58414,1988.7562
1078500000,326.63571,1973.6547
1088000000,338.67758,1959.1312
1097500000,342.37244,1945.1372
1107000000,342.87732,1931.1558
1116500000,341.66266,1917.1591
1126000000,340.24664,1904.2202
1135500000,364.04651,1899.5341
1145000000,373.31277,1894.9059
