!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:31:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1614.8308,0.51254231
109500000,1676.1042,0.38559818
119000000,1693.827,0.36153439
128500000,1712.8831,0.40004772
138000000,1723.9906,0.49951899
147500000,1902.3794,0.44518986
157000000,1714.7188,0.49732241
166500000,1755.7653,0.49035847
176000000,1760.6722,0.49240384
185500000,1758.8916,0.48482752
195000000,1763.119,0.47085434
204500000,1790.5078,0.44879463
214000000,1787.4967,0.42038849
223500000,1805.6047,0.39594486
233000000,1827.161,0.37985355
242500000,1848.0283,0.36736998
252000000,1856.8798,0.35671192
261500000,1859.7035,0.34596974
271000000,1853.7169,0.336638
280500000,1843.0083,0.32998776
290000000,1839.101,0.32739007
299500000,1843.5242,0.3310034
309000000,1835.2855,0.34654719
318500000,1843.1687,0.36779049
328000000,1875.0216,0.38180327
337500000,1861.4174,0.37377709
347000000,1927.9628,0.29745799
356500000,1926.2823,0.33253956
366000000,1911.2023,0.32669154
375500000,1847.7225,0.32069793
385000000,1819.2034,0.31209147
394500000,1836.5652,0.30348501
404000000,1859.7253,0.30173081
413500000,1869.8135,0.30941555
423000000,1911.0007,0.31708983
432500000,1945.1287,0.3293649
442000000,1968.3854,0.34286278
451500000,1974.1166,0.35439852
461000000,2001.7621,0.35548967
470500000,1990.735,0.3565782
480000000,1977.4247,0.3519702
489500000,1964.9268,0.34223393
499000000,1949.5741,0.3324984
508500000,1944.2325,0.32180724
518000000,1949.999,0.3110036
527500000,1957.7749,0.30199027
537000000,1956.0411,0.29800132
546500000,1976.3201,0.29400569
556000000,1993.9683,0.29246134
565500000,2015.3284,0.29234576
575000000,2048.5325,0.2922335
584500000,2086.3357,0.29245082
594000000,2113.5991,0.29266739
603500000,2133.1941,0.29318169
613000000,2134.9663,0.29419032
622500000,2121.9404,0.2951974
632000000,2120.0957,0.2921882
641500000,2115.1431,0.28774807
651000000,2112.3105,0.28352833
660500000,2098.8494,0.28123307
670000000,2084.7119,0.27893433
679500000,2063.9536,0.27966464
689000000,2041.2692,0.28375331
698500000,2036.937,0.28784266
708000000,2021.6725,0.29507533
717500000,2011.4631,0.30289939
727000000,2019.8389,0.30905238
736500000,2047.3208,0.30893263
746000000,2040.4481,0.30881956
755500000,2035.3866,0.36565426
765000000,2064.0388,0.38220373
774500000,2080.6436,0.39875096
784000000,2078.467,0.4153069
793500000,2078.3594,0.42842963
803000000,2129.4497,0.42721871
812500000,2155.9966,0.4260191
822000000,2160.582,0.42481264
831500000,2156.2322,0.42361233
841000000,2159.6682,0.41919738
850500000,2160.5076,0.41402987
860000000,2164.1423,0.40884712
869500000,2176.5996,0.4036797
879000000,2181.3601,0.4013699
888500000,2169.3486,0.40301344
898000000,2166.6316,0.40465486
907500000,2169.8762,0.40628844
917000000,2178.3762,0.40795839
926500000,2181.7495,0.41045442
936000000,2188.2874,0.41294247
945500000,2194.3086,0.41543782
955000000,2190.9473,0.41793606
964500000,2208.1641,0.41496938
974000000,2236.7549,0.40904954
983500000,2254.1934,0.40313002
993000000,2262.8828,0.39720958
1002500000,2264.5449,0.39078617
1012000000,2280.4319,0.38297322
1021500000,2300.3884,0.3751556
1031000000,2320.8718,0.36734185
1040500000,2355.0278,0.35952902
1050000000,2336.5415,0.36126462
1059500000,2316.407,0.36432821
1069000000,2305.3411,0.36739975
1078500000,2300.3057,0.37046346
1088000000,2297.8049,0.37450427
1097500000,2287.5261,0.37953955
1107000000,2274.05,0.38457507
1116500000,2258.8528,0.3896105
1126000000,2244.4404,0.39358792
1135500000,2263.6021,0.38862106
1145000000,2268.2371,0.38366005
1154500000,2260.6685,0.37869418
1164000000,2234.0464,0.37372735
1173500000,2238.7498,0.36050558
1183000000,2261.3882,0.34405681
1192500000,2297.938,0.32760939
1202000000,2349.6709,0.31116101
1211500000,2388.739,0.29733208
1221000000,2402.5735,0.28871682
1230500000,2433.0103,0.28010389
1240000000,2476.113,0.27148807
1249500000,2535.4016,0.26287851
1259000000,2513.7629,0.26385149
1268500000,2503.3271,0.26535043
1278000000,2503.0544,0.26684889
1287500000,2494.4727,0.26835319
1297000000,2491.3611,0.26997826
1306500000,2488.6213,0.27170169
1316000000,2473.7261,0.27342701
1325500000,2441.1089,0.27515727
1335000000,2411.8132,0.27511945
1344500000,2440.0999,0.26682642
1354000000,2449.9551,0.25852659
1363500000,2453.2109,0.2502284
1373000000,2470.5227,0.24192744
1382500000,2483.4092,0.2353218
1392000000,2504.7588,0.2291681
1401500000,2547.7766,0.22300877
1411000000,2621.7444,0.21685684
1420500000,2675.511,0.21432194
1430000000,2671.9382,0.2171369
1439500000,2683.082,0.2199565
1449000000,2712.3076,0.22277725
1458500000,2750.7742,0.22570693
1468000000,2714.6882,0.23493882
1477500000,2673.8003,0.24417049
1487000000,2634.8457,0.25340286
1496500000,2579.3723,0.2626355
1506000000,2535.0276,0.45401272
1515500000,2534.3167,0.44738978
1525000000,2529.3137,0.4407669
1534500000,2520.4753,0.43414176
1544000000,2493.7573,0.42751923
1553500000,2477.8298,0.42089626
1563000000,2478.1619,0.41426912
1572500000,2490.0322,0.40713814
1582000000,2515.0266,0.39941719
1591500000,2559.2454,0.39169511
1601000000,2621.26,0.38397375
1610500000,2689.6582,0.37625059
1620000000,2759.4558,0.3685289
1629500000,2837.6821,0.36080718
1639000000,2896.3611,0.35694209
1648500000,2866.3647,0.36313009
1658000000,2831.9365,0.36932153
1667500000,2800.1526,0.37550983
1677000000,2775.6282,0.38169211
1686500000,2743.8953,0.38788044
1696000000,2711.2419,0.39407131
1705500000,2681.5505,0.39962551
1715000000,2695.6829,0.39948314
1724500000,2704.9236,0.39935085
1734000000,2709.239,0.39920849
1743500000,2719.0085,0.39907619
1753000000,2739.3591,0.39893383
1762500000,2753.4211,0.39879721
1772000000,2772.4817,0.39865452
