!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 19:40:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1614.6407,0.51254231
109500000,1675.1953,0.38559818
119000000,1693.8085,0.36153439
128500000,1712.4244,0.40004772
138000000,1723.99,0.49951899
147500000,1902.3613,0.44518986
157000000,1714.1387,0.49732241
166500000,1755.7135,0.49035847
176000000,1761.8275,0.49240384
185500000,1760.8356,0.48482752
195000000,1763.3173,0.47085434
204500000,1789.9225,0.44879463
214000000,1785.5012,0.42038849
223500000,1805.9509,0.39594486
233000000,1828.5284,0.37985355
242500000,1847.1613,0.36736998
252000000,1857.6743,0.35671192
261500000,1861.3551,0.34596974
271000000,1854.9412,0.336638
280500000,1845.5962,0.32998776
290000000,1840.8607,0.32739007
299500000,1845.9786,0.3310034
309000000,1835.1212,0.34654719
318500000,1842.7516,0.36779049
328000000,1874.7123,0.38180327
337500000,1862.0438,0.37377709
347000000,1928.9363,0.29745799
356500000,1926.3308,0.33253956
366000000,1911.6375,0.32669154
375500000,1848.5121,0.32069793
385000000,1818.9387,0.31209147
394500000,1836.9939,0.30348501
404000000,1861.5078,0.30173081
413500000,1869.9219,0.30941555
423000000,1911.7717,0.31708983
432500000,1944.516,0.3293649
442000000,1967.5253,0.34286278
451500000,1972.6399,0.35439852
461000000,2001.3218,0.35548967
470500000,1992.1904,0.3565782
480000000,1976.9637,0.3519702
489500000,1967.3922,0.34223393
499000000,1950.7065,0.3324984
508500000,1944.6003,0.32180724
518000000,1947.4818,0.3110036
527500000,1957.3578,0.30199027
537000000,1955.6014,0.29800132
546500000,1976.0702,0.29400569
556000000,1994.1342,0.29246134
565500000,2014.7556,0.29234576
575000000,2048.7092,0.2922335
584500000,2086.9756,0.29245082
594000000,2114.635,0.29266739
603500000,2130.1833,0.29318169
613000000,2135.0381,0.29419032
622500000,2121.0776,0.2951974
632000000,2117.8416,0.2921882
641500000,2114.062,0.28774807
651000000,2111.1711,0.28352833
660500000,2097.3037,0.28123307
670000000,2083.6384,0.27893433
679500000,2063.5662,0.27966464
689000000,2040.4088,0.28375331
698500000,2037.3696,0.28784266
708000000,2020.2761,0.29507533
717500000,2011.333,0.30289939
727000000,2018.655,0.30905238
736500000,2046.7736,0.30893263
746000000,2039.4027,0.30881956
755500000,2035.2333,0.36565426
765000000,2063.7744,0.38220373
774500000,2078.5171,0.39875096
784000000,2080.0056,0.4153069
793500000,2077.6699,0.42842963
803000000,2130.5156,0.42721871
812500000,2152.9495,0.4260191
822000000,2161.2756,0.42481264
831500000,2155.584,0.42361233
841000000,2156.6968,0.41919738
850500000,2158.2507,0.41402987
860000000,2164.2634,0.40884712
869500000,2178.4294,0.4036797
879000000,2180.2769,0.4013699
888500000,2166.5681,0.40301344
898000000,2166.1885,0.40465486
907500000,2168.3777,0.40628844
917000000,2175.9668,0.40795839
926500000,2180.7197,0.41045442
936000000,2187.8909,0.41294247
945500000,2191.9246,0.41543782
955000000,2190.6536,0.41793606
964500000,2208.1335,0.41496938
974000000,2234.9324,0.40904954
983500000,2252.9575,0.40313002
993000000,2256.0125,0.39720958
1002500000,2264.7505,0.39078617
1012000000,2278.2422,0.38297322
1021500000,2297.0483,0.3751556
1031000000,2319.4954,0.36734185
1040500000,2350.8093,0.35952902
1050000000,2336.6809,0.36126462
1059500000,2316.5769,0.36432821
1069000000,2301.7483,0.36739975
1078500000,2297.0454,0.37046346
1088000000,2296.7188,0.37450427
1097500000,2285.1572,0.37953955
1107000000,2272.6658,0.38457507
1116500000,2256.3828,0.3896105
1126000000,2241.9839,0.39358792
1135500000,2261.1355,0.38862106
1145000000,2265.3586,0.38366005
1154500000,2256.2952,0.37869418
1164000000,2230.6968,0.37372735
1173500000,2237.0225,0.36050558
1183000000,2259.4341,0.34405681
1192500000,2296.7224,0.32760939
1202000000,2349.0591,0.31116101
1211500000,2386.3538,0.29733208
1221000000,2400.4807,0.28871682
1230500000,2429.0928,0.28010389
1240000000,2473.6724,0.27148807
1249500000,2533.3423,0.26287851
1259000000,2512.1624,0.26385149
1268500000,2497.8655,0.26535043
1278000000,2497.8369,0.26684889
1287500000,2495.2739,0.26835319
1297000000,2488.0081,0.26997826
1306500000,2487.0889,0.27170169
1316000000,2473.0183,0.27342701
1325500000,2438.498,0.27515727
1335000000,2407.9011,0.27511945
1344500000,2439.0725,0.26682642
1354000000,2449.585,0.25852659
1363500000,2450.9302,0.2502284
1373000000,2466.7214,0.24192744
1382500000,2483.5601,0.2353218
1392000000,2500.6377,0.2291681
1401500000,2544.3979,0.22300877
1411000000,2619.9629,0.21685684
1420500000,2673.2058,0.21432194
1430000000,2672.2947,0.2171369
1439500000,2682.1807,0.2199565
1449000000,2710.25,0.22277725
1458500000,2749.1094,0.22570693
1468000000,2712.8276,0.23493882
1477500000,2673.0537,0.24417049
1487000000,2634.8984,0.25340286
1496500000,2575.8552,0.2626355
1506000000,2531.8281,0.45401272
1515500000,2531.8176,0.44738978
1525000000,2531.2148,0.4407669
1534500000,2518.199,0.43414176
1544000000,2493.1741,0.42751923
1553500000,2475.9036,0.42089626
1563000000,2477.209,0.41426912
1572500000,2491.4888,0.40713814
1582000000,2510.8271,0.39941719
1591500000,2555.6577,0.39169511
1601000000,2619.1743,0.38397375
1610500000,2688.7251,0.37625059
1620000000,2756.0095,0.3685289
1629500000,2838.4189,0.36080718
1639000000,2896.3091,0.35694209
1648500000,2864.3489,0.36313009
1658000000,2828.4612,0.36932153
1667500000,2798.1235,0.37550983
1677000000,2773.5374,0.38169211
1686500000,2740.5266,0.38788044
1696000000,2704.946,0.39407131
1705500000,2682.145,0.39962551
1715000000,2695.896,0.39948314
1724500000,2702.4531,0.39935085
1734000000,2706.8008,0.39920849
1743500000,2718.4385,0.39907619
1753000000,2739.0181,0.39893383
1762500000,2751.4607,0.39879721
1772000000,2771.4617,0.39865452
1781500000,2793.4607,0.39954573
1791000000,2831.2778,0.40052098
1800500000,2877.3652,0.4014973
1810000000,2924.9978,0.40246895
1819500000,2977.8413,0.40344509
1829000000,3035.0122,0.40442094
1838500000,3074.5134,0.40539706
1848000000,3068.3223,0.4115985
1857500000,3042.9165,0.41957936
1867000000,3008.0437,0.42755279
1876500000,2951.2549,0.43552503
1886000000,2884.1694,0.44350982
1895500000,2809.4236,0.45148033
1905000000,2734.6545,0.45946535
1914500000,2696.0591,0.45877907
1924000000,2697.8538,0.45156646
1933500000,2710.7537,0.44433865
1943000000,2731.2202,0.43712592
1952500000,2755.9585,0.42989993
1962000000,2791.8306,0.42267221
1971500000,2842.5007,0.41545823
1981000000,2890.166,0.40943322
1990500000,2920.5107,0.405283
2000000000,2954.6089,0.40113264
END

