!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 07:14:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1614.3574,0.51254231
109500000,1674.6223,0.38559818
119000000,1690.827,0.36153439
128500000,1712.6583,0.40004772
138000000,1723.5532,0.49951899
147500000,1903.6244,0.44518986
157000000,1712.4149,0.49732241
166500000,1755.9863,0.49035847
176000000,1760.6014,0.49240384
185500000,1761.2582,0.48482752
195000000,1762.1772,0.47085434
204500000,1788.8848,0.44879463
214000000,1785.3014,0.42038849
223500000,1804.0146,0.39594486
233000000,1826.3409,0.37985355
242500000,1846.5081,0.36736998
252000000,1855.111,0.35671192
261500000,1858.4192,0.34596974
271000000,1853.6088,0.336638
280500000,1844.1194,0.32998776
290000000,1841.994,0.32739007
299500000,1844.6155,0.3310034
309000000,1836.4059,0.34654719
318500000,1843.5701,0.36779049
328000000,1874.5087,0.38180327
337500000,1861.0558,0.37377709
347000000,1926.6489,0.29745799
356500000,1926.1703,0.33253956
366000000,1910.2473,0.32669154
375500000,1846.9093,0.32069793
385000000,1818.7002,0.31209147
394500000,1835.3804,0.30348501
404000000,1862.3881,0.30173081
413500000,1869.9209,0.30941555
423000000,1911.8009,0.31708983
432500000,1942.8529,0.3293649
442000000,1967.3336,0.34286278
451500000,1972.2396,0.35439852
461000000,2002.4636,0.35548967
470500000,1991.4653,0.3565782
480000000,1977.0172,0.3519702
489500000,1968.0818,0.34223393
499000000,1950.5992,0.3324984
508500000,1941.8608,0.32180724
518000000,1948.2662,0.3110036
527500000,1957.8324,0.30199027
537000000,1955.6011,0.29800132
546500000,1975.2101,0.29400569
556000000,1995.0166,0.29246134
565500000,2014.741,0.29234576
575000000,2050.2583,0.2922335
584500000,2084.9976,0.29245082
594000000,2115.679,0.29266739
603500000,2131.7922,0.29318169
613000000,2135.916,0.29419032
622500000,2122.0444,0.2951974
632000000,2117.625,0.2921882
641500000,2112.9902,0.28774807
651000000,2113.2466,0.28352833
660500000,2096.8477,0.28123307
