!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 20:48:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1613.9717,0.51254231
109500000,1674.319,0.38559818
119000000,1691.7589,0.36153439
128500000,1714.3649,0.40004772
138000000,1723.2102,0.49951899
147500000,1903.4235,0.44518986
157000000,1714.8044,0.49732241
166500000,1756.0631,0.49035847
176000000,1761.8492,0.49240384
185500000,1760.6136,0.48482752
195000000,1763.3215,0.47085434
204500000,1790.2509,0.44879463
214000000,1788.6482,0.42038849
223500000,1806.2606,0.39594486
233000000,1827.8629,0.37985355
242500000,1847.0138,0.36736998
252000000,1856.3021,0.35671192
261500000,1861.4855,0.34596974
271000000,1853.7922,0.336638
280500000,1845.0464,0.32998776
290000000,1839.5529,0.32739007
299500000,1844.2661,0.3310034
309000000,1836.0858,0.34654719
318500000,1841.4447,0.36779049
328000000,1874.2145,0.38180327
337500000,1861.9821,0.37377709
347000000,1928.3512,0.29745799
356500000,1927.1985,0.33253956
366000000,1910.1913,0.32669154
375500000,1846.8463,0.32069793
385000000,1819.0519,0.31209147
394500000,1835.663,0.30348501
404000000,1859.8921,0.30173081
413500000,1870.3774,0.30941555
423000000,1910.4275,0.31708983
432500000,1944.5103,0.3293649
442000000,1965.4584,0.34286278
451500000,1973.5955,0.35439852
461000000,2004.3051,0.35548967
470500000,1991.2963,0.3565782
480000000,1977.7551,0.3519702
489500000,1964.8789,0.34223393
499000000,1950.8685,0.3324984
508500000,1944.4379,0.32180724
518000000,1948.0133,0.3110036
527500000,1957.484,0.30199027
537000000,1954.4976,0.29800132
546500000,1975.9541,0.29400569
556000000,1994.991,0.29246134
565500000,2014.5453,0.29234576
575000000,2048.48,0.2922335
584500000,2086.7886,0.29245082
594000000,2114.5972,0.29266739
603500000,2129.3745,0.29318169
613000000,2133.4451,0.29419032
622500000,2121.9631,0.2951974
632000000,2119.21,0.2921882
641500000,2114.0544,0.28774807
651000000,2112.0569,0.28352833
660500000,2095.5037,0.28123307
670000000,2083.5835,0.27893433
679500000,2064.488,0.27966464
689000000,2039.5134,0.28375331
698500000,2034.8295,0.28784266
708000000,2020.0077,0.29507533
717500000,2011.4238,0.30289939
727000000,2019.5215,0.30905238
736500000,2047.0387,0.30893263
746000000,2038.1934,0.30881956
755500000,2034.8525,0.36565426
765000000,2063.1145,0.38220373
774500000,2078.2219,0.39875096
784000000,2078.2949,0.4153069
793500000,2078.811,0.42842963
803000000,2128.3687,0.42721871
812500000,2155.0398,0.4260191
822000000,2159.6138,0.42481264
831500000,2155.5264,0.42361233
841000000,2157.6199,0.41919738
850500000,2158.8457,0.41402987
860000000,2163.0056,0.40884712
