!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:40:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.57441,-175.70496
109500000,-103.04508,-20.452765
119000000,-103.86252,-26.162222
128500000,-104.43339,42.956478
138000000,-104.78695,-81.307106
147500000,-102.0463,70.622757
157000000,-102.64185,-47.637768
166500000,-102.86481,157.8618
176000000,-103.25159,-103.60458
185500000,-103.59264,-47.692318
195000000,-104.53415,14.592997
204500000,-104.92268,80.481316
214000000,-102.4492,-121.89503
223500000,-102.79949,-61.013119
233000000,-103.27673,-109.27372
242500000,-103.5908,148.30165
252000000,-98.879562,127.81786
261500000,-99.110031,-144.40218
271000000,-99.447701,128.59825
280500000,-99.736183,178.02066
290000000,-99.855133,145.64969
299500000,-100.27973,-164.00276
309000000,-100.7662,-74.687302
318500000,-100.50762,91.153908
328000000,-100.61236,-70.694267
337500000,-101.05671,-158.48022
347000000,-101.44313,29.083014
356500000,-101.51496,-100.40835
366000000,-101.81204,87.698761
375500000,-101.8773,80.06942
385000000,-101.71104,154.38583
394500000,-102.40695,39.179264
404000000,-101.66754,111.02596
413500000,-101.54519,170.1895
423000000,-102.30927,168.59796
432500000,-102.42146,43.968868
442000000,-102.19214,-144.41206
451500000,-102.71988,-86.782173
461000000,-102.76771,138.9463
470500000,-102.74458,-42.568172
480000000,-103.04444,-144.05246
489500000,-103.17075,153.36946
499000000,-103.16164,109.01452
508500000,-103.28469,94.611748
518000000,-103.408,94.182976
527500000,-103.39224,110.65902
537000000,-103.97964,-69.856575
546500000,-103.71727,157.38934
556000000,-103.92382,116.46821
565500000,-104.26729,-60.767792
575000000,-104.39424,17.304565
584500000,-104.02821,-57.127743
594000000,-104.38602,36.812836
603500000,-104.19217,-85.747055
613000000,-104.62429,40.972672
622500000,-104.57741,-25.584555
632000000,-103.81187,-121.01381
641500000,-103.8646,7.1968331
651000000,-103.77771,-87.193649
660500000,-103.87896,-61.494408
670000000,-104.16132,-82.59597
679500000,-103.92887,31.726728
689000000,-104.03841,63.455265
698500000,-104.23513,18.96456
708000000,-104.28442,-39.409931
717500000,-104.17234,-34.061329
727000000,-104.30206,59.393688
736500000,-104.36218,-76.944031
746000000,-104.47341,165.17722
755500000,-104.59744,159.28728
765000000,-104.4957,-85.432358
774500000,-104.43848,43.393494
784000000,-104.80665,149.5583
793500000,-104.85143,105.33528
803000000,-105.15665,-52.958427
812500000,-104.75328,-168.02078
822000000,-105.07433,-44.332722
831500000,-105.02394,-89.665329
841000000,-105.00623,-79.633362
850500000,-105.01603,-145.19058
860000000,-105.03408,-24.651381
869500000,-104.8974,-148.63202
879000000,-105.19349,-7.6746516
888500000,-105.42905,20.416185
898000000,-105.47202,20.020769
907500000,-105.34354,-179.4314
917000000,-105.35459,107.64094
926500000,-105.27924,-107.38602
936000000,-105.56448,-31.303341
945500000,-105.61765,162.87773
955000000,-105.35344,-56.961536
964500000,-105.94888,-145.31448
974000000,-105.50613,-103.74409
983500000,-105.65444,100.75953
993000000,-105.15813,-33.071045
1002500000,-102.81719,170.79784
1012000000,-102.87149,40.499992
1021500000,-102.9137,-50.910267
1031000000,-102.88013,-56.86861
1040500000,-102.88125,-84.92997
1050000000,-102.97421,-61.734776
1059500000,-103.02179,-146.58694
1069000000,-103.13573,-12.899035
1078500000,-102.88989,-172.04427
1088000000,-102.9132,75.718483
1097500000,-103.06633,-138.50085
1107000000,-102.72521,33.054577
1116500000,-103.23797,-96.987755
1126000000,-103.07761,-176.46498
1135500000,-103.07256,0.045627609
1145000000,-103.24866,168.23495
1154500000,-103.24374,57.590748
1164000000,-103.2769,65.241081
1173500000,-103.23155,-46.084053
1183000000,-103.06547,-141.51413
1192500000,-102.84682,178
1202000000,-103.23075,77.401962
1211500000,-103.13044,120.75031
1221000000,-102.93877,-73.148575
1230500000,-103.14987,-162.16425
1240000000,-102.91028,-33.840553
1249500000,-102.93441,65.629028
1259000000,-102.81174,-124.04409
1268500000,-103.20557,-8.5857906
1278000000,-102.9492,-119.46747
1287500000,-102.82088,17.675789
1297000000,-102.88339,-102.75128
1306500000,-103.13072,179.08849
1316000000,-103.00477,-53.751289
1325500000,-102.8389,-77.531906
1335000000,-103.19391,-115.98621
1344500000,-103.06918,-66.723106
1354000000,-103.15363,59.330986
1363500000,-103.09138,104.79617
1373000000,-102.97952,118.84197
1382500000,-102.96862,52.410042
1392000000,-103.05594,-136.06659
1401500000,-102.96148,18.687281
1411000000,-102.88771,-99.37619
1420500000,-103.00517,69.59304
1430000000,-102.55779,-96.579353
1439500000,-102.89363,-28.860142
1449000000,-102.78943,98.731613
1458500000,-102.88401,-38.739864
1468000000,-102.67722,39.517651
1477500000,-102.72221,44.946533
1487000000,-102.78364,-108.08056
1496500000,-102.78136,16.407869
1506000000,-105.42372,-158.70502
1515500000,-105.65695,135.46848
1525000000,-105.57558,7.3763318
1534500000,-105.40714,46.089611
1544000000,-105.58553,8.4359894
1553500000,-105.40488,-178.26521
1563000000,-105.53693,53.298737
1572500000,-105.54263,122.89993
1582000000,-105.49155,28.189957
1591500000,-105.25788,140.45009
1601000000,-105.14748,130.15646
1610500000,-105.39178,-49.636341
1620000000,-105.40498,77.2948
1629500000,-105.45567,70.987633
1639000000,-105.23224,22.341412
1648500000,-105.26,-140.32674
1658000000,-105.13235,106.22814
1667500000,-105.06841,-128.03006
1677000000,-104.96912,48.528858
1686500000,-104.92575,148.40434
1696000000,-104.95403,84.458
1705500000,-104.93136,-110.70129
1715000000,-105.07681,-144.73598
1724500000,-105.37833,135.99431
1734000000,-104.97518,-104.37125
1743500000,-105.09536,64.966858
1753000000,-104.7067,4.6594529
1762500000,-104.72282,-171.27832
