!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:40:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.91805,80.397911
109500000,-174.29492,79.127068
119000000,-174.1067,78.70314
128500000,-173.79277,77.895081
138000000,-173.69737,77.658569
147500000,-171.83342,71.57135
157000000,-174.07243,78.766136
166500000,-173.52153,77.315254
176000000,-173.51573,77.333824
185500000,-173.46681,77.166832
195000000,-173.53896,77.425758
204500000,-173.34111,76.970062
214000000,-173.59383,77.822189
223500000,-173.6093,78.014305
233000000,-173.60413,78.17466
242500000,-173.55704,78.155891
252000000,-173.4837,77.999542
261500000,-173.48064,78.018181
271000000,-173.48071,77.984688
280500000,-173.53944,78.095108
290000000,-173.53825,78.067261
299500000,-173.57549,78.214584
309000000,-173.70781,78.571243
318500000,-173.5267,78.052734
328000000,-173.09756,76.82692
337500000,-173.40244,77.788002
347000000,-172.78111,76.096306
356500000,-172.53772,75.151001
366000000,-172.70459,75.67852
375500000,-173.47833,77.938828
385000000,-174.05298,79.48024
394500000,-173.99495,79.424446
404000000,-173.86649,79.232201
413500000,-174.07973,79.891029
423000000,-173.83907,79.485588
432500000,-173.55725,78.880882
442000000,-173.38626,78.508614
451500000,-173.37094,78.517853
461000000,-172.98793,77.46682
470500000,-173.09276,77.732231
480000000,-173.20396,77.996933
489500000,-173.24834,78.067818
499000000,-173.36887,78.338394
508500000,-173.4761,78.633636
518000000,-173.47394,78.654236
527500000,-173.41779,78.542267
537000000,-173.53453,78.884567
546500000,-173.36414,78.499245
556000000,-173.38849,78.702827
565500000,-173.48773,79.138161
575000000,-173.43379,79.188194
584500000,-173.36438,79.211769
594000000,-173.41385,79.516212
603500000,-173.40303,79.590302
613000000,-173.26675,79.225891
622500000,-173.35594,79.400223
632000000,-173.37172,79.428596
641500000,-173.40085,79.499657
651000000,-173.44087,79.589478
660500000,-173.52121,79.718552
670000000,-173.5527,79.733322
679500000,-173.62553,79.82795
689000000,-173.7498,80.021004
698500000,-173.61079,79.610535
708000000,-173.63545,79.591118
717500000,-173.59294,79.415619
727000000,-173.35519,78.772713
736500000,-173.02101,77.909676
746000000,-173.13394,78.220383
755500000,-173.35176,78.86277
765000000,-173.14941,78.421463
774500000,-173.0946,78.354279
784000000,-173.2301,78.775124
793500000,-173.39919,79.270218
803000000,-173.00549,78.393959
812500000,-172.8938,78.215797
822000000,-173.04106,78.70797
831500000,-173.33696,79.53569
841000000,-173.43423,79.819588
850500000,-173.52974,80.082863
860000000,-173.57629,80.231644
869500000,-173.50026,80.108307
879000000,-173.52924,80.197365
888500000,-173.69582,80.55587
898000000,-173.73326,80.631897
907500000,-173.63222,80.41201
917000000,-173.54114,80.20919
926500000,-173.51648,80.161621
936000000,-173.46123,80.045273
945500000,-173.38333,79.876068
955000000,-173.45154,80.037819
964500000,-173.35323,79.872566
974000000,-173.21631,79.642776
983500000,-173.20944,79.712723
993000000,-173.30125,80.006393
1002500000,-173.49213,80.514076
1012000000,-173.58521,80.816086
1021500000,-173.63164,81.01297
1031000000,-173.63013,81.108566
1040500000,-173.51741,80.977669
1050000000,-173.59793,81.095421
1059500000,-173.63986,81.114433
1069000000,-173.58957,80.945511
1078500000,-173.50784,80.7071
1088000000,-173.36223,80.326172
1097500000,-173.25917,80.028603
1107000000,-173.25975,79.959206
1116500000,-173.27556,79.923386
1126000000,-173.30978,79.934311
1135500000,-173.02048,79.230713
1145000000,-172.88121,78.861923
1154500000,-172.92522,78.945099
1164000000,-173.18185,79.539978
1173500000,-173.43611,80.253326
1183000000,-173.65221,80.894447
1192500000,-173.66277,81.08551
1202000000,-173.4774,80.873383
1211500000,-173.44633,80.965118
1221000000,-173.68953,81.575783
1230500000,-173.71228,81.741257
1240000000,-173.55113,81.556534
1249500000,-173.19539,80.976372
1259000000,-173.42336,81.416092
1268500000,-173.47444,81.492622
1278000000,-173.46188,81.44593
1287500000,-173.4324,81.365875
1297000000,-173.29648,81.040001
1306500000,-173.08746,80.520401
1316000000,-173.00793,80.259865
1325500000,-173.19145,80.568863
1335000000,-173.37151,80.886963
1344500000,-173.17619,80.542366
1354000000,-173.23024,80.722694
1363500000,-173.41985,81.174644
1373000000,-173.3876,81.171425
1382500000,-173.80518,82.131035
1392000000,-174.3087,83.146072
1401500000,-174.46812,83.540649
1411000000,-174.10162,83.132797
1420500000,-173.86223,82.859764
1430000000,-174.14716,83.349777
1439500000,-174.18752,83.4506
1449000000,-173.96283,83.14756
1458500000,-173.61145,82.617477
1468000000,-173.51936,82.321594
1477500000,-173.40956,81.979111
1487000000,-173.38293,81.775719
1496500000,-173.4868,81.810303
1506000000,-173.18716,80.950317
1515500000,-173.08864,80.722145
1525000000,-173.07259,80.664131
1534500000,-173.13844,80.778122
1544000000,-173.39908,81.283791
1553500000,-173.54576,81.546753
1563000000,-173.44029,81.319199
1572500000,-173.61681,81.749802
1582000000,-174.13301,82.856102
1591500000,-174.38988,83.43483
1601000000,-174.32153,83.498024
1610500000,-174.20914,83.491371
1620000000,-174.01326,83.355499
1629500000,-173.69533,83.021156
1639000000,-173.3936,82.622368
1648500000,-173.3656,82.482277
1658000000,-173.40305,82.451691
1667500000,-173.39423,82.339478
1677000000,-173.31825,82.104698
1686500000,-173.2849,81.939957
1696000000,-173.33627,81.927284
1705500000,-173.30457,81.774933
1715000000,-173.29749,81.806732
1724500000,-173.39255,82.025635
1734000000,-173.46092,82.191261
1743500000,-173.48322,82.272591
1753000000,-173.459,82.271751
1762500000,-173.45535,82.306694
1772000000,-173.32123,82.110382
1781500000,-173.55724,82.651253
1791000000,-173.64072,82.918419
1800500000,-173.7139,83.157806
1810000000,-173.6521,83.180389
1819500000,-173.50519,83.067444
1829000000,-173.42862,83.062775
1838500000,-173.46536,83.233437
1848000000,-173.17111,82.680122
1857500000,-172.81815,81.896896
1867000000,-172.5327,81.164207
1876500000,-172.46822,80.832901
1886000000,-172.62634,80.951851
1895500000,-172.79192,81.079659
1905000000,-172.98717,81.25972
1914500000,-173.31952,81.857788
1924000000,-173.62148,82.476395
1933500000,-173.78346,82.8228
1943000000,-173.79668,82.916725
1952500000,-173.85767,83.084297
1962000000,-173.71278,82.92289
1971500000,-173.36069,82.407104
1981000000,-173.10657,82.042076
1990500000,-173.11232,82.15065
2000000000,-173.08926,82.205635
END

