!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:40:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.52257,0.018205078
109500000,-166.36667,0.013213214
119000000,-166.32089,0.012258737
128500000,-166.2626,0.013383759
138000000,-166.23839,0.016618693
147500000,-165.81161,0.013424961
157000000,-166.26585,0.016650576
166500000,-166.16324,0.016034056
176000000,-166.15208,0.016059672
185500000,-166.15115,0.015809147
195000000,-166.14862,0.015344596
204500000,-166.08105,0.01439989
214000000,-166.08575,0.013503073
223500000,-166.04265,0.012592313
233000000,-165.98772,0.01192875
242500000,-165.94652,0.011427777
252000000,-165.92159,0.011032709
261500000,-165.91277,0.010678751
271000000,-165.92314,0.010415596
280500000,-165.94783,0.010268017
290000000,-165.95523,0.010204573
299500000,-165.94656,0.010296632
309000000,-165.96513,0.010826368
318500000,-165.94815,0.011445176
328000000,-165.87733,0.011689072
337500000,-165.90474,0.011515751
347000000,-165.75708,0.0088580986
356500000,-165.75093,0.0098887654
366000000,-165.78758,0.0097972034
375500000,-165.93481,0.0099491123
385000000,-166.0013,0.0098314453
394500000,-165.96309,0.0094765853
404000000,-165.90195,0.0092901131
413500000,-165.87842,0.0094752489
423000000,-165.78545,0.0095045874
432500000,-165.71251,0.0097080944
442000000,-165.6638,0.009993244
451500000,-165.64548,0.010285974
461000000,-165.5856,0.010176397
470500000,-165.61174,0.01026917
480000000,-165.64261,0.010208775
489500000,-165.66518,0.009978096
499000000,-165.70091,0.0097743273
508500000,-165.71306,0.0094865365
518000000,-165.70421,0.0091494154
527500000,-165.68449,0.0088439994
537000000,-165.68848,0.0087351855
546500000,-165.64471,0.0085316524
556000000,-165.60277,0.0084052598
565500000,-165.55566,0.0083112977
575000000,-165.4845,0.0081730746
584500000,-165.40691,0.0080343345
594000000,-165.34929,0.0079343123
603500000,-165.3119,0.0078801345
613000000,-165.30444,0.0078936676
622500000,-165.33264,0.0079722758
632000000,-165.33832,0.0079013472
641500000,-165.34221,0.0077882516
651000000,-165.35005,0.00768791
660500000,-165.38353,0.007684689
670000000,-165.40961,0.0076677571
679500000,-165.44765,0.0077554705
689000000,-165.49982,0.0079639517
698500000,-165.5123,0.008101997
708000000,-165.54396,0.0083663426
717500000,-165.56419,0.0086282734
727000000,-165.5464,0.0087675471
736500000,-165.48639,0.0086438945
746000000,-165.50323,0.0086743161
755500000,-165.51308,0.010294014
765000000,-165.45497,0.010616911
774500000,-165.42162,0.01099183
784000000,-165.4205,0.011445256
793500000,-165.42148,0.011809571
803000000,-165.31982,0.01150376
812500000,-165.26454,0.011326359
822000000,-165.25366,0.011266012
831500000,-165.26549,0.011264795
841000000,-165.25943,0.011131868
850500000,-165.25632,0.010986754
860000000,-165.24574,0.010822834
869500000,-165.21713,0.010615887
879000000,-165.21199,0.010542654
888500000,-165.23755,0.010648324
898000000,-165.24429,0.010708313
907500000,-165.23125,0.010719294
917000000,-165.21925,0.010733637
926500000,-165.21292,0.010783589
936000000,-165.20201,0.010821731
945500000,-165.18761,0.010851091
955000000,-165.19519,0.010935432
964500000,-165.15877,0.010767101
974000000,-165.10623,0.010485897
983500000,-165.07391,0.010257514
993000000,-165.05675,0.010067033
1002500000,-165.05055,0.0098900953
1012000000,-165.02086,0.0096263355
1021500000,-164.98476,0.0093517704
1031000000,-164.94243,0.0090681678
1040500000,-164.88544,0.0087595889
1050000000,-164.91583,0.0088637043
1059500000,-164.94968,0.009008796
1069000000,-164.97116,0.0091298008
1078500000,-164.98827,0.0092422739
1088000000,-164.99495,0.009357472
1097500000,-165.00626,0.0095080091
1107000000,-165.03297,0.0096935816
1116500000,-165.06215,0.0098867128
1126000000,-165.09241,0.010057456
1135500000,-165.05643,0.0098486254
1145000000,-165.04274,0.0096922955
1154500000,-165.05884,0.0096023856
1164000000,-165.10876,0.0095860148
1173500000,-165.09714,0.009222162
1183000000,-165.05524,0.0087168561
1192500000,-164.98495,0.0081669148
1202000000,-164.88919,0.007587709
1211500000,-164.81972,0.0071354243
1221000000,-164.79523,0.0068897214
1230500000,-164.74179,0.0066024475
1240000000,-164.66566,0.0062881531
1249500000,-164.56392,0.0059477673
1259000000,-164.60112,0.006021128
1268500000,-164.61784,0.0060786922
1278000000,-164.62628,0.0061249034
1287500000,-164.63249,0.0061682588
1297000000,-164.63806,0.0062135747
1306500000,-164.64337,0.0062608779
1316000000,-164.66646,0.006334221
1325500000,-164.72792,0.0064651538
1335000000,-164.77765,0.0065387073
1344500000,-164.7233,0.006262749
1354000000,-164.70425,0.0060414015
1363500000,-164.70369,0.0058467146
1373000000,-164.67284,0.0056127356
1382500000,-164.64828,0.0054287096
1392000000,-164.61473,0.00524606
1401500000,-164.54143,0.0050196298
1411000000,-164.41521,0.0047413255
1420500000,-164.32813,0.0045928764
1430000000,-164.33495,0.0046605202
1439500000,-164.31526,0.0046996935
1449000000,-164.26797,0.0047084186
1458500000,-164.20726,0.0047041001
1468000000,-164.26765,0.0049650925
1477500000,-164.32649,0.0052305749
1487000000,-164.39639,0.0055164113
1496500000,-164.48404,0.0058339611
1506000000,-164.56671,0.010278879
1515500000,-164.56294,0.010120135
1525000000,-164.57059,0.0099879103
1534500000,-164.5898,0.0098813735
1544000000,-164.63535,0.0098332269
1553500000,-164.66467,0.0097465133
1563000000,-164.66103,0.0095849754
1572500000,-164.64236,0.0093796086
1582000000,-164.60095,0.0091144098
1591500000,-164.5271,0.0087874923
1601000000,-164.42076,0.0084058931
1610500000,-164.31236,0.0080337906
1620000000,-164.19769,0.0076638483
1629500000,-164.07191,0.0072890827
1639000000,-163.98688,0.0070711728
1648500000,-164.03192,0.0072687753
1658000000,-164.08514,0.0074838465
1667500000,-164.13353,0.0076944935
1677000000,-164.17432,0.0078949723
1686500000,-164.22066,0.0081090387
1696000000,-164.27806,0.0083480775
1705500000,-164.31839,0.0085447431
1715000000,-164.29636,0.0084984535
1724500000,-164.28711,0.0084775668
1734000000,-164.2744,0.0084497919
1743500000,-164.25613,0.0084115313
1753000000,-164.23239,0.0083626825
1762500000,-164.21121,0.0083191516
1772000000,-164.17447,0.0082461238
1781500000,-164.13519,0.0081901615
1791000000,-164.07443,0.0080960775
1800500000,-164.01321,0.0080022318
1810000000,-163.93852,0.0078847976
1819500000,-163.85582,0.0077548511
1829000000,-163.78185,0.0076423138
1838500000,-163.72112,0.0075543826
1848000000,-163.73381,0.0076923957
1857500000,-163.77444,0.0079152603
1867000000,-163.821,0.0081525994
1876500000,-163.89691,0.008451039
1886000000,-164.00526,0.0088234143
1895500000,-164.11662,0.0092152432
1905000000,-164.23398,0.0096351057
1914500000,-164.29433,0.0097553553
1924000000,-164.29085,0.0095943017
1933500000,-164.26949,0.0093943952
1943000000,-164.23135,0.0091611287
1952500000,-164.19876,0.0089423005
1962000000,-164.14403,0.0086818719
1971500000,-164.0656,0.0083809681
1981000000,-163.99312,0.0081227245
1990500000,-163.94585,0.0079533458
2000000000,-163.89563,0.0077813813
END

