!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 02:06:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
100000000,1615.8613,0.51254231
109500000,1676.1276,0.38559818
119000000,1694.8265,0.36153439
128500000,1713.5631,0.40004772
138000000,1723.5179,0.49951899
147500000,1904.4727,0.44518986
157000000,1713.4087,0.49732241
166500000,1756.348,0.49035847
176000000,1761.5438,0.49240384
185500000,1759.2135,0.48482752
195000000,1763.7968,0.47085434
204500000,1790.3324,0.44879463
214000000,1788.7719,0.42038849
223500000,1805.5366,0.39594486
233000000,1827.4611,0.37985355
242500000,1846.4003,0.36736998
252000000,1856.3837,0.35671192
261500000,1859.7483,0.34596974
271000000,1854.1035,0.336638
280500000,1845.2823,0.32998776
290000000,1840.4779,0.32739007
299500000,1843.2064,0.3310034
309000000,1834.8986,0.34654719
318500000,1842.8252,0.36779049
328000000,1873.3019,0.38180327
337500000,1860.2253,0.37377709
347000000,1927.9808,0.29745799
356500000,1927.6239,0.33253956
366000000,1910.2904,0.32669154
375500000,1847.1669,0.32069793
385000000,1819.3239,0.31209147
394500000,1836.731,0.30348501
404000000,1858.7211,0.30173081
413500000,1869.5183,0.30941555
423000000,1911.4767,0.31708983
432500000,1944.6029,0.3293649
442000000,1965.2784,0.34286278
451500000,1972.9982,0.35439852
461000000,2003.0455,0.35548967
470500000,1991.1294,0.3565782
480000000,1973.6718,0.3519702
489500000,1966.9941,0.34223393
499000000,1951.7826,0.3324984
508500000,1943.7279,0.32180724
518000000,1948.4323,0.3110036
527500000,1960.2179,0.30199027
537000000,1957.2157,0.29800132
546500000,1972.2404,0.29400569
556000000,1993.3671,0.29246134
565500000,2016.6681,0.29234576
575000000,2051.8213,0.2922335
584500000,2084.8274,0.29245082
594000000,2111.1619,0.29266739
603500000,2131.3586,0.29318169
613000000,2136.7944,0.29419032
622500000,2121.0505,0.2951974
632000000,2117.1274,0.2921882
641500000,2117.3484,0.28774807
651000000,2111.3398,0.28352833
660500000,2094.459,0.28123307
670000000,2082.7798,0.27893433
679500000,2067.3621,0.27966464
689000000,2040.4064,0.28375331
698500000,2031.3414,0.28784266
708000000,2019.958,0.29507533
717500000,2014.574,0.30289939
727000000,2015.9996,0.30905238
736500000,2042.9926,0.30893263
746000000,2039.9363,0.30881956
755500000,2037.6505,0.36565426
765000000,2063,0.38220373
774500000,2075.55,0.39875096
784000000,2079.7842,0.4153069
793500000,2081.3931,0.42842963
803000000,2129.6738,0.42721871
812500000,2153.1545,0.4260191
822000000,2163.1975,0.42481264
831500000,2154.4231,0.42361233
841000000,2153.0503,0.41919738
850500000,2157.9353,0.41402987
860000000,2166.8203,0.40884712
869500000,2175.7324,0.4036797
879000000,2176.8689,0.4013699
888500000,2168.4666,0.40301344
898000000,2167.0979,0.40465486
907500000,2167.9961,0.40628844
917000000,2175.3818,0.40795839
926500000,2182.8657,0.41045442
936000000,2190.0129,0.41294247
945500000,2192.9448,0.41543782
955000000,2187.7271,0.41793606
964500000,2208.4326,0.41496938
974000000,2235.9949,0.40904954
983500000,2250.0789,0.40313002
993000000,2257.563,0.39720958
1002500000,2266.6328,0.39078617
1012000000,2278.7742,0.38297322
1021500000,2296.061,0.3751556
1031000000,2319.167,0.36734185
1040500000,2355.3223,0.35952902
1050000000,2335.7522,0.36126462
1059500000,2315.4351,0.36432821
1069000000,2302.6206,0.36739975
1078500000,2301.436,0.37046346
1088000000,2292.1567,0.37450427
1097500000,2283.2217,0.37953955
1107000000,2272.3733,0.38457507
1116500000,2259.8259,0.3896105
1126000000,2240.1614,0.39358792
1135500000,2261.3357,0.38862106
1145000000,2269.355,0.38366005
1154500000,2259.5061,0.37869418
1164000000,2229.9551,0.37372735
1173500000,2237.3225,0.36050558
1183000000,2262.2007,0.34405681
1192500000,2297.291,0.32760939
1202000000,2342.9167,0.31116101
1211500000,2388.9946,0.29733208
1221000000,2405.8613,0.28871682
1230500000,2431.0371,0.28010389
1240000000,2470.6726,0.27148807
1249500000,2531.438,0.26287851
1259000000,2516.0156,0.26385149
1268500000,2503.6748,0.26535043
1278000000,2496.2505,0.26684889
1287500000,2490.9985,0.26835319
1297000000,2494.7407,0.26997826
1306500000,2485.7478,0.27170169
1316000000,2468.4431,0.27342701
1325500000,2440.1841,0.27515727
1335000000,2415.5032,0.27511945
1344500000,2437.0059,0.26682642
1354000000,2446.646,0.25852659
1363500000,2457.5679,0.2502284
1373000000,2473.467,0.24192744
1382500000,2477.8357,0.2353218
1392000000,2497.7244,0.2291681
1401500000,2552.7368,0.22300877
1411000000,2624.6814,0.21685684
1420500000,2667.2498,0.21432194
1430000000,2668.4119,0.2171369
1439500000,2685.1367,0.2199565
1449000000,2712.7383,0.22277725
1458500000,2745.2507,0.22570693
1468000000,2706.1655,0.23493882
1477500000,2678.2593,0.24417049
1487000000,2636.3713,0.25340286
1496500000,2575.437,0.2626355
1506000000,2531.2769,0.45401272
1515500000,2539.9165,0.44738978
1525000000,2533.3909,0.4407669
1534500000,2509.2212,0.43414176
1544000000,2493.3623,0.42751923
1553500000,2484.1831,0.42089626
1563000000,2475.7219,0.41426912
1572500000,2481.1555,0.40713814
1582000000,2515.2876,0.39941719
1591500000,2565.1863,0.39169511
1601000000,2618.3999,0.38397375
1610500000,2680.3413,0.37625059
1620000000,2758.2449,0.3685289
1629500000,2842.1946,0.36080718
1639000000,2890.5601,0.35694209
1648500000,2859.1306,0.36313009
1658000000,2833.6433,0.36932153
1667500000,2802.9153,0.37550983
1677000000,2773.0132,0.38169211
1686500000,2737.4561,0.38788044
1696000000,2711.0764,0.39407131
1705500000,2685.6008,0.39962551
1715000000,2692.1162,0.39948314
1724500000,2699.3591,0.39935085
1734000000,2713.0972,0.39920849
1743500000,2722.072,0.39907619
1753000000,2735.697,0.39893383
1762500000,2750.0647,0.39879721
1772000000,2775.4104,0.39865452
1781500000,2804.8547,0.39954573
1791000000,2834.3054,0.40052098
1800500000,2876.4819,0.4014973
1810000000,2930.3103,0.40246895
1819500000,2986.938,0.40344509
1829000000,3030.981,0.40442094
1838500000,3072.4709,0.40539706
1848000000,3073.6531,0.4115985
1857500000,3049.6836,0.41957936
1867000000,3006.4509,0.42755279
1876500000,2951.6958,0.43552503
1886000000,2886.6138,0.44350982
1895500000,2816.2002,0.45148033
1905000000,2728.6538,0.45946535
1914500000,2692.4629,0.45877907
1924000000,2705.0249,0.45156646
1933500000,2714.2119,0.44433865
1943000000,2730.1355,0.43712592
1952500000,2754.9998,0.42989993
1962000000,2800.748,0.42267221
1971500000,2846.197,0.41545823
1981000000,2884.7231,0.40943322
1990500000,2923.1814,0.405283
2000000000,2963.1096,0.40113264
END

