!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:39:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1615.3457,0.51254231
109500000,1675.7972,0.38559818
119000000,1692.5272,0.36153439
128500000,1713.1262,0.40004772
138000000,1722.8597,0.49951899
147500000,1902.4138,0.44518986
157000000,1712.8068,0.49732241
166500000,1755.8228,0.49035847
176000000,1760.6558,0.49240384
185500000,1758.3789,0.48482752
195000000,1762.9421,0.47085434
204500000,1791.1989,0.44879463
214000000,1788.3658,0.42038849
223500000,1804.6533,0.39594486
233000000,1826.8098,0.37985355
242500000,1846.9838,0.36736998
252000000,1856.267,0.35671192
261500000,1858.2379,0.34596974
271000000,1853.241,0.336638
280500000,1844.79,0.32998776
290000000,1841.4784,0.32739007
299500000,1842.6196,0.3310034
309000000,1836.4728,0.34654719
318500000,1843.8967,0.36779049
328000000,1872.7509,0.38180327
337500000,1859.9512,0.37377709
347000000,1927.4409,0.29745799
356500000,1927.0305,0.33253956
366000000,1909.4783,0.32669154
375500000,1846.5179,0.32069793
385000000,1819.048,0.31209147
394500000,1833.7968,0.30348501
404000000,1858.7395,0.30173081
413500000,1869.5901,0.30941555
423000000,1912.5292,0.31708983
432500000,1944.2841,0.3293649
442000000,1964.0845,0.34286278
451500000,1972.2557,0.35439852
461000000,2003.4767,0.35548967
470500000,1989.6416,0.3565782
480000000,1975.1885,0.3519702
489500000,1964.0387,0.34223393
499000000,1948.86,0.3324984
508500000,1942.3525,0.32180724
518000000,1943.7335,0.3110036
527500000,1958.2242,0.30199027
537000000,1955.652,0.29800132
546500000,1975.0841,0.29400569
556000000,1990.4631,0.29246134
565500000,2015.2198,0.29234576
575000000,2049.072,0.2922335
584500000,2082.583,0.29245082
594000000,2110.1221,0.29266739
603500000,2132.3796,0.29318169
613000000,2133.28,0.29419032
622500000,2117.6533,0.2951974
632000000,2114.7612,0.2921882
641500000,2115.7837,0.28774807
651000000,2111.7388,0.28352833
660500000,2094.9375,0.28123307
670000000,2080.4863,0.27893433
679500000,2063.137,0.27966464
689000000,2041.5859,0.28375331
698500000,2031.3285,0.28784266
708000000,2016.8613,0.29507533
717500000,2014.1686,0.30289939
727000000,2015.7031,0.30905238
736500000,2041.9531,0.30893263
746000000,2038.0133,0.30881956
755500000,2034.0721,0.36565426
765000000,2059.8052,0.38220373
774500000,2075.3179,0.39875096
784000000,2077.1848,0.4153069
793500000,2079.1187,0.42842963
803000000,2125.0288,0.42721871
812500000,2150.8501,0.4260191
822000000,2160.6536,0.42481264
831500000,2152.8643,0.42361233
841000000,2152.0896,0.41919738
850500000,2157.5425,0.41402987
860000000,2165.0403,0.40884712
869500000,2174.9246,0.4036797
879000000,2176.3306,0.4013699
888500000,2166.6902,0.40301344
898000000,2166.6914,0.40465486
907500000,2168.6118,0.40628844
917000000,2173.3711,0.40795839
926500000,2179.5999,0.41045442
936000000,2187.5701,0.41294247
945500000,2190.9033,0.41543782
955000000,2186.0642,0.41793606
964500000,2208.3652,0.41496938
974000000,2233.9143,0.40904954
983500000,2248.115,0.40313002
993000000,2257.8445,0.39720958
1002500000,2264.5264,0.39078617
1012000000,2278.1357,0.38297322
1021500000,2294.5071,0.3751556
1031000000,2318.8176,0.36734185
1040500000,2351.3943,0.35952902
1050000000,2335.4849,0.36126462
1059500000,2312.6594,0.36432821
1069000000,2302.3369,0.36739975
1078500000,2297.6843,0.37046346
1088000000,2292.499,0.37450427
1097500000,2282.5774,0.37953955
1107000000,2269.8354,0.38457507
