!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:38:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,236.03558,1379.6732
109500000,271.10547,1402.63
119000000,284.2468,1408.4152
128500000,302.54572,1410.1633
138000000,311.94058,1413.0128
147500000,478.21643,1425.1312
157000000,285.58789,1427.7474
166500000,326.74893,1430.2966
176000000,325.46936,1434.38
185500000,328.94897,1431.1163
195000000,325.62781,1437.505
204500000,338.65573,1450.1285
214000000,319.86157,1467.1598
223500000,319.36798,1486.092
233000000,317.87393,1508.6317
242500000,326.0451,1522.594
252000000,329.19693,1527.7551
261500000,327.52344,1531.2842
271000000,327.68607,1526.866
280500000,325.33655,1520.7412
290000000,323.52469,1517.5059
299500000,320.98599,1523.9122
309000000,310.5878,1525.6158
318500000,323.03079,1519.6378
328000000,356.30719,1516.5132
337500000,332.72672,1528.8375
347000000,386.92432,1542.2444
356500000,405.35974,1522.9694
366000000,390.58493,1521.9944
375500000,326.1431,1521.719
385000000,285.62796,1533.9679
394500000,291.31149,1546.2133
404000000,296.37372,1563.5359
413500000,280.63156,1587.8861
423000000,299.18665,1612.2563
432500000,320.91501,1624.5881
442000000,331.54709,1633.6589
451500000,331.09906,1640.7902
461000000,367.16321,1637.4911
470500000,356.89587,1634.1389
480000000,346.39752,1629.0339
489500000,345.18271,1622.3418
499000000,335.85687,1615.6162
508500000,324.1911,1618.2902
518000000,325.24677,1622.1162
527500000,331.96725,1626.7411
537000000,323.4382,1633.6652
546500000,334.48846,1640.6313
556000000,328.93826,1661.6575
565500000,324.01767,1690.8878
575000000,331.16656,1720.1378
584500000,332.51816,1751.7628
594000000,329.00287,1783.406
603500000,333.82962,1800.8688
613000000,342.28412,1793.9938
622500000,332.79623,1787.1162
632000000,333.13083,1785.531
641500000,333.26901,1785.8696
651000000,327.71332,1785.1011
660500000,319.67999,1774.8696
670000000,317.7139,1764.6378
679500000,316.0036,1751.7826
689000000,305.68814,1735.9951
698500000,314.07776,1720.1635
708000000,312.0202,1707.1635
