!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:38:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
100000000,1615.7235,0.51254231
109500000,1673.7406,0.38559818
119000000,1692.6631,0.36153439
128500000,1712.7065,0.40004772
138000000,1724.9601,0.49951899
147500000,1903.3499,0.44518986
157000000,1713.3312,0.49732241
166500000,1757.0562,0.49035847
176000000,1759.8464,0.49240384
185500000,1760.0576,0.48482752
195000000,1763.1265,0.47085434
204500000,1788.7781,0.44879463
214000000,1787.0271,0.42038849
223500000,1805.4476,0.39594486
233000000,1826.5052,0.37985355
242500000,1848.6293,0.36736998
252000000,1856.95,0.35671192
261500000,1858.8134,0.34596974
271000000,1854.5464,0.336638
280500000,1846.0697,0.32998776
290000000,1841.0306,0.32739007
299500000,1844.9054,0.3310034
309000000,1836.184,0.34654719
318500000,1842.679,0.36779049
328000000,1872.8326,0.38180327
337500000,1861.5461,0.37377709
347000000,1929.1658,0.29745799
356500000,1928.3215,0.33253956
366000000,1912.5741,0.32669154
375500000,1847.856,0.32069793
385000000,1819.5851,0.31209147
394500000,1837.5118,0.30348501
404000000,1859.9141,0.30173081
413500000,1868.5303,0.30941555
423000000,1911.4435,0.31708983
432500000,1945.4825,0.3293649
442000000,1965.2168,0.34286278
451500000,1971.9089,0.35439852
461000000,2004.6489,0.35548967
470500000,1991.0518,0.3565782
480000000,1975.4435,0.3519702
489500000,1967.5116,0.34223393
499000000,1951.4657,0.3324984
508500000,1942.4933,0.32180724
518000000,1947.3489,0.3110036
527500000,1958.6949,0.30199027
537000000,1957.1172,0.29800132
546500000,1975.1223,0.29400569
556000000,1990.6012,0.29246134
565500000,2014.9229,0.29234576
575000000,2051.3169,0.2922335
584500000,2084.2944,0.29245082
594000000,2112.417,0.29266739
603500000,2134.6892,0.29318169
613000000,2136.2666,0.29419032
622500000,2119.9014,0.2951974
632000000,2118.6716,0.2921882
641500000,2119.1394,0.28774807
651000000,2112.8064,0.28352833
660500000,2094.552,0.28123307
670000000,2082.366,0.27893433
679500000,2067.7942,0.27966464
689000000,2041.6753,0.28375331
698500000,2034.264,0.28784266
708000000,2019.207,0.29507533
717500000,2016.4563,0.30289939
727000000,2019.3077,0.30905238
736500000,2046.2677,0.30893263
746000000,2041.744,0.30881956
755500000,2035.6458,0.36565426
765000000,2060.7209,0.38220373
774500000,2076.6514,0.39875096
784000000,2080.2297,0.4153069
793500000,2080.7893,0.42842963
803000000,2128.3052,0.42721871
812500000,2153.9482,0.4260191
822000000,2162.5615,0.42481264
831500000,2156.301,0.42361233
841000000,2156.5383,0.41919738
850500000,2160.613,0.41402987
860000000,2166.2161,0.40884712
869500000,2177.8391,0.4036797
879000000,2177.2139,0.4013699
888500000,2169.8594,0.40301344
898000000,2167.7712,0.40465486
907500000,2168.9185,0.40628844
917000000,2175.3079,0.40795839
926500000,2183.3369,0.41045442
