!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 15:53:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.51726,0.018182861
109500000,-166.35464,0.013176654
119000000,-166.31052,0.012229471
128500000,-166.26317,0.013385497
138000000,-166.23651,0.016611516
147500000,-165.80504,0.013404666
157000000,-166.26082,0.016631322
166500000,-166.1588,0.016017698
176000000,-166.14214,0.016022909
185500000,-166.1516,0.015810791
195000000,-166.13921,0.015311338
204500000,-166.0753,0.014380839
214000000,-166.07986,0.013484761
223500000,-166.0351,0.012570465
233000000,-165.98753,0.011928224
242500000,-165.93919,0.011408537
252000000,-165.91481,0.011015502
261500000,-165.90472,0.010659026
271000000,-165.91737,0.01040176
280500000,-165.94279,0.010256129
290000000,-165.95233,0.010197775
299500000,-165.94305,0.01028831
309000000,-165.96333,0.010821852
318500000,-165.94136,0.011427291
328000000,-165.8732,0.01167795
337500000,-165.90451,0.011515161
347000000,-165.74522,0.0088339439
356500000,-165.7444,0.0098739164
366000000,-165.78458,0.0097904485
375500000,-165.92972,0.0099374503
385000000,-165.99585,0.009819123
394500000,-165.95752,0.0094644586
404000000,-165.90111,0.0092883147
413500000,-165.87897,0.0094764307
423000000,-165.7804,0.0094935428
432500000,-165.70508,0.0096915169
442000000,-165.658,0.0099799391
451500000,-165.64522,0.010285355
461000000,-165.57985,0.010162912
470500000,-165.60504,0.010253347
480000000,-165.64256,0.010208658
489500000,-165.66177,0.0099702748
499000000,-165.69666,0.00976477
508500000,-165.71593,0.0094928071
518000000,-165.70503,0.0091511235
527500000,-165.68285,0.0088406503
537000000,-165.67953,0.0087172259
546500000,-165.64165,0.0085256491
556000000,-165.60536,0.0084102871
565500000,-165.55063,0.0083016893
575000000,-165.47545,0.0081560835
584500000,-165.40417,0.0080292681
594000000,-165.35008,0.0079357717
603500000,-165.30486,0.0078673679
613000000,-165.29854,0.0078829462
622500000,-165.3315,0.0079701981
632000000,-165.33983,0.0079040835
641500000,-165.33678,0.0077784983
651000000,-165.35057,0.0076888339
660500000,-165.3848,0.0076869153
670000000,-165.40892,0.007666545
679500000,-165.44534,0.0077513549
689000000,-165.49232,0.0079502184
698500000,-165.5125,0.0081023639
708000000,-165.54062,0.0083599025
717500000,-165.54851,0.008597157
727000000,-165.5444,0.0087635284
736500000,-165.49052,0.0086521236
746000000,-165.49493,0.0086577497
755500000,-165.50264,0.010269314
765000000,-165.45305,0.010612207
774500000,-165.42343,0.010996423
784000000,-165.41884,0.011440894
793500000,-165.41241,0.011784932
803000000,-165.3163,0.011494387
812500000,-165.26199,0.011319693
822000000,-165.24619,0.011246629
831500000,-165.2581,0.011245649
841000000,-165.261,0.01113588
850500000,-165.24963,0.010969878
860000000,-165.23927,0.010806731
869500000,-165.21738,0.010616477
879000000,-165.21504,0.010550059
888500000,-165.22932,0.010628166
898000000,-165.2373,0.010691085
907500000,-165.23108,0.010718867
917000000,-165.22153,0.010739287
926500000,-165.20282,0.010758555
936000000,-165.18971,0.010791151
945500000,-165.18825,0.01085268
955000000,-165.1877,0.010916565
964500000,-165.15143,0.010748923
974000000,-165.09483,0.010458399
983500000,-165.07101,0.010250668
993000000,-165.05154,0.010054979
1002500000,-165.03835,0.0098623391
1012000000,-165.01485,0.0096130157
1021500000,-164.98238,0.009346636
1031000000,-164.93863,0.0090602264
1040500000,-164.87599,0.0087405639
1050000000,-164.91051,0.008852832
1059500000,-164.94905,0.0090074837
1069000000,-164.97102,0.0091295028
1078500000,-164.97404,0.0092120506
1088000000,-164.98889,0.0093444148
1097500000,-165.00801,0.0095118452
1107000000,-165.02846,0.0096835196
1116500000,-165.05228,0.0098642539
1126000000,-165.08798,0.010047224
1135500000,-165.04936,0.0098326076
1145000000,-165.03482,0.0096746394
1154500000,-165.04822,0.0095789377
1164000000,-165.11223,0.0095936386
1173500000,-165.08801,0.0092027932
1183000000,-165.04376,0.0086938487
1192500000,-164.97672,0.0081514344
1202000000,-164.89218,0.007592937
1211500000,-164.81125,0.0071215252
1221000000,-164.78354,0.0068711909
1230500000,-164.73517,0.0065923799
1240000000,-164.66139,0.0062819687
1249500000,-164.56003,0.0059424224
1259000000,-164.58656,0.0060009798
1268500000,-164.61082,0.0060688895
1278000000,-164.62311,0.0061204415
1287500000,-164.62561,0.0061584935
1297000000,-164.62326,0.006192422
1306500000,-164.63591,0.0062501398
1316000000,-164.66934,0.0063384403
1325500000,-164.71651,0.0064482023
1335000000,-164.76083,0.0065134522
1344500000,-164.7207,0.0062590041
1354000000,-164.70868,0.0060475525
1363500000,-164.68742,0.0058248551
1373000000,-164.66119,0.0055977101
1382500000,-164.65056,0.005431551
1392000000,-164.61571,0.00524724
1401500000,-164.52606,0.0050019012
1411000000,-164.40109,0.0047259419
1420500000,-164.32803,0.0045927805
1430000000,-164.33566,0.0046612993
1439500000,-164.30563,0.0046892776
1449000000,-164.25841,0.0046980507
1458500000,-164.20781,0.0047047012
1468000000,-164.26335,0.0049601682
1477500000,-164.31561,0.0052174889
1487000000,-164.3811,0.0054970342
1496500000,-164.48956,0.0058413865
1506000000,-164.56255,0.010269028
1515500000,-164.54453,0.010077304
1525000000,-164.55804,0.0099590933
1534500000,-164.60007,0.0099047674
1544000000,-164.63187,0.0098253526
1553500000,-164.64038,0.0096921278
1563000000,-164.66129,0.0095855528
1572500000,-164.6483,0.0093924217
1582000000,-164.58749,0.0090861898
1591500000,-164.50626,0.0087453993
1601000000,-164.41728,0.0083991773
1610500000,-164.31036,0.0080300793
1620000000,-164.1902,0.0076506375
1629500000,-164.06239,0.0072731287
1639000000,-163.99174,0.0070791161
1648500000,-164.0356,0.007274922
1658000000,-164.07736,0.0074704462
1667500000,-164.1178,0.0076666833
1677000000,-164.17082,0.0078886431
1686500000,-164.22403,0.0081153614
1696000000,-164.26851,0.008329764
1705500000,-164.31087,0.0085299499
1715000000,-164.28902,0.0084841251
1724500000,-164.28856,0.0084804166
1734000000,-164.26622,0.008433884
1743500000,-164.24438,0.0083888043
1753000000,-164.23166,0.0083612772
1762500000,-164.20911,0.0083151395
1772000000,-164.16801,0.0082338834
1781500000,-164.12572,0.0081723174
1791000000,-164.07549,0.0080980584
1800500000,-164.0145,0.0080045722
1810000000,-163.92805,0.0078658108
1819500000,-163.85098,0.0077462127
1829000000,-163.78166,0.007641993
1838500000,-163.72334,0.0075582541
1848000000,-163.72324,0.0076736794
1857500000,-163.76192,0.0078924512
1867000000,-163.82277,0.0081559289
1876500000,-163.90271,0.0084623452
1886000000,-163.99374,0.0088000232
1895500000,-164.10526,0.0091911731
1905000000,-164.23735,0.0096425861
1914500000,-164.29335,0.0097531676
1924000000,-164.2798,0.0095699038
1933500000,-164.25989,0.0093736667
1943000000,-164.2357,0.0091702864
1952500000,-164.19624,0.0089371409
1962000000,-164.12944,0.0086527616
1971500000,-164.05188,0.0083545204
1981000000,-163.99358,0.0081235776
1990500000,-163.94182,0.0079459576
2000000000,-163.87831,0.0077504357
END

