!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 19:35:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(DB),DUTNPDI(DEG)
100000000,-174.86166,80.274826
109500000,-174.23615,78.982536
119000000,-174.05806,78.579201
128500000,-173.77483,77.846436
138000000,-173.65395,77.538429
147500000,-171.81908,71.514503
157000000,-174.06145,78.738419
166500000,-173.47438,77.181313
176000000,-173.46506,77.190071
185500000,-173.41486,77.017578
195000000,-173.48901,77.285034
204500000,-173.30827,76.87458
214000000,-173.54532,77.68956
223500000,-173.56946,77.907082
233000000,-173.57654,78.101418
242500000,-173.49298,77.98497
252000000,-173.43881,77.878525
261500000,-173.44165,77.913284
271000000,-173.44907,77.899399
280500000,-173.4908,77.964897
290000000,-173.46289,77.864517
299500000,-173.54164,78.125008
309000000,-173.67918,78.497696
318500000,-173.48326,77.936096
328000000,-173.08359,76.785912
337500000,-173.40134,77.785019
347000000,-172.71846,75.902245
356500000,-172.5295,75.124092
366000000,-172.68666,75.621704
375500000,-173.45692,77.880989
385000000,-174.01674,79.394066
394500000,-173.93251,79.274834
404000000,-173.86111,79.219185
413500000,-174.0661,79.859917
423000000,-173.78691,79.361465
432500000,-173.51237,78.768333
442000000,-173.38124,78.495682
451500000,-173.3369,78.429916
461000000,-172.95264,77.367798
470500000,-173.05003,77.61467
480000000,-173.20908,78.010597
489500000,-173.22336,78.000977
499000000,-173.3157,78.198761
508500000,-173.43677,78.532913
518000000,-173.45837,78.614555
527500000,-173.382,78.450043
537000000,-173.46609,78.71254
546500000,-173.3298,78.410423
556000000,-173.37996,78.681198
565500000,-173.43799,79.01606
575000000,-173.36656,79.023575
584500000,-173.31787,79.098373
594000000,-173.42053,79.531975
603500000,-173.34361,79.450104
613000000,-173.21111,79.090263
622500000,-173.3199,79.313896
632000000,-173.36017,79.401093
641500000,-173.35518,79.391144
651000000,-173.39815,79.488853
660500000,-173.52466,79.726524
670000000,-173.51799,79.652725
679500000,-173.57599,79.713707
689000000,-173.68758,79.879913
698500000,-173.59128,79.564766
708000000,-173.59947,79.506447
717500000,-173.49797,79.187073
727000000,-173.32585,78.698555
736500000,-173.04198,77.966202
746000000,-173.08716,78.096428
