!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 04:49:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_2(DB),A_2(DEG)
100000000,-104.03001,-69.44413
109500000,-102.93437,13.462436
119000000,-103.57305,-50.435299
128500000,-104.20097,-57.603596
138000000,-104.91032,142.23587
147500000,-101.8604,118.92936
157000000,-102.52498,69.10788
166500000,-103.06052,126.78289
176000000,-103.51895,-26.256935
185500000,-103.93094,63.698814
195000000,-104.42368,146.75999
204500000,-105.12978,-76.797562
214000000,-102.51694,-108.74638
223500000,-102.91105,-32.143097
233000000,-103.02121,-52.10461
242500000,-103.62735,-71.486176
252000000,-98.817047,99.776398
261500000,-99.198616,104.9608
271000000,-99.444885,95.896454
280500000,-99.825401,88.371384
290000000,-99.753746,-15.422101
299500000,-100.27422,-36.388397
309000000,-100.75147,-63.093388
318500000,-101.02363,-95.602333
328000000,-100.92712,52.556942
337500000,-100.99094,111.99908
347000000,-101.48607,120.72044
356500000,-101.64342,103.33961
366000000,-101.77778,-98.78904
375500000,-102.06947,123.81828
385000000,-102.37397,101.29686
394500000,-102.40254,133.64674
404000000,-101.77119,76.670982
413500000,-101.6862,-82.250702
423000000,-101.9623,29.672073
432500000,-102.1068,-32.237755
442000000,-102.28569,55.172119
451500000,-102.4734,177.11331
461000000,-102.74841,87.496376
470500000,-102.86633,-114.43505
480000000,-102.95192,-144.05717
489500000,-103.30072,118.96101
499000000,-103.34573,21.756691
508500000,-103.27226,-108.15601
518000000,-103.37409,-157.10388
527500000,-103.58117,106.908
537000000,-103.64614,-50.036484
546500000,-103.64594,-20.646767
556000000,-103.80754,62.244129
565500000,-104.01187,-117.97816
575000000,-104.05995,40.900772
584500000,-104.18405,161.00523
594000000,-104.04998,-67.751732
603500000,-104.37284,101.78082
613000000,-104.48946,-124.63126
622500000,-104.59145,-58.061691
632000000,-103.69752,-103.9211
641500000,-103.56142,117.73995
651000000,-103.60155,-117.90388
660500000,-103.64408,-96.696754
670000000,-103.91249,-79.342842
679500000,-104.05952,-89.155441
689000000,-103.99397,-67.586807
698500000,-104.07292,-45.322678
708000000,-104.40263,-96.37075
717500000,-104.08389,1.6973273
727000000,-104.53661,108.5984
736500000,-104.69778,135.46547
746000000,-104.31239,-54.865429
755500000,-104.74252,28.485178
765000000,-104.61001,62.645855
774500000,-104.57745,149.33562
784000000,-104.43736,126.58018
793500000,-104.619,20.145416
803000000,-105.14725,-178.42151
812500000,-104.72331,-161.71751
