!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 04:49:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B_2(DB),B_2(DEG)
100000000,-104.1002,-133.85597
109500000,-102.67695,33.699722
119000000,-103.38133,123.89506
128500000,-104.46066,93.997391
138000000,-104.86384,124.00091
147500000,-101.99775,3.8105266
157000000,-102.34077,-124.21548
166500000,-103.40582,-26.463976
176000000,-103.77741,-117.24878
185500000,-104.01984,-52.596943
195000000,-104.45079,71.371132
204500000,-104.7955,-98.687851
214000000,-102.44498,-148.85852
223500000,-102.45508,-42.545933
233000000,-102.98599,-12.045716
242500000,-103.39571,-18.397263
252000000,-98.533318,-150.47604
261500000,-98.827705,-173.28818
271000000,-98.836357,-48.46405
280500000,-99.215111,-174.71779
290000000,-99.645317,126.64883
299500000,-99.635582,-35.412975
309000000,-100.20168,-60.912617
318500000,-100.5008,-11.319873
328000000,-100.75097,39.727753
337500000,-100.57478,76.384346
347000000,-100.98619,50.364105
356500000,-101.09513,14.871614
366000000,-101.47337,66.695366
375500000,-101.4951,-156.23186
385000000,-101.65044,94.60405
394500000,-101.90782,-107.6019
404000000,-102.38407,-115.47536
413500000,-102.305,-108.5862
423000000,-102.35226,-123.04731
432500000,-102.51829,-61.447594
442000000,-102.76283,171.90556
451500000,-102.71686,-26.974701
461000000,-102.88482,-77.703598
470500000,-102.98285,-120.11816
480000000,-103.29422,-146.66051
489500000,-103.33758,-59.467262
499000000,-103.60274,57.98645
508500000,-103.00018,-142.9447
518000000,-102.77832,94.415192
527500000,-103.01807,85.145218
537000000,-103.55242,55.142986
546500000,-103.33884,113.28722
556000000,-103.49222,89.905998
565500000,-103.63197,14.318336
575000000,-103.55698,136.81792
584500000,-103.40446,-97.310837
594000000,-103.79337,140.01781
603500000,-104.0859,24.161036
613000000,-104.13084,54.951981
622500000,-104.15723,-119.03748
632000000,-103.40738,-75.118393
641500000,-103.34051,-122.96596
651000000,-103.64772,70.891335
660500000,-103.74474,162.04501
670000000,-103.42728,112.41737
679500000,-104.05653,-124.43552
689000000,-103.7476,-1.2827008
698500000,-103.62778,133.54166
708000000,-103.906,-101.71338
717500000,-103.87781,-7.1209707
727000000,-104.07153,135.7182
736500000,-104.17562,71.813591
746000000,-104.05759,169.43571
755500000,-104.2077,131.04509
765000000,-104.38003,42.913315
774500000,-104.37402,117.94958
784000000,-104.66069,53.548382
793500000,-104.56676,48.194
803000000,-104.79166,-57.945057
812500000,-104.38588,-151.37312
822000000,-104.29712,-9.0933371
831500000,-104.75033,123.65626
841000000,-104.58405,-145.68871
850500000,-104.83302,85.017929
860000000,-104.84595,166.36032
869500000,-105.06276,54.020206
879000000,-104.87851,54.70739
888500000,-104.94349,-9.3183584
898000000,-105.18876,-66.711143
907500000,-104.77689,73.493408
917000000,-105.05109,36.048779
926500000,-104.92493,74.127312
936000000,-104.99755,-53.862583
945500000,-105.08412,-177.31052
955000000,-104.94578,4.7520266
964500000,-105.18256,-67.133339
974000000,-105.15263,-167.39491
983500000,-105.30663,-156.54741
993000000,-105.41038,-43.655766
1002500000,-105.05732,-131.80582
1012000000,-105.52531,-157.05817
1021500000,-105.36679,-73.751511
1031000000,-105.28776,-131.59219
1040500000,-105.16308,4.6831617
1050000000,-105.47311,153.30508
1059500000,-105.50737,-167.55206
1069000000,-105.33657,136.59064
1078500000,-105.23811,44.257835
1088000000,-105.22808,130.05737
1097500000,-105.45237,0.69051695
1107000000,-105.2382,75.288254
1116500000,-105.63897,-96.635101
1126000000,-105.3086,-45.758442
1135500000,-105.44781,30.499046
1145000000,-105.5858,-12.502825
1154500000,-105.639,52.324707
1164000000,-105.60066,0.62829226
1173500000,-105.40839,-50.050213
1183000000,-105.3927,-44.969559
1192500000,-105.40414,63.93898
1202000000,-105.57194,69.651245
1211500000,-105.33302,53.196468
1221000000,-105.57359,-45.230751
1230500000,-105.39331,42.302208
1240000000,-105.43415,-155.36752
1249500000,-105.28465,-171.10551
1259000000,-105.54749,4.253161
1268500000,-105.57076,-32.750999
1278000000,-105.44557,-113.29146
1287500000,-105.65211,-147.02875
1297000000,-105.56805,176.82214
1306500000,-105.32358,120.53702
1316000000,-105.44461,49.555084
1325500000,-105.41666,115.55556
1335000000,-105.17793,120.73287
1344500000,-105.4249,-55.16647
1354000000,-105.64642,135.4303
1363500000,-105.45533,-32.06776
1373000000,-105.41043,-103.19521
1382500000,-105.1848,135.70793
1392000000,-105.44674,153.09996
1401500000,-105.3726,38.046059
1411000000,-105.24828,-163.42369
1420500000,-105.14248,-99.830704
1430000000,-105.04236,130.96471
1439500000,-105.19248,-126.86698
1449000000,-105.35907,55.387161
1458500000,-105.37553,-9.4592638
1468000000,-105.08047,-169.97902
1477500000,-105.24714,-52.440681
1487000000,-105.21246,170.43178
