!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 22:14:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPDI(REAL),DUTNPDI(IMAG)
100000000,235.83771,1379.6732
109500000,273.39487,1402.63
119000000,284.63919,1408.4152
128500000,303.47876,1410.1633
138000000,310.34772,1413.0128
147500000,478.15964,1425.1312
157000000,285.19754,1427.7474
166500000,325.17166,1430.2966
176000000,327.13358,1434.38
185500000,328.44263,1431.1163
195000000,326.1412,1437.505
204500000,339.21823,1450.1285
214000000,319.2771,1467.1598
223500000,319.90475,1486.092
233000000,319.70209,1508.6317
242500000,324.14441,1522.594
252000000,327.57556,1527.7551
261500000,329.3822,1531.2842
271000000,325.43967,1526.866
280500000,323.67703,1520.7412
290000000,323.0531,1517.5059
299500000,320.39011,1523.9122
309000000,310.85025,1525.6158
318500000,323.00882,1519.6378
328000000,356.15735,1516.5132
337500000,330.5975,1528.8375
347000000,387.12238,1542.2444
356500000,404.68893,1522.9694
366000000,387.6239,1521.9944
375500000,323.39542,1521.719
385000000,283.67337,1533.9679
394500000,287.01071,1546.2133
404000000,295.3775,1563.5359
413500000,279.45337,1587.8861
423000000,299.40894,1612.2563
432500000,320.12387,1624.5881
442000000,330.22644,1633.6589
451500000,331.43848,1640.7902
461000000,365.54868,1637.4911
470500000,355.11258,1634.1389
480000000,342.37732,1629.0339
489500000,343.32111,1622.3418
499000000,333.70319,1615.6162
508500000,323.513,1618.2902
518000000,323.05579,1622.1162
527500000,331.14941,1626.7411
537000000,321.6582,1633.6652
546500000,331.33191,1640.6313
556000000,328.76706,1661.6575
565500000,323.99203,1690.8878
575000000,329.18106,1720.1378
584500000,329.8656,1751.7628
594000000,327.58572,1783.406
603500000,328.87473,1800.8688
613000000,340.19986,1793.9938
622500000,330.63754,1787.1162
632000000,330.09235,1785.531
641500000,330.58536,1785.8696
651000000,326.29504,1785.1011
660500000,319.90967,1774.8696
670000000,316.63083,1764.6378
679500000,311.62137,1751.7826
689000000,305.45493,1735.9951
698500000,311.32196,1720.1635
708000000,308.90332,1707.1635
717500000,318.00479,1694.724
727000000,331.29907,1685.1378
736500000,356.49741,1686.4972
746000000,350.12985,1687.849
755500000,332.02695,1700.4646
765000000,347.45435,1711.8833
774500000,350.95871,1723.347
784000000,342.97131,1734.7628
793500000,331.56772,1747.4719
803000000,359.95001,1765.2587
812500000,366.33374,1783.0941
822000000,357.73138,1800.8837
831500000,332.73206,1818.7178
841000000,322.73535,1829.1361
850500000,319.23846,1837.8511
860000000,318.97806,1846.5111
869500000,318.93671,1855.2261
879000000,315.39105,1859.9692
888500000,306.53778,1859.2445
898000000,305.72726,1858.5134
907500000,308.862,1857.8451
917000000,315.22974,1857.1604
926500000,321.78598,1858.5297
936000000,328.12991,1859.8861
945500000,328.52997,1861.2439
955000000,323.8811,1862.6162
964500000,335.4491,1873.5341
974000000,342.79013,1889.7242
983500000,342.10678,1905.8663
993000000,333.01385,1922.0087
1002500000,326.32794,1939.7826
1012000000,317.28043,1962.2244
1021500000,309.67371,1984.6165
1031000000,310.84341,2007.0083
1040500000,323.11874,2029.4021
1050000000,314.28882,2018.9076
1059500000,308.34097,2003.8535
1069000000,310.90768,1988.7562
1078500000,323.2164,1973.6547
1088000000,335.0257,1959.1312
1097500000,336.88937,1945.1372
1107000000,339.30734,1931.1558
1116500000,339.8446,1917.1591
1126000000,336.44467,1904.2202
1135500000,358.6514,1899.5341
1145000000,373.04373,1894.9059
1154500000,365.17902,1890.281
1164000000,339.00745,1885.6385
1173500000,324.51373,1911.4091
1183000000,312.54767,1949.101
1192500000,307.39087,1986.7438
1202000000,317.26367,2024.3882
1211500000,328.04449,2059.9736
1221000000,312.64386,2091.2764
1230500000,308.37192,2122.6284
1240000000,313.37912,2153.9946
1249500000,343.70859,2185.2827
1259000000,330.99203,2181.4812
1268500000,323.41452,2175.6584
1278000000,323.01505,2169.8682
1287500000,327.72604,2164.0933
1297000000,340.41959,2150.4138
1306500000,354.96494,2130.6621
1316000000,354.95267,2110.9045
1325500000,344.91403,2091.1392
1335000000,335.55032,2077.5002
1344500000,344.97226,2092.5117
1354000000,334.64117,2107.5337
1363500000,332.74478,2122.6013
1373000000,331.70938,2137.6216
1382500000,293.64334,2182.0334
1392000000,262.25943,2234.3494
1401500000,262.20416,2286.6111
1411000000,282.95496,2338.8938
1420500000,289.65729,2376.0071
1430000000,274.98703,2390.7322
1439500000,281.66113,2405.4043
1449000000,290.95322,2420.1035
1458500000,311.07468,2433.7571
1468000000,316.82968,2389.0259
1477500000,331.56467,2344.28
1487000000,334.27115,2299.5884
1496500000,316.52072,2254.8579
1506000000,345.78278,2183.0115
1515500000,359.36288,2177.2507
1525000000,359.4425,2171.4946
1534500000,343.79138,2165.7214
1544000000,331.75717,2159.9075
1553500000,328.10617,2154.1321
1563000000,322.57455,2148.3647
1572500000,307.43472,2172.092
1582000000,280.04367,2231.2263
1591500000,269.87451,2290.3384
1601000000,266.30304,2349.4771
1610500000,270.35422,2408.5847
1620000000,291.27792,2467.7268
1629500000,311.9928,2526.781
1639000000,327.43912,2560.6572
1648500000,326.89951,2528.6567
1658000000,335.91592,2496.6707
1667500000,338.22717,2464.6707
1677000000,336.00961,2432.6707
1686500000,336.38934,2400.6753
1696000000,340.84763,2368.6709
1705500000,342.43655,2341.2322
1715000000,338.15643,2354.2813
1724500000,330.47263,2367.3965
1734000000,329.16379,2380.4849
1743500000,329.89478,2393.5313
1753000000,325.19821,2406.6465
1762500000,329.46393,2419.7444
1772000000,340.36621,2432.7813
1781500000,327.30881,2475.7756
1791000000,310.49405,2521.2571
